"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"1","Alaska","AK",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"2","Alaska","AK",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"3","Alaska","AK",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"4","Alaska","AK",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"5","Alaska","AK",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"6","Alaska","AK",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"7","Alaska","AK",2020-03-18 10:45:53,2020-03-08,1,2825,56,0,11
"8","Alaska","AK",2020-03-18 10:45:53,2020-03-15,2,5626,90,0,12
"9","Arizona","AZ",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"10","Arizona","AZ",2020-03-18 10:45:53,2020-01-26,1,8,0,0,5
"11","Arizona","AZ",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"12","Arizona","AZ",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"13","Arizona","AZ",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"14","Arizona","AZ",2020-03-18 10:45:53,2020-03-01,4,353,19,0,10
"15","Arizona","AZ",2020-03-18 10:45:53,2020-03-08,7,2825,56,0,11
"16","Arizona","AZ",2020-03-18 10:45:53,2020-03-15,8,5626,90,0,12
"17","California","CA",2020-03-18 10:45:53,2020-01-19,1,3,0,0,4
"18","California","CA",2020-03-18 10:45:53,2020-01-26,2,8,0,0,5
"19","California","CA",2020-03-18 10:45:53,2020-02-02,3,12,0,0,6
"20","California","CA",2020-03-18 10:45:53,2020-02-16,2,14,0,0,8
"21","California","CA",2020-03-18 10:45:53,2020-02-23,3,24,1,0,9
"22","California","CA",2020-03-18 10:45:53,2020-03-01,53,353,19,0,10
"23","California","CA",2020-03-18 10:45:53,2020-03-08,198,2825,56,0,11
"24","California","CA",2020-03-18 10:45:53,2020-03-15,186,5626,90,0,12
"25","Colorado","CO",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"26","Colorado","CO",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"27","Colorado","CO",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"28","Colorado","CO",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"29","Colorado","CO",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"30","Colorado","CO",2020-03-18 10:45:53,2020-03-01,8,353,19,0,10
"31","Colorado","CO",2020-03-18 10:45:53,2020-03-08,93,2825,56,0,11
"32","Colorado","CO",2020-03-18 10:45:53,2020-03-15,82,5626,90,0,12
"33","Hawaii","HI",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"34","Hawaii","HI",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"35","Hawaii","HI",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"36","Hawaii","HI",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
