"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1",1,"China","Anhui Province","Anqing",14,0,0,0,0,"2020-29JAN"
"2",2,"China","Anhui Province","Bengbu",3,0,0,0,0,"2020-29JAN"
"3",3,"China","Anhui Province","Bozhou",15,0,0,0,1,"2020-29JAN"
"4",4,"China","Anhui Province","Chizhou",1,0,0,0,0,"2020-29JAN"
"5",5,"China","Anhui Province","Chuzhou",4,0,0,0,0,"2020-29JAN"
"6",6,"China","Anhui Province","Fuyang",23,0,0,0,0,"2020-29JAN"
"7",7,"China","Anhui Province","Hefei",29,0,0,0,1,"2020-29JAN"
"8",8,"China","Anhui Province","Huaibei",2,0,0,0,0,"2020-29JAN"
"9",9,"China","Anhui Province","Huainan",4,0,0,0,0,"2020-29JAN"
"10",11,"China","Anhui Province","Huangshan",7,0,0,0,0,"2020-29JAN"
"11",12,"China","Anhui Province","Lu'an",6,0,0,0,0,"2020-29JAN"
"12",13,"China","Anhui Province","Ma'anshan",11,0,0,0,0,"2020-29JAN"
"13",14,"China","Anhui Province","Suzhou",9,0,0,0,0,"2020-29JAN"
"14",15,"China","Anhui Province","Tongling",9,0,0,0,0,"2020-29JAN"
"15",16,"China","Anhui Province","Wuhu",11,0,0,0,0,"2020-29JAN"
"16",17,"China","Anhui Province","Xuancheng",2,0,0,0,0,"2020-29JAN"
"17",18,"China","Beijing Municipality","Area to be Identified",0,0,0,0,0,"2020-29JAN"
"18",19,"China","Beijing Municipality","Beijing Municipality",70,0,0,0,2,"2020-29JAN"
"19",40,"China","Chongqing Municipality","Chongqing Municipality",147,0,0,0,1,"2020-29JAN"
"20",80,"China","Fujian Province","Fuzhou",24,0,0,0,0,"2020-29JAN"
"21",81,"China","Fujian Province","Longyan",1,0,0,0,0,"2020-29JAN"
"22",82,"China","Fujian Province","Nanping",3,0,0,0,0,"2020-29JAN"
"23",83,"China","Fujian Province","Ningde",7,0,0,0,0,"2020-29JAN"
"24",84,"China","Fujian Province","Putian",14,0,0,0,0,"2020-29JAN"
"25",85,"China","Fujian Province","Quanzhou",13,0,0,0,0,"2020-29JAN"
"26",86,"China","Fujian Province","Sanming",9,0,0,0,0,"2020-29JAN"
"27",87,"China","Fujian Province","Xiamen",6,0,0,0,0,"2020-29JAN"
"28",88,"China","Fujian Province","Zhangzhou",7,0,0,0,0,"2020-29JAN"
"29",89,"China","Gansu province","Area to be identified",0,0,0,0,0,"2020-29JAN"
"30",90,"China","Gansu province","Baiyin",1,0,0,0,0,"2020-29JAN"
"31",91,"China","Gansu province","Dingxi",1,0,0,0,0,"2020-29JAN"
"32",92,"China","Gansu province","Gannan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"33",93,"China","Gansu province","Jiayuguan",0,0,0,0,0,"2020-29JAN"
"34",94,"China","Gansu province","Jinchang",1,0,0,0,0,"2020-29JAN"
"35",95,"China","Gansu province","Jiuquan",0,0,0,0,0,"2020-29JAN"
"36",96,"China","Gansu province","Lanzhou",14,0,0,0,0,"2020-29JAN"
"37",97,"China","Gansu province","Linxia Hui Autonomous Prefecture",2,0,0,0,0,"2020-29JAN"
"38",98,"China","Gansu province","Longnan",1,0,0,0,0,"2020-29JAN"
"39",99,"China","Gansu province","Pingliang",1,0,0,0,0,"2020-29JAN"
"40",100,"China","Gansu province","Qingyang",0,0,0,0,0,"2020-29JAN"
"41",101,"China","Gansu province","Tianshui",1,0,0,0,0,"2020-29JAN"
"42",102,"China","Gansu province","Wuwei",0,0,0,0,0,"2020-29JAN"
"43",103,"China","Gansu province","Zhangye",2,0,0,0,0,"2020-29JAN"
"44",104,"China","Guangdong Province","Area to be identified",0,0,0,0,0,"2020-29JAN"
"45",105,"China","Guangdong Province","Chaozhou",0,0,0,0,0,"2020-29JAN"
"46",106,"China","Guangdong Province","Dongguan",7,0,0,0,0,"2020-29JAN"
"47",107,"China","Guangdong Province","Foshan",21,0,0,0,0,"2020-29JAN"
"48",108,"China","Guangdong Province","Guangzhou",63,0,0,0,0,"2020-29JAN"
"49",109,"China","Guangdong Province","Heyuan",1,0,0,0,0,"2020-29JAN"
"50",110,"China","Guangdong Province","Huizhou",12,0,0,0,1,"2020-29JAN"
"51",111,"China","Guangdong Province","Jiangmen",1,0,0,0,0,"2020-29JAN"
"52",112,"China","Guangdong Province","Jieyang",6,0,0,0,0,"2020-29JAN"
"53",113,"China","Guangdong Province","Maoming",3,0,0,0,0,"2020-29JAN"
"54",114,"China","Guangdong Province","Meizhou",4,0,0,0,0,"2020-29JAN"
"55",115,"China","Guangdong Province","Qingyuan",6,0,0,0,0,"2020-29JAN"
"56",116,"China","Guangdong Province","Shantou",16,0,0,0,0,"2020-29JAN"
"57",118,"China","Guangdong Province","Shanwei",1,0,0,0,0,"2020-29JAN"
"58",119,"China","Guangdong Province","Shaoguan",4,0,0,0,0,"2020-29JAN"
"59",120,"China","Guangdong Province","Shenzhen",80,0,0,0,4,"2020-29JAN"
"60",121,"China","Guangdong Province","Yangjiang",10,0,0,0,0,"2020-29JAN"
"61",122,"China","Guangdong Province","Yunfu",0,0,0,0,0,"2020-29JAN"
"62",123,"China","Guangdong Province","Zhanjiang",9,0,0,0,0,"2020-29JAN"
"63",124,"China","Guangdong Province","Zhaoqing",5,0,0,0,0,"2020-29JAN"
"64",125,"China","Guangdong Province","Zhongshan",26,0,0,0,0,"2020-29JAN"
"65",127,"China","Guangdong Province","Zhuhai",18,0,0,0,0,"2020-29JAN"
"66",128,"China","Guangxi Zhuang Autonomous Region","Area to be identified",0,0,0,0,0,"2020-29JAN"
"67",129,"China","Guangxi Zhuang Autonomous Region","Baise",2,0,0,0,0,"2020-29JAN"
"68",130,"China","Guangxi Zhuang Autonomous Region","Beihai",13,0,0,0,0,"2020-29JAN"
"69",131,"China","Guangxi Zhuang Autonomous Region","Chongzuo",0,0,0,0,0,"2020-29JAN"
"70",132,"China","Guangxi Zhuang Autonomous Region","Fangchenggang",5,0,0,0,1,"2020-29JAN"
"71",133,"China","Guangxi Zhuang Autonomous Region","Guigang",0,0,0,0,0,"2020-29JAN"
"72",135,"China","Guangxi Zhuang Autonomous Region","Guilin",16,0,0,0,0,"2020-29JAN"
"73",136,"China","Guangxi Zhuang Autonomous Region","Hechi",3,0,0,0,0,"2020-29JAN"
"74",137,"China","Guangxi Zhuang Autonomous Region","Hezhou",0,0,0,0,0,"2020-29JAN"
"75",138,"China","Guangxi Zhuang Autonomous Region","Laibin",0,0,0,0,0,"2020-29JAN"
"76",139,"China","Guangxi Zhuang Autonomous Region","Liuzhou",6,0,0,0,0,"2020-29JAN"
"77",140,"China","Guangxi Zhuang Autonomous Region","NanNing",7,0,0,0,0,"2020-29JAN"
"78",141,"China","Guangxi Zhuang Autonomous Region","Qinzhou",0,0,0,0,0,"2020-29JAN"
"79",142,"China","Guangxi Zhuang Autonomous Region","Wuzhou",4,0,0,0,1,"2020-29JAN"
"80",143,"China","Guangxi Zhuang Autonomous Region","Yulin",2,0,0,0,0,"2020-29JAN"
"81",144,"China","Guizhou Province","Anshun",0,0,0,0,0,"2020-29JAN"
"82",145,"China","Guizhou Province","Bijie",0,0,0,0,0,"2020-29JAN"
"83",146,"China","Guizhou Province","Guiyang",1,0,0,0,1,"2020-29JAN"
"84",147,"China","Guizhou Province","Liupanshui",1,0,0,0,0,"2020-29JAN"
"85",148,"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"86",149,"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",4,0,0,0,0,"2020-29JAN"
"87",150,"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",1,0,0,0,0,"2020-29JAN"
"88",151,"China","Guizhou Province","Tongren",2,0,0,0,0,"2020-29JAN"
"89",152,"China","Guizhou Province","Zunyi",0,0,0,0,0,"2020-29JAN"
"90",153,"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-29JAN"
"91",154,"China","Hainan Province","Baoting Li and Miao Autonomous County",0,0,0,0,0,"2020-29JAN"
"92",155,"China","Hainan Province","Changjiang Li Autonomous County",0,0,0,0,0,"2020-29JAN"
"93",156,"China","Hainan Province","Chengmai County",0,0,0,0,0,"2020-29JAN"
"94",157,"China","Hainan Province","Danzhou",5,0,0,0,0,"2020-29JAN"
"95",158,"China","Hainan Province","Ding'an County",0,0,0,0,0,"2020-29JAN"
"96",159,"China","Hainan Province","Dongfang City",0,0,0,0,0,"2020-29JAN"
"97",160,"China","Hainan Province","Haikou",9,0,0,0,0,"2020-29JAN"
"98",161,"China","Hainan Province","Ledong Li Autonomous County",0,0,0,0,0,"2020-29JAN"
"99",162,"China","Hainan Province","Lingao County",1,0,0,0,0,"2020-29JAN"
"100",164,"China","Hainan Province","Lingshui Li Autonomous County",0,0,0,0,0,"2020-29JAN"
"101",165,"China","Hainan Province","Qionghai City",0,0,0,0,0,"2020-29JAN"
"102",166,"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",0,0,0,0,0,"2020-29JAN"
"103",167,"China","Hainan Province","Sansha",0,0,0,0,0,"2020-29JAN"
"104",169,"China","Hainan Province","Sanya",14,0,0,0,0,"2020-29JAN"
"105",170,"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-29JAN"
"106",171,"China","Hainan Province","Wanning City",8,0,0,0,0,"2020-29JAN"
"107",172,"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-29JAN"
"108",173,"China","Hebei Province","Baoding",6,0,0,0,0,"2020-29JAN"
"109",174,"China","Hebei Province","Cangzhou",8,0,0,1,0,"2020-29JAN"
"110",175,"China","Hebei Province","Chengde",1,0,0,0,0,"2020-29JAN"
"111",176,"China","Hebei Province","Handan",4,0,0,0,0,"2020-29JAN"
"112",177,"China","Hebei Province","Hengshui",3,0,0,0,0,"2020-29JAN"
"113",178,"China","Hebei Province","Langfang",9,0,0,0,0,"2020-29JAN"
"114",179,"China","Hebei Province","Qinhuangdao",0,0,0,0,0,"2020-29JAN"
