"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",733,0,0,0,59,"2020-08FEB"
"18","China","Beijing Municipality",315,0,0,2,34,"2020-08FEB"
"38","China","Chongqing Municipality",428,0,0,2,39,"2020-08FEB"
"78","China","Fujian Province",239,0,0,0,24,"2020-08FEB"
"87","China","Gansu province",79,0,0,1,12,"2020-08FEB"
"102","China","Guangdong Province",1095,0,0,1,112,"2020-08FEB"
"126","China","Guangxi Zhuang Autonomous Region",183,0,0,0,17,"2020-08FEB"
"141","China","Guizhou Province",89,0,0,1,7,"2020-08FEB"
"150","China","Hainan Province",124,0,0,2,14,"2020-08FEB"
"169","China","Hebei Province",195,0,0,1,30,"2020-08FEB"
"180","China","Heilongjiang Province",295,0,0,5,13,"2020-08FEB"
"193","China","Henan Province",981,0,0,4,116,"2020-08FEB"
"213","China","Hong Kong Special Administrative Region",26,0,0,1,0,"2020-08FEB"
"214","China","Hubei Province",24953,0,0,699,1218,"2020-08FEB"
"232","China","Hunan Province",803,0,0,1,156,"2020-08FEB"
"246","China","Inner Mongolia Autonomous Region",52,0,0,0,5,"2020-08FEB"
"259","China","Jiangsu Province",439,0,0,0,51,"2020-08FEB"
"272","China","Jiangxi Province",698,0,0,0,55,"2020-08FEB"
"284","China","Jilin Province",69,0,0,1,4,"2020-08FEB"
"295","China","Liaoning Province",105,0,0,0,8,"2020-08FEB"
"309","China","Macao Special Administrative Region",10,0,0,0,1,"2020-08FEB"
"310","China","Ningxia Hui Autonomous Region",45,0,0,0,15,"2020-08FEB"
"317","China","Qinghai Province",18,0,0,0,3,"2020-08FEB"
"325","China","Shaanxi Province",195,0,0,0,20,"2020-08FEB"
"337","China","Shandong Province",416,0,0,0,44,"2020-08FEB"
"354","China","Shanghai Municipality",286,0,0,1,41,"2020-08FEB"
"373","China","Shanxi Province",104,0,0,0,20,"2020-08FEB"
"384","China","Sichuan Province",364,0,0,1,60,"2020-08FEB"
"405","China","Taiwan Province",17,0,0,0,1,"2020-08FEB"
"406","China","Tianjin Municipality",88,0,0,1,4,"2020-08FEB"
"423","China","Tibet Autonomous Region",1,0,0,0,0,"2020-08FEB"
"430","China","Xinjiang Uygur Autonomous Region",42,0,0,0,0,"2020-08FEB"
"453","China","Yunnan Province",138,0,0,0,17,"2020-08FEB"
"469","China","Zhejiang Province",1048,0,0,0,175,"2020-08FEB"
