"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",70,0,0,0,0,"2020-27JAN"
"18","China","Beijing Municipality",80,0,0,1,2,"2020-27JAN"
"38","China","Chongqing Municipality",110,0,0,0,0,"2020-27JAN"
"78","China","Fujian Province",59,0,0,0,0,"2020-27JAN"
"87","China","Gansu province",14,0,0,0,0,"2020-27JAN"
"102","China","Guangdong Province",151,0,0,0,3,"2020-27JAN"
"126","China","Guangxi Zhuang Autonomous Region",46,0,0,0,0,"2020-27JAN"
"141","China","Guizhou Province",7,0,0,0,0,"2020-27JAN"
"150","China","Hainan Province",33,0,0,1,0,"2020-27JAN"
"169","China","Hebei Province",18,0,0,1,0,"2020-27JAN"
"180","China","Heilongjiang Province",21,0,0,1,0,"2020-27JAN"
"193","China","Henan Province",128,0,0,1,0,"2020-27JAN"
"213","China","Hong Kong Special Administrative Region",8,0,0,0,0,"2020-27JAN"
"214","China","Hubei Province",1423,0,0,76,45,"2020-27JAN"
"232","China","Hunan Province",100,0,0,0,0,"2020-27JAN"
"246","China","Inner Mongolia Autonomous Region",11,0,0,0,0,"2020-27JAN"
"259","China","Jiangsu Province",47,0,0,0,1,"2020-27JAN"
"272","China","Jiangxi Province",48,0,0,0,1,"2020-27JAN"
"284","China","Jilin Province",6,0,0,0,0,"2020-27JAN"
"295","China","Liaoning Province",27,0,0,0,0,"2020-27JAN"
"309","China","Macao Special Administrative Region",6,0,0,0,0,"2020-27JAN"
"310","China","Ningxia Hui Autonomous Region",7,0,0,0,0,"2020-27JAN"
"317","China","Qinghai Province",6,0,0,0,0,"2020-27JAN"
"325","China","Shaanxi Province",35,0,0,0,0,"2020-27JAN"
"337","China","Shandong Province",75,0,0,0,0,"2020-27JAN"
"354","China","Shanghai Municipality",53,0,0,1,3,"2020-27JAN"
"373","China","Shanxi Province",13,0,0,0,0,"2020-27JAN"
"384","China","Sichuan Province",69,0,0,0,0,"2020-27JAN"
"405","China","Taiwan Province",5,0,0,0,0,"2020-27JAN"
"406","China","Tianjin Municipality",23,0,0,0,0,"2020-27JAN"
"423","China","Tibet Autonomous Region",0,0,0,0,0,"2020-27JAN"
"424","China","Xinjiang Uygur Autonomous Region",5,0,0,0,0,"2020-27JAN"
"447","China","Yunnan Province",26,0,0,0,0,"2020-27JAN"
"463","China","Zhejiang Province",128,0,0,0,1,"2020-27JAN"
