"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"1","黑龙江省","city","七台河","3",NA,"0","0","0",NA
"2","海南省","city","万宁","8",NA,"0","0","0",NA
"3","重庆市","city","万州区","29",NA,"0","0","0",NA
"4","海南省","city","三亚","14",NA,"0","0","1",NA
"5","福建省","city","三明","10",NA,"0","0","0",NA
"6","河南省","city","三门峡","6",NA,"0","0","0",NA
"7","江西省","city","上饶","12",NA,"0","0","1",NA
"8","北京市","city","东城区","3",NA,"0","0","0",NA
"9","海南省","city","东方","1",NA,"0","0","0",NA
"10","广东省","city","东莞","16",NA,"0","0","0",NA
"11","重庆市","city","两江新区","9",NA,"0","0","0",NA
"12","浙江省","city","丽水","7",NA,"0","0","1",NA
"13","云南省","city","丽江","6",NA,"0","0","0",NA
"14","宁夏回族自治区","city","中卫","2",NA,"0","0","0",NA
"15","广东省","city","中山","18",NA,"0","0","0",NA
"16","北京市","city","丰台区","11",NA,"0","0","0",NA
"17","重庆市","city","丰都县","3",NA,"0","0","0",NA
"18","甘肃省","city","临夏","2",NA,"0","0","0",NA
"19","山西省","city","临汾","1",NA,"0","0","0",NA
"20","山东省","city","临沂","23",NA,"0","0","0",NA
"21","海南省","city","临高","2",NA,"0","0","0",NA
"22","辽宁省","city","丹东","5",NA,"0","0","0",NA
"23","内蒙古自治区","city","乌兰察布","2",NA,"0","0","0",NA
"24","新疆维吾尔自治区","city","乌鲁木齐","8",NA,"0","0","0",NA
"25","海南省","city","乐东","1",NA,"0","0","0",NA
"26","四川省","city","乐山","2",NA,"0","0","0",NA
"27","江西省","city","九江","42",NA,"0","0","0",NA
"28","重庆市","city","九龙坡区","8",NA,"0","0","0",NA
"29","重庆市","city","云阳县","15",NA,"0","0","0",NA
"30","安徽省","city","亳州","20",NA,"0","0","1",NA
"31","湖北省","city","仙桃","90",NA,"0","1","0",NA
"32","新疆维吾尔自治区","city","伊犁州","5",NA,"0","0","0",NA
"33","广东省","city","佛山","33",NA,"0","0","1",NA
"34","黑龙江省","city","佳木斯","8",NA,"0","0","0",NA
"35","河北省","city","保定","11",NA,"0","0","0",NA
"36","云南省","city","保山","6",NA,"0","0","0",NA
"37","河南省","city","信阳","49",NA,"0","0","0",NA
"38","海南省","city","儋州","5",NA,"0","0","0",NA
