"","ADM0_EN","ADM1_EN","ADM2_EN","date.of.notification"
"1","China","Anhui Province","Anqing",2020-01-24
"2","China","Anhui Province","Bengbu",2020-01-24
"3","China","Anhui Province","Bozhou",2020-01-23
"4","China","Anhui Province","Chizhou",2020-01-24
"5","China","Anhui Province","Chuzhou",2020-01-23
"6","China","Anhui Province","Fuyang",2020-01-23
"7","China","Anhui Province","Hefei",2020-01-22
"8","China","Anhui Province","Huaibei",2020-01-26
"9","China","Anhui Province","Huainan",2020-01-26
"10","China","Anhui Province","Huangshan",2020-01-26
"11","China","Anhui Province","Lu'an",2020-01-23
"12","China","Anhui Province","Ma'anshan",2020-01-25
"13","China","Anhui Province","Suzhou",2020-01-26
"14","China","Anhui Province","Tongling",2020-01-25
"15","China","Anhui Province","Wuhu",2020-01-25
"16","China","Anhui Province","Xuancheng",2020-01-26
"17","China","Beijing Municipality","Beijing Municipality",2020-01-19
"18","China","Chongqing Municipality","Chongqing Municipality",2020-01-21
"19","China","Fujian Province","Fuzhou",2020-01-23
"20","China","Fujian Province","Longyan",2020-01-28
"21","China","Fujian Province","Nanping",2020-01-26
"22","China","Fujian Province","Ningde",2020-01-23
"23","China","Fujian Province","Putian",2020-01-26
"24","China","Fujian Province","Quanzhou",2020-01-23
"25","China","Fujian Province","Sanming",2020-01-25
"26","China","Fujian Province","Xiamen",2020-01-23
"27","China","Fujian Province","Zhangzhou",2020-01-25
"28","China","Gansu province","Baiyin",2020-01-23
"29","China","Gansu province","Dingxi",2020-01-26
"30","China","Gansu province","Gannan Tibetan Autonomous Prefecture",2020-02-01
"31","China","Gansu province","Jinchang",2020-01-28
"32","China","Gansu province","Lanzhou",2020-01-23
"33","China","Gansu province","Linxia Hui Autonomous Prefecture",2020-01-25
"34","China","Gansu province","Longnan",2020-01-27
"35","China","Gansu province","Pingliang",2020-01-29
"36","China","Gansu province","Qingyang",2020-02-03
"37","China","Gansu province","Tianshui",2020-01-28
"38","China","Gansu province","Zhangye",2020-01-27
"39","China","Guangdong Province","Chaozhou",2020-02-01
"40","China","Guangdong Province","Dongguan",2020-01-25
"41","China","Guangdong Province","Foshan",2020-01-21
"42","China","Guangdong Province","Guangzhou",2020-01-21
"43","China","Guangdong Province","Heyuan",2020-01-28
"44","China","Guangdong Province","Huizhou",2020-01-20
"45","China","Guangdong Province","Jiangmen",2020-01-29
"46","China","Guangdong Province","Jieyang",2020-01-26
"47","China","Guangdong Province","Maoming",2020-01-29
"48","China","Guangdong Province","Meizhou",2020-01-26
"49","China","Guangdong Province","Qingyuan",2020-01-24
"50","China","Guangdong Province","Shantou",2020-01-25
"51","China","Guangdong Province","Shanwei",2020-01-27
"52","China","Guangdong Province","Shaoguan",2020-01-21
