"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",9,0,0,0,0,"2020-01-23"
"2","China","Beijing Municipality",22,0,0,0,0,"2020-01-23"
"3","China","Chongqing Municipality",9,0,0,0,0,"2020-01-23"
"4","China","Fujian Province",5,0,0,0,0,"2020-01-23"
"5","China","Gansu province",2,0,0,0,0,"2020-01-23"
"6","China","Guangdong Province",32,0,0,0,0,"2020-01-23"
"7","China","Guangxi Zhuang Autonomous Region",5,0,0,0,0,"2020-01-23"
"8","China","Guizhou Province",3,0,0,0,0,"2020-01-23"
"9","China","Hainan Province",5,0,0,0,0,"2020-01-23"
"10","China","Hebei Province",1,0,0,1,0,"2020-01-23"
"11","China","Heilongjiang Province",2,0,0,0,0,"2020-01-23"
"12","China","Henan Province",5,0,0,0,0,"2020-01-23"
"13","China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-01-23"
"14","China","Hunan Province",9,0,0,0,0,"2020-01-23"
"15","China","Inner Mongolia Autonomous Region",0,0,1,0,0,"2020-01-23"
"16","China","Jiangsu Province",5,0,0,0,0,"2020-01-23"
"17","China","Jiangxi Province",7,0,0,0,0,"2020-01-23"
"18","China","Jilin Province",1,0,0,0,0,"2020-01-23"
"19","China","Liaoning Province",3,0,0,0,0,"2020-01-23"
"20","China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-23"
"21","China","Ningxia Hui Autonomous Region",1,0,0,0,0,"2020-01-23"
"22","China","Qinghai Province",0,0,0,0,0,"2020-01-23"
"23","China","Shaanxi Province",3,0,0,0,0,"2020-01-23"
"24","China","Shandong Province",6,0,0,0,0,"2020-01-23"
"25","China","Shanghai Municipality",16,0,0,0,0,"2020-01-23"
"26","China","Shanxi Province",1,0,0,0,0,"2020-01-23"
"27","China","Sichuan Province",8,0,0,0,0,"2020-01-23"
"28","China","Taiwan Province",1,0,0,0,0,"2020-01-23"
"29","China","Tianjin Municipality",4,0,0,0,0,"2020-01-23"
"30","China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-23"
"31","China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-01-23"
"32","China","Yunnan Province",2,0,0,0,0,"2020-01-23"
"33","China","Zhejiang Province",27,0,0,0,0,"2020-01-23"
"34","China","Anhui Province",15,0,0,0,0,"2020-01-24"
"35","China","Beijing Municipality",36,0,0,0,1,"2020-01-24"
"36","China","Chongqing Municipality",27,0,0,0,0,"2020-01-24"
"37","China","Fujian Province",10,0,2,0,0,"2020-01-24"
"38","China","Gansu province",2,0,0,0,0,"2020-01-24"
"39","China","Guangdong Province",53,0,0,0,2,"2020-01-24"
"40","China","Guangxi Zhuang Autonomous Region",23,0,0,0,0,"2020-01-24"
"41","China","Guizhou Province",3,0,0,0,0,"2020-01-24"
"42","China","Hainan Province",8,0,0,0,0,"2020-01-24"
"43","China","Hebei Province",2,0,0,1,0,"2020-01-24"
"44","China","Heilongjiang Province",4,0,0,1,0,"2020-01-24"
"45","China","Henan Province",9,0,0,0,0,"2020-01-24"
"46","China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-01-24"
"47","China","Hubei Province",549,0,0,24,31,"2020-01-24"
"48","China","Hunan Province",24,0,0,0,0,"2020-01-24"
"49","China","Inner Mongolia Autonomous Region",1,0,0,0,0,"2020-01-24"
"50","China","Jiangsu Province",9,0,0,0,0,"2020-01-24"
"51","China","Jiangxi Province",18,0,0,0,0,"2020-01-24"
"52","China","Jilin Province",3,0,0,0,0,"2020-01-24"
"53","China","Liaoning Province",4,0,0,0,0,"2020-01-24"
"54","China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-24"
"55","China","Ningxia Hui Autonomous Region",2,0,0,0,0,"2020-01-24"
"56","China","Qinghai Province",0,0,1,0,0,"2020-01-24"
"57","China","Shaanxi Province",5,0,0,0,0,"2020-01-24"
"58","China","Shandong Province",15,0,0,0,0,"2020-01-24"
"59","China","Shanghai Municipality",20,0,0,0,1,"2020-01-24"
"60","China","Shanxi Province",1,0,0,0,0,"2020-01-24"
"61","China","Sichuan Province",15,0,0,0,0,"2020-01-24"
"62","China","Taiwan Province",3,0,0,0,0,"2020-01-24"
"63","China","Tianjin Municipality",8,0,0,0,0,"2020-01-24"
"64","China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-24"
"65","China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-01-24"
"66","China","Yunnan Province",5,0,0,0,0,"2020-01-24"
"67","China","Zhejiang Province",43,0,0,0,1,"2020-01-24"
"68","China","Anhui Province",39,0,0,0,0,"2020-01-25"
"69","China","Beijing Municipality",41,0,0,0,2,"2020-01-25"
"70","China","Chongqing Municipality",57,0,0,0,0,"2020-01-25"
"71","China","Fujian Province",18,0,20,0,0,"2020-01-25"
"72","China","Gansu province",4,0,0,0,0,"2020-01-25"
"73","China","Guangdong Province",78,0,0,0,2,"2020-01-25"
"74","China","Guangxi Zhuang Autonomous Region",23,0,0,0,0,"2020-01-25"
"75","China","Guizhou Province",4,0,0,0,0,"2020-01-25"
"76","China","Hainan Province",19,0,0,0,0,"2020-01-25"
"77","China","Hebei Province",8,0,0,1,0,"2020-01-25"
"78","China","Heilongjiang Province",9,0,0,1,0,"2020-01-25"
"79","China","Henan Province",32,0,0,0,0,"2020-01-25"
"80","China","Hong Kong Special Administrative Region",5,0,0,0,0,"2020-01-25"
"81","China","Hubei Province",761,0,0,40,32,"2020-01-25"
"82","China","Hunan Province",43,0,0,0,0,"2020-01-25"
"83","China","Inner Mongolia Autonomous Region",7,0,0,0,0,"2020-01-25"
"84","China","Jiangsu Province",18,0,0,0,1,"2020-01-25"
"85","China","Jiangxi Province",18,0,0,0,0,"2020-01-25"
"86","China","Jilin Province",4,0,0,0,0,"2020-01-25"
"87","China","Liaoning Province",17,0,0,0,0,"2020-01-25"
"88","China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-25"
"89","China","Ningxia Hui Autonomous Region",3,0,0,0,0,"2020-01-25"
"90","China","Qinghai Province",1,0,0,0,0,"2020-01-25"
"91","China","Shaanxi Province",15,0,0,0,0,"2020-01-25"
"92","China","Shandong Province",27,0,0,0,0,"2020-01-25"
"93","China","Shanghai Municipality",33,0,0,0,1,"2020-01-25"
"94","China","Shanxi Province",6,0,0,0,0,"2020-01-25"
"95","China","Sichuan Province",28,0,0,0,0,"2020-01-25"
"96","China","Taiwan Province",3,0,0,0,0,"2020-01-25"
"97","China","Tianjin Municipality",10,0,0,0,0,"2020-01-25"
"98","China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-25"
"99","China","Xinjiang Uygur Autonomous Region",3,0,0,0,0,"2020-01-25"
"100","China","Yunnan Province",11,0,0,0,0,"2020-01-25"
"101","China","Zhejiang Province",62,0,0,0,1,"2020-01-25"
"102","China","Anhui Province",60,0,0,0,0,"2020-01-26"
"103","China","Beijing Municipality",68,0,0,0,2,"2020-01-26"
"104","China","Chongqing Municipality",75,0,0,0,0,"2020-01-26"
"105","China","Fujian Province",35,0,0,0,0,"2020-01-26"
"106","China","Gansu province",7,0,0,0,0,"2020-01-26"
"107","China","Guangdong Province",111,0,0,0,2,"2020-01-26"
"108","China","Guangxi Zhuang Autonomous Region",36,0,0,0,0,"2020-01-26"
"109","China","Guizhou Province",5,0,0,0,0,"2020-01-26"
