"","ADM0_EN","ADM1_EN","ADM2_EN"
"1","China","Anhui Province","Anqing"
"2","China","Anhui Province","Bengbu"
"3","China","Anhui Province","Bozhou"
"4","China","Anhui Province","Chizhou"
"5","China","Anhui Province","Chuzhou"
"6","China","Anhui Province","Fuyang"
"7","China","Anhui Province","Hefei"
"8","China","Anhui Province","Huaibei"
"9","China","Anhui Province","Huainan"
"11","China","Anhui Province","Huangshan"
"12","China","Anhui Province","Lu'an"
"13","China","Anhui Province","Ma'anshan"
"14","China","Anhui Province","Suzhou"
"15","China","Anhui Province","Tongling"
"16","China","Anhui Province","Wuhu"
"17","China","Anhui Province","Xuancheng"
"18","China","Beijing Municipality","Area to be Identified"
"19","China","Beijing Municipality","Beijing Municipality"
"40","China","Chongqing Municipality","Chongqing Municipality"
"80","China","Fujian Province","Fuzhou"
"81","China","Fujian Province","Longyan"
"82","China","Fujian Province","Nanping"
"83","China","Fujian Province","Ningde"
"84","China","Fujian Province","Putian"
"85","China","Fujian Province","Quanzhou"
"86","China","Fujian Province","Sanming"
"87","China","Fujian Province","Xiamen"
"88","China","Fujian Province","Zhangzhou"
"89","China","Gansu province","Area to be identified"
"90","China","Gansu province","Baiyin"
"91","China","Gansu province","Dingxi"
"92","China","Gansu province","Gannan Tibetan Autonomous Prefecture"
"93","China","Gansu province","Jiayuguan"
"94","China","Gansu province","Jinchang"
"95","China","Gansu province","Jiuquan"
"96","China","Gansu province","Lanzhou"
"97","China","Gansu province","Linxia Hui Autonomous Prefecture"
"98","China","Gansu province","Longnan"
"99","China","Gansu province","Pingliang"
"100","China","Gansu province","Qingyang"
"101","China","Gansu province","Tianshui"
"102","China","Gansu province","Wuwei"
"103","China","Gansu province","Zhangye"
"104","China","Guangdong Province","Area to be identified"
"105","China","Guangdong Province","Chaozhou"
"106","China","Guangdong Province","Dongguan"
"107","China","Guangdong Province","Foshan"
"108","China","Guangdong Province","Guangzhou"
"109","China","Guangdong Province","Heyuan"
"110","China","Guangdong Province","Huizhou"
"111","China","Guangdong Province","Jiangmen"
"112","China","Guangdong Province","Jieyang"
"113","China","Guangdong Province","Maoming"
"114","China","Guangdong Province","Meizhou"
"115","China","Guangdong Province","Qingyuan"
"116","China","Guangdong Province","Shantou"
"118","China","Guangdong Province","Shanwei"
"119","China","Guangdong Province","Shaoguan"
"120","China","Guangdong Province","Shenzhen"
"121","China","Guangdong Province","Yangjiang"
"122","China","Guangdong Province","Yunfu"
"123","China","Guangdong Province","Zhanjiang"
"124","China","Guangdong Province","Zhaoqing"
"125","China","Guangdong Province","Zhongshan"
"127","China","Guangdong Province","Zhuhai"
"128","China","Guangxi Zhuang Autonomous Region","Area to be identified"
"129","China","Guangxi Zhuang Autonomous Region","Baise"
"130","China","Guangxi Zhuang Autonomous Region","Beihai"
"131","China","Guangxi Zhuang Autonomous Region","Chongzuo"
"132","China","Guangxi Zhuang Autonomous Region","Fangchenggang"
"133","China","Guangxi Zhuang Autonomous Region","Guigang"
"135","China","Guangxi Zhuang Autonomous Region","Guilin"
"136","China","Guangxi Zhuang Autonomous Region","Hechi"
"137","China","Guangxi Zhuang Autonomous Region","Hezhou"
"138","China","Guangxi Zhuang Autonomous Region","Laibin"
"139","China","Guangxi Zhuang Autonomous Region","Liuzhou"
"140","China","Guangxi Zhuang Autonomous Region","NanNing"
"141","China","Guangxi Zhuang Autonomous Region","Qinzhou"
"142","China","Guangxi Zhuang Autonomous Region","Wuzhou"
"143","China","Guangxi Zhuang Autonomous Region","Yulin"
"144","China","Guizhou Province","Anshun"
"145","China","Guizhou Province","Bijie"
"146","China","Guizhou Province","Guiyang"
"147","China","Guizhou Province","Liupanshui"
"148","China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture"
"149","China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture"
"150","China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture"
"151","China","Guizhou Province","Tongren"
"152","China","Guizhou Province","Zunyi"
"153","China","Hainan Province","Baisha Li Autonomous County"
"154","China","Hainan Province","Baoting Li and Miao Autonomous County"
"155","China","Hainan Province","Changjiang Li Autonomous County"
"156","China","Hainan Province","Chengmai County"
"157","China","Hainan Province","Danzhou"
"158","China","Hainan Province","Ding'an County"
"159","China","Hainan Province","Dongfang City"
"160","China","Hainan Province","Haikou"
"161","China","Hainan Province","Ledong Li Autonomous County"
