"","date","time_reported","cases_cumulative","fatalities_cumulative","tests_cumulative","source_cases","source_fatalities","source_tests"
"1","03/02/20","NA","NA","NA","NA","NA","NA","NA"
"2","03/03/20","NA","NA","NA","NA","NA","NA","NA"
"3","03/04/20","NA","2","NA","2","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"4","03/05/20","NA","2","NA","2","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"5","03/06/20","NA","2","NA","2","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"6","03/07/20","NA","6","NA","6","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"7","03/08/20","NA","7","NA","7","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"8","03/09/20","NA","12","NA","12","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"9","03/10/20","NA","17","NA","17","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"10","03/11/20","NA","22","NA","22","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"11","03/12/20","NA","31","NA","31","https://covidtracking.com/data/state/georgia/","NA","https://covidtracking.com/data/state/georgia/"
"12","03/13/20","NA","42","1","42","https://covidtracking.com/data/state/georgia/","https://covidtracking.com/data/state/georgia/","https://covidtracking.com/data/state/georgia/"
"13","03/14/20","12:00 PM","66","1","66","https://web.archive.org/web/20200314224758/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200314224758/https://dph.georgia.gov/covid-19-daily-status-report","https://covidtracking.com/data/state/georgia/"
"14","03/15/20","12:00 PM","99","1","99","https://web.archive.org/web/20200316003553/https:/dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200316003553/https:/dph.georgia.gov/covid-19-daily-status-report","https://covidtracking.com/data/state/georgia/"
"15","03/16/20","12:00 PM","121","1","121","https://web.archive.org/web/20200316162454/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200316162454/https://dph.georgia.gov/covid-19-daily-status-report","https://covidtracking.com/data/state/georgia/"
"16","03/17/20","12:00 PM","146","1","146","https://web.archive.org/web/20200317165049/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200317165049/https://dph.georgia.gov/covid-19-daily-status-report","https://covidtracking.com/data/state/georgia/"
"17","03/18/20","12:00 PM","197","1","1508","https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report"
"18","03/19/20","12:00 PM","287","10","1831","https://web.archive.org/web/20200319174155/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200319174155/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report"
"19","03/20/20","7:00 PM","485","14","2386","https://web.archive.org/web/20200321073215/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200321073215/https://dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report"
"20","03/21/20","7:00 PM","555","20","3616","https://web.archive.org/web/20200321165454/https:/dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200321165454/https:/dph.georgia.gov/covid-19-daily-status-report","https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report"
"21","03/22/20","7:00 PM","620","25","4020","https://dph.georgia.gov/covid-19-daily-status-report","https://dph.georgia.gov/covid-19-daily-status-report","https://dph.georgia.gov/covid-19-daily-status-report"
"22","03/23/20","7:00 PM","800","26","5069","https://dph.georgia.gov/covid-19-daily-status-report","https://dph.georgia.gov/covid-19-daily-status-report","https://dph.georgia.gov/covid-19-daily-status-report"
"23","03/24/20","7:00 pm","1097","361","5484","https://dph.georgia.gov/covid-19-daily-status-report","https://dph.georgia.gov/covid-19-daily-status-report","https://dph.georgia.gov/covid-19-daily-status-report"
