city_source,ADM2_source,ADM1_source,country_source,country_code_source,city_destination,ADM2_destination,ADM1_destination,country_destination,country_code_destination,travel_advisor,travel_advisor_type,travel_restriction_date,travel_restriction_date_end,strict_restrictions,notes,tr_source1,accessed_date1,who_by1,tr_source2,accessed_date2,who_by2,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Afghanistan,AF,,,2020-02-23,,no non-residents allowed,Afghanistan suspends all passenger movement (air and ground) to and from Iran,https://www.aljazeera.com/news/2020/02/china-coronavirus-outbreak-latest-updates-200222222743195.html,2020-02-24,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Samoa,WS,,,,American Samoa,AS,,,2020-03-14,,medical certificate required,Passengers arriving from Samoa must obtain a health clearance from Ministry of Health (MOH) 3 days prior to arrival,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Tonga,TO,,,,American Samoa,AS,,,2020-03-14,,medical certificate required,"Passengers who transited or have been in countries affected by Coronavirus (COVI-19), when arriving from Hawaii, must: spend 14 days in Hawaii; and obtain a health clearance 3 days before arrival in Samoa (American)",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,American Samoa,AS,Talofa Airways,Corporate,2020-03-14,,flights suspended,Flights from Tonga with Talofa Airways are suspended.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Algeria,DZ,,,,Angola,AO,,,2020-03-01,2020-03-04,,"Authorities previously announced a similar measure temporarily barring those traveling from Nigeria, Egypt, Guinea Bissau, and Algeria from entering Angola. However, the Angolan Interministerial Commission decided to withdraw African countries from the list.",https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/321156/angola-entry-restrictions-updated-amid-covid-19-outbreak-march-4-update-2,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Angola,AO,,,2020-03-01,,no non-residents allowed,"1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,Egypt,EG,,,,Angola,AO,,,2020-03-01,2020-03-04,no non-residents allowed,"Authorities previously announced a similar measure temporarily barring those traveling from Nigeria, Egypt, Guinea Bissau, and Algeria from entering Angola. However, the Angolan Interministerial Commission decided to withdraw African countries from the list.",https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/321156/angola-entry-restrictions-updated-amid-covid-19-outbreak-march-4-update-2,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Angola,AO,,,2020-03-01,,no non-residents allowed,"1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Angola,AO,,,2020-03-01,,no non-residents allowed,"1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,Nigeria,NG,,,,Angola,AO,,,2020-03-01,2020-03-04,no non-residents allowed,"Authorities previously announced a similar measure temporarily barring those traveling from Nigeria, Egypt, Guinea Bissau, and Algeria from entering Angola. However, the Angolan Interministerial Commission decided to withdraw African countries from the list.",https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/321156/angola-entry-restrictions-updated-amid-covid-19-outbreak-march-4-update-2,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Angola,AO,,,2020-03-01,,no non-residents allowed,"1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-12,CAS,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-03-12,CAS,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Antigua and Barbuda,AG,,,2020-01-31,,no non-residents allowed,Visitors and airline crew who have been in China (People's Rep.) in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and residents diplomats of Antigua and Barbuda who have been in China (People's Rep.) in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-12,TCO,https://www.garda.com/crisis24/news-alerts/310756/antigua-bermuda-authorities-ban-entry-to-travelers-from-mainland-china-amid-coronavirus-january-31,2020-02-24,CAS,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Antigua and Barbuda,AG,,,2020-03-12,,no non-residents allowed,"1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-13,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Antigua and Barbuda,AG,,,2020-03-10,,no non-residents allowed,Passengers and airline crew who have been in China (People’s Rep.) or Italy in the past 28 days are not allowed to enter Antigua and Barbuda.Nationals and resident diplomats of Antigua and Barbuda who have been in China (People’s Rep.) or Italy in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-13,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Japan,JP,,,,Antigua and Barbuda,AG,,,2020-03-12,,no non-residents allowed,"1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-13,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Singapore,SG,,,,Antigua and Barbuda,AG,,,2020-03-12,,no non-residents allowed,"1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-13,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Antigua and Barbuda,AG,,,2020-03-12,,no non-residents allowed,"1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-13,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,France,FR,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Germany,DE,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Japan,JP,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Spain,ES,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,United States,US,,,,Argentina,AR,,,2020-03-15,,self-isolate on arrival,"Passengers arriving from or transiting through China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA will be quarantined.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,Argentina,AR,,,2020-03-17,,no non-residents allowed,Passengers are not allowed to enter Argentina. This does not apply to nationals and residents of Argentina.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Armenia,AM,Ministry of Foreign Affairs,Government,2020-02-01,2020-03-31,suspension of visa on arrival,suspension of the visa free regime for passport holders of the People's Republic of China,https://www.mfa.am/en/interviews-articles-and-comments/2020/01/31/ch_visa/10054,2020-02-17,TCO,https://www.panarmenian.net/eng/news/277482/,2020-02-24,CAS,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Armenia,AM,Prime Minister,Government,2020-02-24,,flights suspended,"""limited"" air traffic",https://www.panarmenian.net/eng/news/278239/,2020-02-24,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Aruba,AW,,,2020-02-28,,no non-residents allowed,"Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days will be subject to immediate screening by the Department of Public Health. The Department of Public Health will decide if the passengers or airline crew must be quarantined or isolated.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-28,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Aruba,AW,,,2020-02-28,,no non-residents allowed,"Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days will be subject to immediate screening by the Department of Public Health. The Department of Public Health will decide if the passengers or airline crew must be quarantined or isolated.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-28,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Aruba,AW,,,2020-02-28,,no non-residents allowed,"Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days will be subject to immediate screening by the Department of Public Health. The Department of Public Health will decide if the passengers or airline crew must be quarantined or isolated.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-28,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Japan,JP,,,,Aruba,AW,,,2020-02-28,,no non-residents allowed,"Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days will be subject to immediate screening by the Department of Public Health. The Department of Public Health will decide if the passengers or airline crew must be quarantined or isolated.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-28,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Aruba,AW,,,2020-02-28,,no non-residents allowed,"Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days will be subject to immediate screening by the Department of Public Health. The Department of Public Health will decide if the passengers or airline crew must be quarantined or isolated.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-28,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Austria,AT,,,,Aruba,AW,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, Croatia, China (People's Rep.), Chinese Taipei, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Ireland (Rep.), Italy, Iran, Japan, Korea (Rep.), Latvia, Lithuania, Luxembourg, Macao (SAR China), Malta, Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, and United Kingdom in the past 14 days are not allowed to enter Aruba. This does not apply to residents of Aruba. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Belgium,BE,,,,Aruba,AW,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, Croatia, China (People's Rep.), Chinese Taipei, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Ireland (Rep.), Italy, Iran, Japan, Korea (Rep.), Latvia, Lithuania, Luxembourg, Macao (SAR China), Malta, Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, and United Kingdom in the past 14 days are not allowed to enter Aruba. This does not apply to residents of Aruba. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
