"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"1","Alabama","AL",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"2","Alabama","AL",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"3","Alabama","AL",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"4","Alabama","AL",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"5","Alabama","AL",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"6","Alabama","AL",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"7","Alabama","AL",2020-03-19 19:28:58,2020-03-08,12,2825,56,0,11
"8","Alabama","AL",2020-03-19 19:28:58,2020-03-15,66,11855,170,0,12
"9","Alaska","AK",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"10","Alaska","AK",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"11","Alaska","AK",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"12","Alaska","AK",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"13","Alaska","AK",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"14","Alaska","AK",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"15","Alaska","AK",2020-03-19 19:28:58,2020-03-08,1,2825,56,0,11
"16","Alaska","AK",2020-03-19 19:28:58,2020-03-15,8,11855,170,0,12
"17","Arizona","AZ",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"18","Arizona","AZ",2020-03-19 19:28:58,2020-01-26,1,8,0,0,5
"19","Arizona","AZ",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"20","Arizona","AZ",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"21","Arizona","AZ",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"22","Arizona","AZ",2020-03-19 19:28:58,2020-03-01,4,353,19,0,10
"23","Arizona","AZ",2020-03-19 19:28:58,2020-03-08,7,2825,56,0,11
"24","Arizona","AZ",2020-03-19 19:28:58,2020-03-15,32,11855,170,0,12
"25","Arkansas","AR",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"26","Arkansas","AR",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
