"","WeekStart","epiweek","national_weekly_cases","national_weekly_deaths","national_weekly_rec","date_time_accessed"
"1",2020-01-19,4,3,0,0,2020-04-13 13:04:27
"2",2020-01-26,5,8,0,0,2020-04-13 13:04:27
"3",2020-02-02,6,12,0,0,2020-04-13 13:04:27
"4",2020-02-09,7,12,0,3,2020-04-13 13:04:27
"5",2020-02-16,8,14,0,5,2020-04-13 13:04:27
"6",2020-02-23,9,24,1,7,2020-04-13 13:04:27
"7",2020-03-01,10,353,19,15,2020-04-13 13:04:27
"8",2020-03-08,11,2825,56,49,2020-04-13 13:04:27
"9",2020-03-15,12,23710,298,171,2020-04-13 13:04:27
"10",2020-03-22,13,121105,2039,3231,2020-04-13 13:04:27
"11",2020-03-29,14,307876,8359,14825,2020-04-13 13:04:27
"12",2020-04-05,15,525436,20443,30453,2020-04-13 13:04:27
"13",2020-04-12,16,553493,21936,32634,2020-04-13 13:04:27
