"","location","State_Code","WeekStart","epiweek","state_weekly_cases","date_time_accessed"
"1","Alabama","AL",2020-01-19,4,0,2020-04-13 13:04:27
"2","Alabama","AL",2020-01-26,5,0,2020-04-13 13:04:27
"3","Alabama","AL",2020-02-02,6,0,2020-04-13 13:04:27
"4","Alabama","AL",2020-02-09,7,0,2020-04-13 13:04:27
"5","Alabama","AL",2020-02-16,8,0,2020-04-13 13:04:27
"6","Alabama","AL",2020-02-23,9,0,2020-04-13 13:04:27
"7","Alabama","AL",2020-03-01,10,0,2020-04-13 13:04:27
"8","Alabama","AL",2020-03-08,11,12,2020-04-13 13:04:27
"9","Alabama","AL",2020-03-15,12,112,2020-04-13 13:04:27
"10","Alabama","AL",2020-03-22,13,572,2020-04-13 13:04:27
"11","Alabama","AL",2020-03-29,14,937,2020-04-13 13:04:27
"12","Alabama","AL",2020-04-05,15,1629,2020-04-13 13:04:27
"13","Alabama","AL",2020-04-12,16,321,2020-04-13 13:04:27
"14","Alaska","AK",2020-01-19,4,0,2020-04-13 13:04:27
"15","Alaska","AK",2020-01-26,5,0,2020-04-13 13:04:27
"16","Alaska","AK",2020-02-02,6,0,2020-04-13 13:04:27
"17","Alaska","AK",2020-02-09,7,0,2020-04-13 13:04:27
"18","Alaska","AK",2020-02-16,8,0,2020-04-13 13:04:27
"19","Alaska","AK",2020-02-23,9,0,2020-04-13 13:04:27
"20","Alaska","AK",2020-03-01,10,0,2020-04-13 13:04:27
"21","Alaska","AK",2020-03-08,11,1,2020-04-13 13:04:27
"22","Alaska","AK",2020-03-15,12,13,2020-04-13 13:04:27
"23","Alaska","AK",2020-03-22,13,88,2020-04-13 13:04:27
"24","Alaska","AK",2020-03-29,14,69,2020-04-13 13:04:27
"25","Alaska","AK",2020-04-05,15,86,2020-04-13 13:04:27
"26","Alaska","AK",2020-04-12,16,15,2020-04-13 13:04:27
"27","Arizona","AZ",2020-01-19,4,0,2020-04-13 13:04:27
"28","Arizona","AZ",2020-01-26,5,1,2020-04-13 13:04:27
"29","Arizona","AZ",2020-02-02,6,0,2020-04-13 13:04:27
"30","Arizona","AZ",2020-02-09,7,0,2020-04-13 13:04:27
"31","Arizona","AZ",2020-02-16,8,0,2020-04-13 13:04:27
"32","Arizona","AZ",2020-02-23,9,0,2020-04-13 13:04:27
"33","Arizona","AZ",2020-03-01,10,4,2020-04-13 13:04:27
"34","Arizona","AZ",2020-03-08,11,7,2020-04-13 13:04:27
"35","Arizona","AZ",2020-03-15,12,92,2020-04-13 13:04:27
"36","Arizona","AZ",2020-03-22,13,669,2020-04-13 13:04:27
"37","Arizona","AZ",2020-03-29,14,1246,2020-04-13 13:04:27
"38","Arizona","AZ",2020-04-05,15,1374,2020-04-13 13:04:27
"39","Arizona","AZ",2020-04-12,16,146,2020-04-13 13:04:27
"40","Arkansas","AR",2020-01-19,4,0,2020-04-13 13:04:27
"41","Arkansas","AR",2020-01-26,5,0,2020-04-13 13:04:27
"42","Arkansas","AR",2020-02-02,6,0,2020-04-13 13:04:27
"43","Arkansas","AR",2020-02-09,7,0,2020-04-13 13:04:27
"44","Arkansas","AR",2020-02-16,8,0,2020-04-13 13:04:27
"45","Arkansas","AR",2020-02-23,9,0,2020-04-13 13:04:27
"46","Arkansas","AR",2020-03-01,10,0,2020-04-13 13:04:27
"47","Arkansas","AR",2020-03-08,11,12,2020-04-13 13:04:27
"48","Arkansas","AR",2020-03-15,12,106,2020-04-13 13:04:27
"49","Arkansas","AR",2020-03-22,13,291,2020-04-13 13:04:27
"50","Arkansas","AR",2020-03-29,14,334,2020-04-13 13:04:27
"51","Arkansas","AR",2020-04-05,15,485,2020-04-13 13:04:27
"52","Arkansas","AR",2020-04-12,16,52,2020-04-13 13:04:27
"53","California","CA",2020-01-19,4,1,2020-04-13 13:04:27
"54","California","CA",2020-01-26,5,2,2020-04-13 13:04:27
"55","California","CA",2020-02-02,6,3,2020-04-13 13:04:27
"56","California","CA",2020-02-09,7,0,2020-04-13 13:04:27
"57","California","CA",2020-02-16,8,2,2020-04-13 13:04:27
"58","California","CA",2020-02-23,9,3,2020-04-13 13:04:27
"59","California","CA",2020-03-01,10,53,2020-04-13 13:04:27
"60","California","CA",2020-03-08,11,198,2020-04-13 13:04:27
"61","California","CA",2020-03-15,12,938,2020-04-13 13:04:27
"62","California","CA",2020-03-22,13,3443,2020-04-13 13:04:27
"63","California","CA",2020-03-29,14,7383,2020-04-13 13:04:27
"64","California","CA",2020-04-05,15,8589,2020-04-13 13:04:27
"65","California","CA",2020-04-12,16,1179,2020-04-13 13:04:27
"66","Colorado","CO",2020-01-19,4,0,2020-04-13 13:04:27
"67","Colorado","CO",2020-01-26,5,0,2020-04-13 13:04:27
"68","Colorado","CO",2020-02-02,6,0,2020-04-13 13:04:27
"69","Colorado","CO",2020-02-09,7,0,2020-04-13 13:04:27
"70","Colorado","CO",2020-02-16,8,0,2020-04-13 13:04:27
"71","Colorado","CO",2020-02-23,9,0,2020-04-13 13:04:27
"72","Colorado","CO",2020-03-01,10,8,2020-04-13 13:04:27
"73","Colorado","CO",2020-03-08,11,93,2020-04-13 13:04:27
"74","Colorado","CO",2020-03-15,12,374,2020-04-13 13:04:27
"75","Colorado","CO",2020-03-22,13,1586,2020-04-13 13:04:27
"76","Colorado","CO",2020-03-29,14,2504,2020-04-13 13:04:27
"77","Colorado","CO",2020-04-05,15,2328,2020-04-13 13:04:27
"78","Colorado","CO",2020-04-12,16,410,2020-04-13 13:04:27
"79","Connecticut","CT",2020-01-19,4,0,2020-04-13 13:04:27
"80","Connecticut","CT",2020-01-26,5,0,2020-04-13 13:04:27
"81","Connecticut","CT",2020-02-02,6,0,2020-04-13 13:04:27
"82","Connecticut","CT",2020-02-09,7,0,2020-04-13 13:04:27
"83","Connecticut","CT",2020-02-16,8,0,2020-04-13 13:04:27
"84","Connecticut","CT",2020-02-23,9,0,2020-04-13 13:04:27
"85","Connecticut","CT",2020-03-01,10,0,2020-04-13 13:04:27
"86","Connecticut","CT",2020-03-08,11,20,2020-04-13 13:04:27
"87","Connecticut","CT",2020-03-15,12,203,2020-04-13 13:04:27
"88","Connecticut","CT",2020-03-22,13,1301,2020-04-13 13:04:27
"89","Connecticut","CT",2020-03-29,14,3752,2020-04-13 13:04:27
"90","Connecticut","CT",2020-04-05,15,6234,2020-04-13 13:04:27
"91","Connecticut","CT",2020-04-12,16,525,2020-04-13 13:04:27
"92","Delaware","DE",2020-01-19,4,0,2020-04-13 13:04:27
"93","Delaware","DE",2020-01-26,5,0,2020-04-13 13:04:27
"94","Delaware","DE",2020-02-02,6,0,2020-04-13 13:04:27
"95","Delaware","DE",2020-02-09,7,0,2020-04-13 13:04:27
"96","Delaware","DE",2020-02-16,8,0,2020-04-13 13:04:27
"97","Delaware","DE",2020-02-23,9,0,2020-04-13 13:04:27
"98","Delaware","DE",2020-03-01,10,0,2020-04-13 13:04:27
"99","Delaware","DE",2020-03-08,11,6,2020-04-13 13:04:27
"100","Delaware","DE",2020-03-15,12,39,2020-04-13 13:04:27
"101","Delaware","DE",2020-03-22,13,169,2020-04-13 13:04:27
"102","Delaware","DE",2020-03-29,14,379,2020-04-13 13:04:27
"103","Delaware","DE",2020-04-05,15,886,2020-04-13 13:04:27
"104","Delaware","DE",2020-04-12,16,146,2020-04-13 13:04:27
"105","District of Columbia","DC",2020-01-19,4,0,2020-04-13 13:04:27
"106","District of Columbia","DC",2020-01-26,5,0,2020-04-13 13:04:27
"107","District of Columbia","DC",2020-02-02,6,0,2020-04-13 13:04:27
"108","District of Columbia","DC",2020-02-09,7,0,2020-04-13 13:04:27
"109","District of Columbia","DC",2020-02-16,8,0,2020-04-13 13:04:27
"110","District of Columbia","DC",2020-02-23,9,0,2020-04-13 13:04:27
"111","District of Columbia","DC",2020-03-01,10,1,2020-04-13 13:04:27
"112","District of Columbia","DC",2020-03-08,11,15,2020-04-13 13:04:27
"113","District of Columbia","DC",2020-03-15,12,82,2020-04-13 13:04:27
"114","District of Columbia","DC",2020-03-22,13,244,2020-04-13 13:04:27
"115","District of Columbia","DC",2020-03-29,14,560,2020-04-13 13:04:27
"116","District of Columbia","DC",2020-04-05,15,876,2020-04-13 13:04:27
"117","District of Columbia","DC",2020-04-12,16,97,2020-04-13 13:04:27
"118","Florida","FL",2020-01-19,4,0,2020-04-13 13:04:27
"119","Florida","FL",2020-01-26,5,0,2020-04-13 13:04:27
"120","Florida","FL",2020-02-02,6,0,2020-04-13 13:04:27
"121","Florida","FL",2020-02-09,7,0,2020-04-13 13:04:27
"122","Florida","FL",2020-02-16,8,0,2020-04-13 13:04:27
"123","Florida","FL",2020-02-23,9,0,2020-04-13 13:04:27
"124","Florida","FL",2020-03-01,10,8,2020-04-13 13:04:27
"125","Florida","FL",2020-03-08,11,108,2020-04-13 13:04:27
"126","Florida","FL",2020-03-15,12,542,2020-04-13 13:04:27
"127","Florida","FL",2020-03-22,13,3380,2020-04-13 13:04:27
"128","Florida","FL",2020-03-29,14,7507,2020-04-13 13:04:27
"129","Florida","FL",2020-04-05,15,7441,2020-04-13 13:04:27
"130","Florida","FL",2020-04-12,16,909,2020-04-13 13:04:27
"131","Georgia","GA",2020-01-19,4,0,2020-04-13 13:04:27
"132","Georgia","GA",2020-01-26,5,0,2020-04-13 13:04:27
"133","Georgia","GA",2020-02-02,6,0,2020-04-13 13:04:27
"134","Georgia","GA",2020-02-09,7,0,2020-04-13 13:04:27
"135","Georgia","GA",2020-02-16,8,0,2020-04-13 13:04:27
"136","Georgia","GA",2020-02-23,9,0,2020-04-13 13:04:27
"137","Georgia","GA",2020-03-01,10,7,2020-04-13 13:04:27
"138","Georgia","GA",2020-03-08,11,59,2020-04-13 13:04:27
"139","Georgia","GA",2020-03-15,12,441,2020-04-13 13:04:27
"140","Georgia","GA",2020-03-22,13,1939,2020-04-13 13:04:27
"141","Georgia","GA",2020-03-29,14,3937,2020-04-13 13:04:27
"142","Georgia","GA",2020-04-05,15,5878,2020-04-13 13:04:27
"143","Georgia","GA",2020-04-12,16,289,2020-04-13 13:04:27
"144","Guam","GU",2020-01-19,4,0,2020-04-13 13:04:27
"145","Guam","GU",2020-01-26,5,0,2020-04-13 13:04:27
"146","Guam","GU",2020-02-02,6,0,2020-04-13 13:04:27
"147","Guam","GU",2020-02-09,7,0,2020-04-13 13:04:27
"148","Guam","GU",2020-02-16,8,0,2020-04-13 13:04:27
"149","Guam","GU",2020-02-23,9,0,2020-04-13 13:04:27
"150","Guam","GU",2020-03-01,10,0,2020-04-13 13:04:27
"151","Guam","GU",2020-03-08,11,0,2020-04-13 13:04:27
"152","Guam","GU",2020-03-15,12,15,2020-04-13 13:04:27
"153","Guam","GU",2020-03-22,13,40,2020-04-13 13:04:27
"154","Guam","GU",2020-03-29,14,38,2020-04-13 13:04:27
"155","Guam","GU",2020-04-05,15,40,2020-04-13 13:04:27
"156","Guam","GU",2020-04-12,16,0,2020-04-13 13:04:27
"157","Hawaii","HI",2020-01-19,4,0,2020-04-13 13:04:27
"158","Hawaii","HI",2020-01-26,5,0,2020-04-13 13:04:27
"159","Hawaii","HI",2020-02-02,6,0,2020-04-13 13:04:27
"160","Hawaii","HI",2020-02-09,7,0,2020-04-13 13:04:27
"161","Hawaii","HI",2020-02-16,8,0,2020-04-13 13:04:27
"162","Hawaii","HI",2020-02-23,9,0,2020-04-13 13:04:27
"163","Hawaii","HI",2020-03-01,10,1,2020-04-13 13:04:27
"164","Hawaii","HI",2020-03-08,11,3,2020-04-13 13:04:27
"165","Hawaii","HI",2020-03-15,12,44,2020-04-13 13:04:27
"166","Hawaii","HI",2020-03-22,13,103,2020-04-13 13:04:27
"167","Hawaii","HI",2020-03-29,14,200,2020-04-13 13:04:27
"168","Hawaii","HI",2020-04-05,15,135,2020-04-13 13:04:27
"169","Hawaii","HI",2020-04-12,16,13,2020-04-13 13:04:27
"170","Idaho","ID",2020-01-19,4,0,2020-04-13 13:04:27
"171","Idaho","ID",2020-01-26,5,0,2020-04-13 13:04:27
"172","Idaho","ID",2020-02-02,6,0,2020-04-13 13:04:27
"173","Idaho","ID",2020-02-09,7,0,2020-04-13 13:04:27
"174","Idaho","ID",2020-02-16,8,0,2020-04-13 13:04:27
"175","Idaho","ID",2020-02-23,9,0,2020-04-13 13:04:27
"176","Idaho","ID",2020-03-01,10,0,2020-04-13 13:04:27
"177","Idaho","ID",2020-03-08,11,5,2020-04-13 13:04:27
"178","Idaho","ID",2020-03-15,12,38,2020-04-13 13:04:27
"179","Idaho","ID",2020-03-22,13,218,2020-04-13 13:04:27
"180","Idaho","ID",2020-03-29,14,816,2020-04-13 13:04:27
"181","Idaho","ID",2020-04-05,15,330,2020-04-13 13:04:27
"182","Idaho","ID",2020-04-12,16,19,2020-04-13 13:04:27
"183","Illinois","IL",2020-01-19,4,1,2020-04-13 13:04:27
"184","Illinois","IL",2020-01-26,5,1,2020-04-13 13:04:27
"185","Illinois","IL",2020-02-02,6,0,2020-04-13 13:04:27
"186","Illinois","IL",2020-02-09,7,0,2020-04-13 13:04:27
"187","Illinois","IL",2020-02-16,8,0,2020-04-13 13:04:27
"188","Illinois","IL",2020-02-23,9,1,2020-04-13 13:04:27
"189","Illinois","IL",2020-03-01,10,3,2020-04-13 13:04:27
"190","Illinois","IL",2020-03-08,11,58,2020-04-13 13:04:27
"191","Illinois","IL",2020-03-15,12,695,2020-04-13 13:04:27
"192","Illinois","IL",2020-03-22,13,2732,2020-04-13 13:04:27
"193","Illinois","IL",2020-03-29,14,6866,2020-04-13 13:04:27
"194","Illinois","IL",2020-04-05,15,8823,2020-04-13 13:04:27
"195","Illinois","IL",2020-04-12,16,1672,2020-04-13 13:04:27
"196","Indiana","IN",2020-01-19,4,0,2020-04-13 13:04:27
"197","Indiana","IN",2020-01-26,5,0,2020-04-13 13:04:27
"198","Indiana","IN",2020-02-02,6,0,2020-04-13 13:04:27
"199","Indiana","IN",2020-02-09,7,0,2020-04-13 13:04:27
"200","Indiana","IN",2020-02-16,8,0,2020-04-13 13:04:27
"201","Indiana","IN",2020-02-23,9,0,2020-04-13 13:04:27
"202","Indiana","IN",2020-03-01,10,2,2020-04-13 13:04:27
"203","Indiana","IN",2020-03-08,11,17,2020-04-13 13:04:27
"204","Indiana","IN",2020-03-15,12,107,2020-04-13 13:04:27
"205","Indiana","IN",2020-03-22,13,1106,2020-04-13 13:04:27
"206","Indiana","IN",2020-03-29,14,2721,2020-04-13 13:04:27
"207","Indiana","IN",2020-04-05,15,3482,2020-04-13 13:04:27
"208","Indiana","IN",2020-04-12,16,493,2020-04-13 13:04:27
"209","Iowa","IA",2020-01-19,4,0,2020-04-13 13:04:27
"210","Iowa","IA",2020-01-26,5,0,2020-04-13 13:04:27
"211","Iowa","IA",2020-02-02,6,0,2020-04-13 13:04:27
"212","Iowa","IA",2020-02-09,7,0,2020-04-13 13:04:27
"213","Iowa","IA",2020-02-16,8,0,2020-04-13 13:04:27
"214","Iowa","IA",2020-02-23,9,0,2020-04-13 13:04:27
"215","Iowa","IA",2020-03-01,10,0,2020-04-13 13:04:27
"216","Iowa","IA",2020-03-08,11,18,2020-04-13 13:04:27
"217","Iowa","IA",2020-03-15,12,50,2020-04-13 13:04:27
"218","Iowa","IA",2020-03-22,13,230,2020-04-13 13:04:27
"219","Iowa","IA",2020-03-29,14,488,2020-04-13 13:04:27
"220","Iowa","IA",2020-04-05,15,724,2020-04-13 13:04:27
"221","Iowa","IA",2020-04-12,16,77,2020-04-13 13:04:27
"222","Kansas","KS",2020-01-19,4,0,2020-04-13 13:04:27
"223","Kansas","KS",2020-01-26,5,0,2020-04-13 13:04:27
"224","Kansas","KS",2020-02-02,6,0,2020-04-13 13:04:27
"225","Kansas","KS",2020-02-09,7,0,2020-04-13 13:04:27
"226","Kansas","KS",2020-02-16,8,0,2020-04-13 13:04:27
"227","Kansas","KS",2020-02-23,9,0,2020-04-13 13:04:27
"228","Kansas","KS",2020-03-01,10,1,2020-04-13 13:04:27
"229","Kansas","KS",2020-03-08,11,7,2020-04-13 13:04:27
"230","Kansas","KS",2020-03-15,12,47,2020-04-13 13:04:27
"231","Kansas","KS",2020-03-22,13,206,2020-04-13 13:04:27
"232","Kansas","KS",2020-03-29,14,437,2020-04-13 13:04:27
"233","Kansas","KS",2020-04-05,15,570,2020-04-13 13:04:27
"234","Kansas","KS",2020-04-12,16,69,2020-04-13 13:04:27
"235","Kentucky","KY",2020-01-19,4,0,2020-04-13 13:04:27
"236","Kentucky","KY",2020-01-26,5,0,2020-04-13 13:04:27
"237","Kentucky","KY",2020-02-02,6,0,2020-04-13 13:04:27
"238","Kentucky","KY",2020-02-09,7,0,2020-04-13 13:04:27
"239","Kentucky","KY",2020-02-16,8,0,2020-04-13 13:04:27
"240","Kentucky","KY",2020-02-23,9,0,2020-04-13 13:04:27
"241","Kentucky","KY",2020-03-01,10,1,2020-04-13 13:04:27
"242","Kentucky","KY",2020-03-08,11,15,2020-04-13 13:04:27
"243","Kentucky","KY",2020-03-15,12,38,2020-04-13 13:04:27
"244","Kentucky","KY",2020-03-22,13,340,2020-04-13 13:04:27
"245","Kentucky","KY",2020-03-29,14,523,2020-04-13 13:04:27
"246","Kentucky","KY",2020-04-05,15,923,2020-04-13 13:04:27
"247","Kentucky","KY",2020-04-12,16,123,2020-04-13 13:04:27
"248","Louisiana","LA",2020-01-19,4,0,2020-04-13 13:04:27
"249","Louisiana","LA",2020-01-26,5,0,2020-04-13 13:04:27
"250","Louisiana","LA",2020-02-02,6,0,2020-04-13 13:04:27
"251","Louisiana","LA",2020-02-09,7,0,2020-04-13 13:04:27
"252","Louisiana","LA",2020-02-16,8,0,2020-04-13 13:04:27
"253","Louisiana","LA",2020-02-23,9,0,2020-04-13 13:04:27
"254","Louisiana","LA",2020-03-01,10,0,2020-04-13 13:04:27
"255","Louisiana","LA",2020-03-08,11,77,2020-04-13 13:04:27
