COVID-19 Vaccinations in the United States
Date generated: Wed Jan 27 2021 09:51:10 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,162925,98149,22271,13417,81200,11100,16815,2299
Alabama,569000,254959,11605,5200,223854,4565,30933,631
Arkansas,394775,236290,13082,7830,196815,6522,37055,1228
American Samoa,18450,8315,33130,14931,7365,13225,948,1702
Arizona,837200,430892,11502,5920,366018,5029,64551,887
Bureau of Prisons,30050,25513,N/A,N/A,19471,0,5971,0
California,5340275,2446577,13516,6192,2053652,5198,387563,981
Colorado,726450,457746,12615,7949,372266,6464,82946,1440
Connecticut,515675,342643,14464,9611,291257,8169,45190,1267
District of Columbia,97600,64748,13829,9174,51399,7283,13293,1884
Dept of Defense,689425,346180,N/A,N/A,304294,0,35570,0
Delaware,129250,68507,13273,7035,56646,5817,11724,1204
Florida,3095350,1575490,14412,7335,1412466,6576,158886,740
Federated States of Micronesia,19400,2977,18718,2872,2973,2869,4,4
Georgia,1309850,668589,12337,6297,591385,5570,64989,612
Guam,34300,17306,20692,10440,13378,8070,3803,2294
Hawaii,210425,93760,14862,6622,75820,5355,17939,1267
Iowa,361575,197982,11460,6275,162795,5160,32547,1032
Idaho,184025,93766,10298,5247,78484,4392,14627,818
Indian Health Svc,357950,158282,N/A,N/A,131481,0,25502,0
Illinois,1548950,737989,12224,5824,590212,4658,140394,1108
Indiana,900175,498824,13371,7410,413982,6149,84719,1258
Kansas,348175,158743,11951,5449,132153,4536,25349,870
Kentucky,557975,312192,12489,6988,279715,6261,30633,686
Louisiana,602025,345675,12950,7436,301874,6494,43189,929
Massachusetts,875825,442703,12707,6423,376313,5460,65761,954
Maryland,786300,365519,13006,6046,322860,5340,42228,698
Maine,195925,104924,14575,7806,83464,6209,20096,1495
Marshall Islands,13600,3284,23282,5622,3250,5564,3,5
Michigan,1289025,742270,12907,7432,611090,6119,119962,1201
Minnesota,689450,360442,12225,6391,287195,5092,72622,1288
Missouri,665300,340273,10840,5544,262230,4273,76467,1246
Northern Mariana Islands,18650,8738,32787,15362,5679,9984,3055,5371
Mississippi,372050,182013,12501,6116,165668,5567,16134,542
Montana,119500,77748,11181,7274,63481,5940,14245,1333
North Carolina,1250900,699722,11927,6672,611853,5834,87292,832
North Dakota,86750,75457,11384,9902,58131,7628,15742,2066
Nebraska,238100,135131,12309,6986,111248,5751,23065,1192
New Hampshire,180525,97002,13277,7134,81417,5988,15542,1143
New Jersey,1091400,575733,12288,6482,501812,5650,72212,813
New Mexico,270725,210136,12911,10022,171579,8183,35823,1708
Nevada,338025,164362,10974,5336,140934,4576,22508,731
New York State,2401900,1453972,12347,7474,1245215,6401,189791,976
Ohio,1406950,708026,12036,6057,627390,5367,80329,687
Oklahoma,530675,328874,13411,8311,284799,7197,41814,1057
Oregon,589200,308066,13970,7304,263167,6240,43942,1042
Pennsylvania,1636675,800354,12785,6252,657711,5138,141304,1104
Puerto Rico,416900,188681,13054,5908,147910,4631,39522,1238
Rhode Island,151675,72264,14318,6821,58097,5484,14148,1336
Republic of Palau,6000,3046,33506,17010,3044,16999,2,11
South Carolina,519600,317211,10092,6161,267262,5191,48157,935
South Dakota,117725,82823,13307,9362,64012,7236,18753,2120
Tennessee,838925,467933,12284,6852,365235,5348,101657,1489
Texas,3342350,1917896,11527,6614,1614648,5569,301684,1040
Utah,374850,230418,11692,7187,196507,6129,25817,805
Virginia,1172375,594828,13735,6969,497055,5823,72628,851
Veterans Health,1260325,703351,N/A,N/A,600904,0,101749,0
Virgin Islands,15700,3747,14998,3579,3251,3106,496,474
Vermont,92925,54416,14892,8721,43994,7050,10349,1659
Washington,960800,507610,12617,6666,420728,5525,76144,1000
Wisconsin,685100,318096,11767,5463,268091,4604,48017,825
West Virginia,278400,210492,15534,11745,167660,9355,42821,2389
Wyoming,71725,41339,12393,7143,36398,6289,4900,847
