"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","Death_New","Death_Cml","time_last_update"
"Feb 29","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",NA
"Mar 1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",NA
"Mar 2","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6",NA
"Mar 3","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","9",NA
"Mar 4","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","11",NA
"Mar 6","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","3","14",NA
"Mar 7","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","19",NA
"Mar 8","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","21",NA
"Mar 9","","","1","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","26",NA
"Mar 10","","","1","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","5","31",NA
"Mar 11","","","1","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","37",NA
"Mar 12","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","4","41",NA
"Mar 13","","","1","1","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","49",NA
"Mar 14","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","1","","","","6","55",NA
"Mar 15","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","4","59",NA
"Mar 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","59","2020-03-16 12:39:08"
"Total","","","5","","","","","","","","","40","","","","","1","","","","","","","","1","","","","3","1","","2","","","","","","1","","","","","","","","2","1","","","","59","59","2020-03-16 12:39:08"
