"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","GU","PR","VI","deaths_New","deaths_Cml","time_last_update"
"Feb 29","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",NA
"Mar 1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",NA
"Mar 2","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6",NA
"Mar 3","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","9",NA
"Mar 4","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","11",NA
"Mar 6","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","3","14",NA
"Mar 7","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","19",NA
"Mar 8","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","21",NA
"Mar 9","","","1","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","26",NA
"Mar 10","","","1","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","5","31",NA
"Mar 11","","","1","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","37",NA
"Mar 12","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","4","41",NA
"Mar 13","","","1","1","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","49",NA
"Mar 14","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","1","","","","","","","7","56",NA
"Mar 15","","","1","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","6","62",NA
"Mar 16","","","","","","","","","1","","","6","","","","2","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","1","","","","","","","","13","75",NA
"Mar 17","","","5","1","","","","","","","","4","","","1","","","","","","","","","","","","","","2","","","1","","","","","1","","","","","","","","","","6","","","","","","","21","96",NA
"Mar 18","","","2","","","","","","","2","","14","","","","","","","","1","","","","","","","","","1","","","3","","","","","1","","","","","","","","","2","","","","","","","","26","122",NA
"Mar 19","","","3","2","","","","","","","","8","","","3","","","1","","","","","","1","","","","","1","9","","3","","","","","1","1","","","","","","","","4","14","1","","","","","","52","174",NA
"Mar 20","","1","3","","","","","","","","","9","","","1","1","","2","","","","","1","","","3","","","2","4","","4","1","","","","2","","","1","","1","1","","","2","14","","","2","","","","51","225",NA
"Mar 21","","","4","","","","","","1","","","11","","","1","","1","2","1","2","","","2","","","1","","","1","","","2","","","","","","","5","","","1","1","","","5","25","1","","","","","","67","292",NA
"Mar 22","","1","4","2","","","","","","1","1","1","","","3","3","","3","","","","","","1","","","","","2","15","","4","","","2","","","1","3","","","3","1","","","4","54","","","","","","","109","401",NA
"Mar 23","","","","1","","","","","","","","15","","","3","1","","7","","","","","3","","","1","","","4","","","14","","","2","2","","3","","1","","","","","","7","43","","","1","1","2","","111","512",NA
"Mar 24","1","3","13","","","","","","","","","13","","","4","","","9","","2","","","2","1","","","","","3","3","","12","","","","","4","1","4","","","6","","","1","17","53","5","","4","","","","161","673",NA
"Mar 25","","","13","12","","","","","","6","","9","","","3","7","1","19","","3","","","2","2","","1","1","2","3","","","19","4","1","2","1","3","2","7","","","4","","","","18","75","4","","1","","","","226","898",NA
"Mar 26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-03-26 00:13:03"
"Total","1","5","53","19","","","","","2","10","1","132","","","19","14","3","43","1","8","","","10","5","1","6","1","2","23","28","","65","5","1","7","3","12","9","19","2","","15","3","","1","62","285","11","","8","1","2","","898","898","2020-03-26 00:13:03"
