"city","province","prefecture","country","travel_advisor","travel_restriction_date_start1","travel_restriction_date_end1","strict_restrictions_prefecture","travel_restriction_date_start2","travel_restriction_date_end2","notes","tr_source","Accessed_date","who_by","tr_source2","accessed_date2","who_by2","notes2"
NA,"all Chinese provinces",NA,"China","Chinese Ministry of Tourism",2020-01-23,NA,NA,NA,NA,"notification of prevention and control procedures","https://www.mct.gov.cn/whzx/ggtz/202001/t20200123_850561.htm",2020-02-08,"ARW",NA,NA,NA,NA
NA,"all Chinese provinces",NA,"China","Chinese Ministry of Tourism",2020-01-14,NA,NA,NA,NA,"unclear","http://zwgk.mct.gov.cn/auto255/202001/t20200116_850384.html?keywords=",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Anhui Province","Hefei","China",NA,2020-02-05,2020-02-26,"yes",NA,NA,"closed management; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Beijing Municipality","Beijing Municipality","China",NA,2020-01-25,2020-02-08,NA,NA,NA,"interprovincial road passenger transport","http://www.chinadaily.com.cn/a/202001/25/WS5e2c30fea310128217273397.html",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Beijing Municipality","Beijing Municipality","China",NA,2020-01-24,NA,NA,NA,NA,"Temperature of metro passengers at 55 stations","http://www.gov.cn/xinwen/2020-01/28/content_5472657.htm",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Beijing Municipality","Beijing Municipality","China",NA,2020-01-26,NA,NA,NA,NA,"Non-coordinated thermal imaging in effect","http://www.gov.cn/xinwen/2020-01/28/content_5472657.htm",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Beijing Municipality","Beijing Municipality","China",NA,2020-01-27,NA,NA,NA,NA,"suspend all group tour products","http://companies.caixin.com/2020-01-26/101508589.html",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Beijing Municipality","Beijing Municipality","China",NA,2020-01-27,NA,NA,NA,NA,"Temperature of metro passengers at all 72 stations of Beijing-Hong Kong Line 4 + Daxing, 14, 16 implemented","http://www.gov.cn/xinwen/2020-01/28/content_5472657.htm",2020-02-08,"ARW",NA,NA,NA,NA
"Wanzhou District","Chongqing Municipality","Chongqing Municipality","China",NA,2020-01-31,2020-02-29,"yes",NA,NA,"By the end of February, nearly 2 million workers had left Chongqing to work in other places.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/06/c_77397.htm","2020-05-22","TCO",NA
"Liangping District","Chongqing Municipality","Chongqing Municipality","China",NA,2020-01-31,2020-02-29,"yes",NA,NA,"By the end of February, nearly 2 million workers had left Chongqing to work in other places.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/06/c_77397.htm","2020-05-22","TCO",NA
