"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1",1,"China","Anhui Province","Anqing",80,0,0,0,15,"2020-11FEB"
"2",2,"China","Anhui Province","Bengbu",134,0,0,3,2,"2020-11FEB"
"3",3,"China","Anhui Province","Bozhou",92,0,0,0,7,"2020-11FEB"
"4",4,"China","Anhui Province","Chizhou",15,0,0,0,3,"2020-11FEB"
"5",5,"China","Anhui Province","Chuzhou",12,0,0,0,4,"2020-11FEB"
"6",6,"China","Anhui Province","Fuyang",132,0,0,0,17,"2020-11FEB"
"7",7,"China","Anhui Province","Hefei",150,0,0,1,20,"2020-11FEB"
"8",8,"China","Anhui Province","Huaibei",24,0,0,0,5,"2020-11FEB"
"9",9,"China","Anhui Province","Huainan",48,0,0,0,12,"2020-11FEB"
"10",11,"China","Anhui Province","Huangshan",9,0,0,0,1,"2020-11FEB"
"11",12,"China","Anhui Province","Lu'an",59,0,0,0,3,"2020-11FEB"
"12",13,"China","Anhui Province","Ma'anshan",32,0,0,0,4,"2020-11FEB"
"13",14,"China","Anhui Province","Suzhou",33,0,0,0,3,"2020-11FEB"
"14",15,"China","Anhui Province","Tongling",27,0,0,0,7,"2020-11FEB"
"15",16,"China","Anhui Province","Wuhu",31,0,0,0,4,"2020-11FEB"
"16",17,"China","Anhui Province","Xuancheng",6,0,0,0,4,"2020-11FEB"
"17",18,"China","Beijing Municipality","Area to be Identified",0,0,0,3,40,"2020-11FEB"
"18",19,"China","Beijing Municipality","Beijing Municipality",342,0,0,0,8,"2020-11FEB"
"19",40,"China","Chongqing Municipality","Chongqing Municipality",489,0,0,2,72,"2020-11FEB"
"20",80,"China","Fujian Province","Fuzhou",63,0,0,0,13,"2020-11FEB"
"21",81,"China","Fujian Province","Longyan",6,0,0,0,1,"2020-11FEB"
"22",82,"China","Fujian Province","Nanping",19,0,0,0,3,"2020-11FEB"
