"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-09-21"
"China","Beijing Municipality",935,0,164,9,926,"2020-09-21"
"China","Chongqing Municipality",584,1,1,6,577,"2020-09-21"
"China","Fujian Province",396,15,3,1,380,"2020-09-21"
"China","Gansu province",170,0,0,2,168,"2020-09-21"
"China","Guangdong Province",1800,21,14,8,1771,"2020-09-21"
"China","Guangxi Zhuang Autonomous Region",258,3,0,2,253,"2020-09-21"
"China","Guizhou Province",147,0,0,2,145,"2020-09-21"
"China","Hainan Province",171,0,0,6,165,"2020-09-21"
"China","Hebei Province",365,3,0,6,356,"2020-09-21"
"China","Heilongjiang Province",948,0,394,13,935,"2020-09-21"
"China","Henan Province",1279,3,0,22,1254,"2020-09-21"
"China","Hong Kong Special Administrative Region",5038,218,135,103,4717,"2020-09-21"
"China","Hubei Province",68139,0,0,4512,63627,"2020-09-21"
"China","Hunan Province",1019,0,0,4,1015,"2020-09-21"
"China","Inner Mongolia Autonomous Region",263,3,34,1,259,"2020-09-21"
"China","Jiangsu Province",665,1,3,0,664,"2020-09-21"
"China","Jiangxi Province",935,0,0,1,934,"2020-09-21"
"China","Jilin Province",157,0,19,2,155,"2020-09-21"
"China","Liaoning Province",265,1,0,2,262,"2020-09-21"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-09-21"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-09-21"
"China","Qinghai Province",18,0,0,0,18,"2020-09-21"
"China","Shaanxi Province",401,26,1,3,372,"2020-09-21"
"China","Shandong Province",831,8,14,7,816,"2020-09-21"
"China","Shanghai Municipality",974,44,393,7,923,"2020-09-21"
"China","Shanxi Province",203,0,64,0,203,"2020-09-21"
"China","Sichuan Province",672,17,14,3,652,"2020-09-21"
"China","Taiwan Province",509,23,417,7,479,"2020-09-21"
"China","Tianjin Municipality",238,8,50,3,227,"2020-09-21"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-09-21"
"China","Xinjiang Uygur Autonomous Region",902,0,0,3,899,"2020-09-21"
"China","Yunnan Province",208,10,0,2,196,"2020-09-21"
"China","Zhejiang Province",1282,9,3,1,1272,"2020-09-21"
