"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",989,271,0,6,712,"2020-25FEB"
"18","China","Beijing Municipality",400,181,0,4,215,"2020-25FEB"
"38","China","Chongqing Municipality",576,198,0,6,372,"2020-25FEB"
"78","China","Fujian Province",294,94,0,1,199,"2020-25FEB"
"87","China","Gansu province",91,9,0,2,80,"2020-25FEB"
"102","China","Guangdong Province",1347,518,0,7,822,"2020-25FEB"
"126","China","Guangxi Zhuang Autonomous Region",252,116,0,2,134,"2020-25FEB"
"141","China","Guizhou Province",146,40,0,2,104,"2020-25FEB"
"150","China","Hainan Province",168,39,0,5,124,"2020-25FEB"
"169","China","Hebei Province",311,57,0,6,248,"2020-25FEB"
"180","China","Heilongjiang Province",480,225,0,12,243,"2020-25FEB"
"193","China","Henan Province",1271,250,0,19,1002,"2020-25FEB"
"213","China","Hong Kong Special Administrative Region",84,63,0,2,19,"2020-25FEB"
"214","China","Hubei Province",64786,43252,0,2563,18971,"2020-25FEB"
"232","China","Hunan Province",1016,244,0,4,768,"2020-25FEB"
"246","China","Inner Mongolia Autonomous Region",75,41,0,0,34,"2020-25FEB"
"259","China","Jiangsu Province",631,173,0,0,458,"2020-25FEB"
"272","China","Jiangxi Province",934,250,0,1,683,"2020-25FEB"
"284","China","Jilin Province",93,29,0,1,63,"2020-25FEB"
"295","China","Liaoning Province",121,37,0,1,83,"2020-25FEB"
"309","China","Macao Special Administrative Region",10,3,0,0,7,"2020-25FEB"
"310","China","Ningxia Hui Autonomous Region",71,10,0,0,61,"2020-25FEB"
"317","China","Qinghai Province",18,0,0,0,18,"2020-25FEB"
"325","China","Shaanxi Province",245,58,0,1,186,"2020-25FEB"
"337","China","Shandong Province",756,395,0,6,355,"2020-25FEB"
"354","China","Shanghai Municipality",336,65,0,3,268,"2020-25FEB"
"373","China","Shanxi Province",133,35,0,0,98,"2020-25FEB"
"384","China","Sichuan Province",529,237,0,3,289,"2020-25FEB"
"405","China","Taiwan Province",31,25,0,1,5,"2020-25FEB"
"406","China","Tianjin Municipality",135,41,0,3,91,"2020-25FEB"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-25FEB"
"430","China","Xinjiang Uygur Autonomous Region",76,44,0,2,30,"2020-25FEB"
"453","China","Yunnan Province",174,43,0,2,129,"2020-25FEB"
"469","China","Zhejiang Province",1205,396,0,1,808,"2020-25FEB"
