"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",990,0,0,6,984,"2020-28MAR"
"18","China","Beijing Municipality",573,155,157,8,410,"2020-28MAR"
"38","China","Chongqing Municipality",579,3,1,6,570,"2020-28MAR"
"78","China","Fujian Province",338,42,0,1,295,"2020-28MAR"
"87","China","Gansu province",136,9,0,2,125,"2020-28MAR"
"102","China","Guangdong Province",1467,118,5,8,1341,"2020-28MAR"
"126","China","Guangxi Zhuang Autonomous Region",254,2,0,2,250,"2020-28MAR"
"141","China","Guizhou Province",146,0,0,2,144,"2020-28MAR"
"150","China","Hainan Province",168,0,0,6,162,"2020-28MAR"
"169","China","Hebei Province",319,3,0,6,310,"2020-28MAR"
"180","China","Heilongjiang Province",484,2,0,13,469,"2020-28MAR"
"193","China","Henan Province",1275,2,0,22,1251,"2020-28MAR"
"213","China","Hong Kong Special Administrative Region",561,445,37,4,112,"2020-28MAR"
"214","China","Hubei Province",67801,2526,0,3177,62098,"2020-28MAR"
"232","China","Hunan Province",1018,0,0,4,1014,"2020-28MAR"
"246","China","Inner Mongolia Autonomous Region",95,20,0,1,74,"2020-28MAR"
"259","China","Jiangsu Province",641,10,0,0,631,"2020-28MAR"
"272","China","Jiangxi Province",936,1,0,1,934,"2020-28MAR"
"284","China","Jilin Province",98,5,2,1,92,"2020-28MAR"
"295","China","Liaoning Province",134,8,0,2,124,"2020-28MAR"
"309","China","Macao Special Administrative Region",37,27,7,0,10,"2020-28MAR"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-28MAR"
"317","China","Qinghai Province",18,0,0,0,18,"2020-28MAR"
"325","China","Shaanxi Province",253,8,1,3,242,"2020-28MAR"
"337","China","Shandong Province",772,13,12,7,752,"2020-28MAR"
"354","China","Shanghai Municipality",485,146,19,5,334,"2020-28MAR"
"373","China","Shanxi Province",136,3,1,0,133,"2020-28MAR"
"384","China","Sichuan Province",548,9,2,3,536,"2020-28MAR"
"405","China","Taiwan Province",283,251,241,2,30,"2020-28MAR"
"406","China","Tianjin Municipality",161,25,25,3,133,"2020-28MAR"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-28MAR"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-28MAR"
"453","China","Yunnan Province",180,6,0,2,172,"2020-28MAR"
"469","China","Zhejiang Province",1251,25,0,1,1225,"2020-28MAR"
