"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",990,43,0,6,941,"2020-03MAR"
"18","China","Beijing Municipality",414,118,0,8,288,"2020-03MAR"
"38","China","Chongqing Municipality",576,80,0,6,490,"2020-03MAR"
"78","China","Fujian Province",296,34,0,1,261,"2020-03MAR"
"87","China","Gansu province",91,3,0,2,86,"2020-03MAR"
"102","China","Guangdong Province",1350,214,0,7,1129,"2020-03MAR"
"126","China","Guangxi Zhuang Autonomous Region",252,40,0,2,210,"2020-03MAR"
"141","China","Guizhou Province",146,30,0,2,114,"2020-03MAR"
"150","China","Hainan Province",168,8,0,5,155,"2020-03MAR"
"169","China","Hebei Province",318,12,0,6,300,"2020-03MAR"
"180","China","Heilongjiang Province",480,95,0,13,372,"2020-03MAR"
"193","China","Henan Province",1272,16,0,22,1234,"2020-03MAR"
"213","China","Hong Kong Special Administrative Region",100,61,0,2,37,"2020-03MAR"
"214","China","Hubei Province",67332,25905,0,2871,38556,"2020-03MAR"
"232","China","Hunan Province",1018,101,0,4,913,"2020-03MAR"
"246","China","Inner Mongolia Autonomous Region",75,15,0,1,59,"2020-03MAR"
"259","China","Jiangsu Province",631,66,0,0,565,"2020-03MAR"
"272","China","Jiangxi Province",935,50,0,1,884,"2020-03MAR"
"284","China","Jilin Province",93,8,0,1,84,"2020-03MAR"
"295","China","Liaoning Province",125,18,0,1,106,"2020-03MAR"
"309","China","Macao Special Administrative Region",10,1,0,0,9,"2020-03MAR"
"310","China","Ningxia Hui Autonomous Region",75,6,0,0,69,"2020-03MAR"
"317","China","Qinghai Province",18,0,0,0,18,"2020-03MAR"
"325","China","Shaanxi Province",245,26,0,1,218,"2020-03MAR"
"337","China","Shandong Province",758,241,0,6,511,"2020-03MAR"
"354","China","Shanghai Municipality",338,41,0,3,294,"2020-03MAR"
"373","China","Shanxi Province",133,9,0,0,124,"2020-03MAR"
"384","China","Sichuan Province",538,135,0,3,400,"2020-03MAR"
"405","China","Taiwan Province",42,29,0,1,12,"2020-03MAR"
"406","China","Tianjin Municipality",136,9,0,3,124,"2020-03MAR"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-03MAR"
"430","China","Xinjiang Uygur Autonomous Region",76,5,0,3,68,"2020-03MAR"
"453","China","Yunnan Province",174,3,0,2,169,"2020-03MAR"
"469","China","Zhejiang Province",1213,117,0,1,1095,"2020-03MAR"
