"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",200,0,0,0,2,"2020-30JAN"
"18","China","Beijing Municipality",121,0,0,1,5,"2020-30JAN"
"38","China","Chongqing Municipality",182,0,0,0,1,"2020-30JAN"
"78","China","Fujian Province",101,0,0,0,0,"2020-30JAN"
"87","China","Gansu province",26,0,0,0,0,"2020-30JAN"
"102","China","Guangdong Province",354,0,0,0,10,"2020-30JAN"
"126","China","Guangxi Zhuang Autonomous Region",78,0,0,0,2,"2020-30JAN"
"141","China","Guizhou Province",12,0,0,0,1,"2020-30JAN"
"150","China","Hainan Province",46,0,0,1,1,"2020-30JAN"
"169","China","Hebei Province",65,0,0,1,0,"2020-30JAN"
"180","China","Heilongjiang Province",44,0,0,2,0,"2020-30JAN"
"193","China","Henan Province",278,0,0,2,2,"2020-30JAN"
"213","China","Hong Kong Special Administrative Region",10,0,0,0,0,"2020-30JAN"
"214","China","Hubei Province",4903,0,0,162,90,"2020-30JAN"
"232","China","Hunan Province",277,0,0,0,2,"2020-30JAN"
"246","China","Inner Mongolia Autonomous Region",19,0,0,0,0,"2020-30JAN"
"259","China","Jiangsu Province",129,0,0,0,1,"2020-30JAN"
"272","China","Jiangxi Province",162,0,0,0,5,"2020-30JAN"
"284","China","Jilin Province",14,0,0,0,1,"2020-30JAN"
"295","China","Liaoning Province",41,0,0,0,1,"2020-30JAN"
"309","China","Macao Special Administrative Region",7,0,0,0,0,"2020-30JAN"
"310","China","Ningxia Hui Autonomous Region",17,0,0,0,0,"2020-30JAN"
"317","China","Qinghai Province",8,0,0,0,0,"2020-30JAN"
"325","China","Shaanxi Province",63,0,0,0,0,"2020-30JAN"
"337","China","Shandong Province",158,0,0,0,1,"2020-30JAN"
"354","China","Shanghai Municipality",112,0,0,1,5,"2020-30JAN"
"373","China","Shanxi Province",35,0,0,0,1,"2020-30JAN"
"384","China","Sichuan Province",142,0,0,1,1,"2020-30JAN"
"405","China","Taiwan Province",9,0,0,0,0,"2020-30JAN"
"406","China","Tianjin Municipality",31,0,0,0,0,"2020-30JAN"
"423","China","Tibet Autonomous Region",1,0,0,0,0,"2020-30JAN"
"430","China","Xinjiang Uygur Autonomous Region",14,0,0,0,0,"2020-30JAN"
"453","China","Yunnan Province",76,0,0,0,0,"2020-30JAN"
"469","China","Zhejiang Province",428,0,0,0,4,"2020-30JAN"
