"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"1","黑龙江省","city","七台河","17","0","0","0","17",NA
"2","海南省","city","万宁","13","0","0","0","13",NA
"3","重庆市","city","万州区","118","0","0","4","114",NA
"4","重庆市","city","万盛经开区","1","0","0","0","1",NA
"5","海南省","city","三亚","55","1","0","1","53",NA
"6","福建省","city","三明","14","0","0","0","14",NA
"7","河南省","city","三门峡","7","0","0","1","6",NA
"8","江西省","city","上饶","123","0","0","0","123",NA
"9","天津市","city","东丽区","4","0","0","0","4",NA
"10","北京市","city","东城区","14","13","0","0","1",NA
"11","海南省","city","东方","3","0","0","1","2",NA
"12","广东省","city","东莞","100","0","0","1","99",NA
"13","重庆市","city","两江新区","17","0","0","0","17",NA
"14","浙江省","city","丽水","17","0","0","0","17",NA
"15","云南省","city","丽江","7","0","0","0","7",NA
"16","宁夏回族自治区","city","中卫","4","0","0","0","4",NA
"17","广东省","city","中山","69","0","0","0","69",NA
"18","北京市","city","丰台区","43","40","0","0","3",NA
"19","重庆市","city","丰都县","10","0","0","0","10",NA
"20","甘肃省","city","临夏","3","0","0","0","3",NA
"21","山西省","city","临汾","2","0","0","0","2",NA
"22","山东省","city","临沂","49","0","0","0","49",NA
"23","云南省","city","临沧","1","0","0","0","1",NA
"24","海南省","city","临高","6","0","0","0","6",NA
"25","辽宁省","city","丹东","11","0","0","0","11",NA
"26","内蒙古自治区","city","乌兰察布","3","0","0","0","3",NA
"27","内蒙古自治区","city","乌海市","2","0","0","0","2",NA
"28","新疆维吾尔自治区","city","乌鲁木齐","23","0","0","0","23",NA
"29","海南省","city","乐东","2","0","0","0","2",NA
"30","四川省","city","乐山","3","0","0","0","3",NA
"31","江西省","city","九江","116","0","0","0","116",NA
"32","重庆市","city","九龙坡区","21","0","0","1","20",NA
"33","重庆市","city","云阳县","25","0","0","0","25",NA
"34","安徽省","city","亳州","108","0","0","0","108",NA
"35","湖北省","city","仙桃","575","0","0","22","553",NA
"36","黑龙江省","city","伊春","1","0","0","0","1",NA
"37","新疆维吾尔自治区","city","伊犁州","18","0","0","0","18",NA
"38","广东省","city","佛山","100","0","1","0","100",NA
"39","黑龙江省","city","佳木斯","15","0","0","0","15",NA
"40","海南省","city","保亭","3","0","0","0","3",NA
"41","河北省","city","保定","32","0","0","0","32",NA
"42","云南省","city","保山","9","0","0","0","9",NA
"43","河南省","city","信阳","274","0","0","2","272",NA
"44","海南省","city","儋州","15","0","0","1","14",NA
"45","吉林省","city","公主岭","6","0","0","0","6",NA
"46","安徽省","city","六安","69","0","0","0","69",NA
"47","贵州省","city","六盘水","10","0","0","1","9",NA
"48","甘肃省","city","兰州","36","0","0","2","34",NA
"49","内蒙古自治区","city","兴安盟","1","0","0","0","1",NA
"50","新疆维吾尔自治区","city","兵团第七师","1","0","0","0","1",NA
"51","新疆维吾尔自治区","city","兵团第九师","4","0","0","1","3",NA
"52","新疆维吾尔自治区","city","兵团第八师石河子市","4","0","0","1","3",NA
"53","新疆维吾尔自治区","city","兵团第六师五家渠市","2","0","0","0","2",NA
"54","新疆维吾尔自治区","city","兵团第十二师","3","0","0","0","3",NA
"55","新疆维吾尔自治区","city","兵团第四师","10","0","0","1","9",NA
"56","四川省","city","内江","22","0","0","0","22",NA
"57","四川省","city","凉山州","13","0","0","0","13",NA
"58","内蒙古自治区","city","包头","11","0","0","0","11",NA
"59","广西壮族自治区","city","北海","44","0","0","1","43",NA
"60","天津市","city","北辰区","6","0","0","0","6",NA
"61","湖北省","city","十堰","672","0","0","8","664",NA
"62","江苏省","city","南京","93","0","0","0","93",NA
"63","四川省","city","南充","39","0","0","0","39",NA
"64","广西壮族自治区","city","南宁","55","0","0","0","55",NA
"65","重庆市","city","南岸区","15","0","0","0","15",NA
"66","福建省","city","南平","20","0","0","0","20",NA
"67","天津市","city","南开区","6","0","0","0","6",NA
"68","江西省","city","南昌","230","0","0","0","230",NA
"69","江苏省","city","南通","40","0","0","0","40",NA
"70","河南省","city","南阳","156","0","0","3","153",NA
"71","福建省","city","厦门","35","0","0","0","35",NA
"72","黑龙江省","city","双鸭山","52","0","0","3","49",NA
"73","浙江省","city","台州","146","0","0","0","146",NA
"74","重庆市","city","合川区","23","0","0","0","23",NA
"75","安徽省","city","合肥","174","0","0","1","173",NA
"76","江西省","city","吉安","22","0","0","0","22",NA
"77","吉林省","city","吉林市","60","5","12","1","54",NA
"78","新疆维吾尔自治区","city","吐鲁番市","3","0","0","0","3",NA
"79","山西省","city","吕梁","6","0","0","0","6",NA
"80","宁夏回族自治区","city","吴忠","28","0","0","0","28",NA
"81","河南省","city","周口","76","0","0","1","75",NA
"82","内蒙古自治区","city","呼伦贝尔","9","0","0","0","9",NA
"83","内蒙古自治区","city","呼和浩特","7","0","0","0","7",NA
