"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"1","黑龙江省","city","七台河","15",NA,"0","0","0",NA
"2","海南省","city","万宁","13",NA,"0","0","0",NA
"3","重庆市","city","万州区","100",NA,"0","1","11",NA
"4","重庆市","city","万盛经开区","1",NA,"0","0","0",NA
"5","海南省","city","三亚","46",NA,"0","1","11",NA
"6","福建省","city","三明","13",NA,"0","0","1",NA
"7","河南省","city","三门峡","7",NA,"0","0","3",NA
"8","江西省","city","上饶","111",NA,"0","0","13",NA
"9","天津市","city","东丽区","4",NA,"0","0","0",NA
"10","北京市","city","东城区","9",NA,"0","0","0",NA
"11","海南省","city","东方","3",NA,"0","0","0",NA
"12","广东省","city","东莞","62",NA,"0","0","7",NA
"13","重庆市","city","两江新区","16",NA,"0","0","0",NA
"14","浙江省","city","丽水","17",NA,"0","0","7",NA
"15","云南省","city","丽江","7",NA,"0","0","2",NA
"16","宁夏回族自治区","city","中卫","3",NA,"0","0","2",NA
"17","广东省","city","中山","58",NA,"0","0","16",NA
"18","北京市","city","丰台区","30",NA,"0","0","3",NA
"19","重庆市","city","丰都县","10",NA,"0","0","1",NA
"20","甘肃省","city","临夏","3",NA,"0","0","2",NA
"21","山西省","city","临汾","2",NA,"0","0","1",NA
"22","山东省","city","临沂","44",NA,"0","0","10",NA
"23","云南省","city","临沧","1",NA,"0","0","0",NA
"24","海南省","city","临高","6",NA,"0","0","1",NA
"25","辽宁省","city","丹东","7",NA,"0","0","3",NA
"26","内蒙古自治区","city","乌兰察布","3",NA,"0","0","0",NA
"27","内蒙古自治区","city","乌海市","2",NA,"0","0","0",NA
"28","新疆维吾尔自治区","city","乌鲁木齐","20",NA,"0","0","2",NA
"29","海南省","city","乐东","2",NA,"0","0","0",NA
"30","四川省","city","乐山","3",NA,"0","0","0",NA
"31","江西省","city","九江","101",NA,"0","0","13",NA
"32","重庆市","city","九龙坡区","20",NA,"0","1","1",NA
"33","重庆市","city","云阳县","21",NA,"0","0","10",NA
"34","安徽省","city","亳州","92",NA,"0","0","7",NA
"35","湖北省","city","仙桃","460",NA,"0","13","43",NA
"36","新疆维吾尔自治区","city","伊犁州","10",NA,"0","0","0",NA
"37","广东省","city","佛山","70",NA,"0","0","15",NA
"38","黑龙江省","city","佳木斯","15",NA,"0","0","5",NA
"39","海南省","city","保亭","3",NA,"0","0","0",NA
"40","河北省","city","保定","30",NA,"0","0","9",NA
"41","云南省","city","保山","9",NA,"0","0","0",NA
"42","河南省","city","信阳","228",NA,"0","0","34",NA
"43","海南省","city","儋州","11",NA,"0","0","1",NA
"44","吉林省","city","公主岭","6",NA,"0","0","1",NA
"45","安徽省","city","六安","59",NA,"0","0","3",NA
"46","贵州省","city","六盘水","10",NA,"0","1","1",NA
"47","甘肃省","city","兰州","35",NA,"0","2","10",NA
"48","内蒙古自治区","city","兴安盟","1",NA,"0","0","0",NA
"49","新疆维吾尔自治区","city","兵团第七师","1",NA,"0","0","0",NA
"50","新疆维吾尔自治区","city","兵团第九师","4",NA,"0","0","0",NA
"51","新疆维吾尔自治区","city","兵团第八师石河子市","2",NA,"0","0","0",NA
"52","新疆维吾尔自治区","city","兵团第六师五家渠市","1",NA,"0","0","0",NA
"53","新疆维吾尔自治区","city","兵团第十二师","1",NA,"0","0","0",NA
"54","新疆维吾尔自治区","city","兵团第四师","7",NA,"0","0","0",NA
"55","四川省","city","内江","18",NA,"0","0","2",NA
"56","四川省","city","凉山州","10",NA,"0","0","1",NA
"57","内蒙古自治区","city","包头","11",NA,"0","0","0",NA
"58","广西壮族自治区","city","北海","36",NA,"0","0","4",NA
"59","天津市","city","北辰区","4",NA,"0","0","0",NA
"60","湖北省","city","十堰","536",NA,"0","1","70",NA
"61","江苏省","city","南京","84",NA,"0","0","22",NA
"62","四川省","city","南充","34",NA,"0","0","4",NA
"63","广西壮族自治区","city","南宁","41",NA,"0","0","8",NA
"64","重庆市","city","南岸区","9",NA,"0","0","0",NA
"65","福建省","city","南平","19",NA,"0","0","3",NA
"66","天津市","city","南开区","4",NA,"0","0","0",NA
"67","江西省","city","南昌","195",NA,"0","0","47",NA
"68","江苏省","city","南通","35",NA,"0","0","5",NA
"69","河南省","city","南阳","136",NA,"0","2","32",NA
"70","福建省","city","厦门","31",NA,"0","0","3",NA
"71","黑龙江省","city","双鸭山","38",NA,"0","2","1",NA
"72","浙江省","city","台州","143",NA,"0","0","38",NA
"73","重庆市","city","合川区","18",NA,"0","0","3",NA
"74","安徽省","city","合肥","150",NA,"0","1","20",NA
"75","江西省","city","吉安","19",NA,"0","0","4",NA
"76","吉林省","city","吉林市","5",NA,"0","0","2",NA
"77","新疆维吾尔自治区","city","吐鲁番","1",NA,"0","0","1",NA
"78","山西省","city","吕梁","6",NA,"0","0","5",NA
"79","宁夏回族自治区","city","吴忠","15",NA,"0","0","6",NA
"80","河南省","city","周口","65",NA,"0","0","17",NA
"81","内蒙古自治区","city","呼伦贝尔","5",NA,"0","0","1",NA
"82","内蒙古自治区","city","呼和浩特","7",NA,"0","0","0",NA
"83","天津市","city","和平区","6",NA,"0","0","1",NA
"84","湖北省","city","咸宁","525",NA,"0","6","65",NA
"85","陕西省","city","咸阳","17",NA,"0","0","4",NA
"86","黑龙江省","city","哈尔滨","146",NA,"0","0","15",NA
"87","河北省","city","唐山","31",NA,"0","0","3",NA
"88","河南省","city","商丘","86",NA,"0","0","14",NA
"89","陕西省","city","商洛","7",NA,"0","0","1",NA
"90","浙江省","city","嘉兴","40",NA,"0","0","6",NA
"91","上海市","city","嘉定区","8",NA,"0","0","1",NA
"92","吉林省","city","四平市","12",NA,"0","1","1",NA
"93","宁夏回族自治区","city","固原","3",NA,"0","0","2",NA
"94","重庆市","city","垫江县","20",NA,"0","0","1",NA
"95","重庆市","city","城口县","2",NA,"0","0","1",NA
"96","北京市","city","外地来京人员","25",NA,"0","0","2",NA
"97","上海市","city","外地来沪人员","98",NA,"0","1","26",NA
"98","天津市","city","外地来津人员","6",NA,"0","0","1",NA
"99","北京市","city","大兴区","36",NA,"0","0","2",NA
"100","黑龙江省","city","大兴安岭","2",NA,"0","0","0",NA
"101","山西省","city","大同","11",NA,"0","0","3",NA
"102","黑龙江省","city","大庆","14",NA,"0","1","0",NA
"103","重庆市","city","大渡口区","7",NA,"0","0","1",NA
"104","云南省","city","大理州","13",NA,"0","0","2",NA
"105","重庆市","city","大足区","14",NA,"0","0","1",NA
"106","辽宁省","city","大连","16",NA,"0","0","3",NA
"107","甘肃省","city","天水","12",NA,"0","0","1",NA
"108","湖北省","city","天门","293",NA,"0","10","12",NA
"109","山西省","city","太原","18",NA,"0","0","3",NA
"110","重庆市","city","奉节县","15",NA,"0","0","2",NA
"111","上海市","city","奉贤区","9",NA,"0","0","1",NA
"112","山东省","city","威海","37",NA,"0","0","8",NA
"113","湖北省","city","孝感","2751",NA,"0","45","179",NA
"114","宁夏回族自治区","city","宁东","1",NA,"0","0","1",NA
"115","福建省","city","宁德","24",NA,"0","0","4",NA
"116","天津市","city","宁河区","4",NA,"0","0","0",NA
"117","浙江省","city","宁波","151",NA,"0","0","24",NA
"118","安徽省","city","安庆","80",NA,"0","0","15",NA
"119","陕西省","city","安康","22",NA,"0","0","5",NA
"120","河南省","city","安阳","46",NA,"0","0","10",NA
"121","贵州省","city","安顺","4",NA,"0","0","0",NA
"122","海南省","city","定安","3",NA,"0","0","0",NA
"123","甘肃省","city","定西","8",NA,"0","0","2",NA
"124","四川省","city","宜宾","9",NA,"0","0","3",NA
"125","湖北省","city","宜昌","784",NA,"0","8","62",NA
"126","江西省","city","宜春","83",NA,"0","0","10",NA
"127","天津市","city","宝坻区","39",NA,"0","1","0",NA
"128","上海市","city","宝山区","20",NA,"0","0","0",NA
"129","陕西省","city","宝鸡","13",NA,"0","0","2",NA
"130","安徽省","city","宣城","6",NA,"0","0","4",NA
"131","安徽省","city","宿州","33",NA,"0","0","3",NA
"132","江苏省","city","宿迁","12",NA,"0","0","6",NA
"133","北京市","city","密云区","6",NA,"0","0","0",NA
"134","湖南省","city","岳阳","134",NA,"0","1","21",NA
"135","上海市","city","崇明区","2",NA,"0","0","0",NA
"136","重庆市","city","巫山县","10",NA,"0","0","4",NA
"137","重庆市","city","巫溪县","12",NA,"0","0","4",NA
"138","四川省","city","巴中","22",NA,"0","0","1",NA
"139","重庆市","city","巴南区","5",NA,"0","0","1",NA
"140","新疆维吾尔自治区","city","巴州","3",NA,"0","0","0",NA
"141","内蒙古自治区","city","巴彦淖尔","6",NA,"0","0","0",NA
"142","江苏省","city","常州","31",NA,"0","0","6",NA
"143","湖南省","city","常德","73",NA,"0","0","18",NA
"144","甘肃省","city","平凉","8",NA,"0","0","0",NA
"145","河南省","city","平顶山","54",NA,"0","1","14",NA
"146","四川省","city","广元","6",NA,"0","0","1",NA
"147","四川省","city","广安","30",NA,"0","0","3",NA
"148","广东省","city","广州","317",NA,"0","0","49",NA
"149","甘肃省","city","庆阳","3",NA,"0","0","0",NA
"150","河北省","city","廊坊","26",NA,"0","0","8",NA
"151","陕西省","city","延安","8",NA,"0","0","2",NA
"152","北京市","city","延庆区","1",NA,"0","0","0",NA
"153","吉林省","city","延边","5",NA,"0","0","2",NA
"154","河南省","city","开封","25",NA,"0","0","1",NA
"155","重庆市","city","开州区","18",NA,"0","0","8",NA
"156","河北省","city","张家口","21",NA,"0","0","2",NA
"157","湖南省","city","张家界","5",NA,"0","0","3",NA
"158","甘肃省","city","张掖","2",NA,"0","0","1",NA
"159","重庆市","city","彭水县","2",NA,"0","0","0",NA
"160","云南省","city","待明确地区","0",NA,"0","0","2",NA
"161","北京市","city","待明确地区","0",NA,"0","3","40",NA
"162","天津市","city","待明确地区","0",NA,"0","0","1",NA
"163","广东省","city","待明确地区","0",NA,"0","0","6",NA
"164","广西壮族自治区","city","待明确地区","0",NA,"0","0","3",NA
"165","河南省","city","待明确地区","0",NA,"0","2","1",NA
"166","甘肃省","city","待明确地区","0",NA,"0","0","6",NA
"167","贵州省","city","待明确地区","0",NA,"0","0","4",NA
"168","辽宁省","city","待明确地区","0",NA,"0","0","1",NA
"169","江苏省","city","徐州","63",NA,"0","0","10",NA
"170","上海市","city","徐汇区","16",NA,"0","0","1",NA
"171","云南省","city","德宏州","5",NA,"0","0","0",NA
"172","山东省","city","德州","32",NA,"0","0","6",NA
"173","四川省","city","德阳","16",NA,"0","0","0",NA
"174","重庆市","city","忠县","19",NA,"0","0","6",NA
"175","山西省","city","忻州","7",NA,"0","0","0",NA
"176","湖南省","city","怀化","39",NA,"0","0","21",NA
"177","北京市","city","怀柔区","7",NA,"0","0","0",NA
"178","湖北省","city","恩施州","203",NA,"0","3","38",NA
"179","广东省","city","惠州","53",NA,"0","0","4",NA
"180","四川省","city","成都","124",NA,"0","1","41",NA
"181","北京市","city","房山区","14",NA,"0","0","0",NA
"182","江苏省","city","扬州","18",NA,"0","0","6",NA
"183","河北省","city","承德","7",NA,"0","0","1",NA
"184","江西省","city","抚州","67",NA,"0","0","9",NA
"185","西藏自治区","city","拉萨","1",NA,"0","0","0",NA
"186","广东省","city","揭阳","8",NA,"0","0","3",NA
"187","四川省","city","攀枝花","13",NA,"0","0","8",NA
"188","云南省","city","文山州","2",NA,"0","0","0",NA
"189","海南省","city","文昌","3",NA,"0","0","0",NA
"190","江西省","city","新余","110",NA,"0","0","22",NA
"191","河南省","city","新乡","48",NA,"0","1","7",NA
"192","江苏省","city","无锡","45",NA,"0","0","4",NA
"193","山东省","city","日照","15",NA,"0","0","2",NA
"194","云南省","city","昆明","46",NA,"0","0","6",NA
"195","新疆维吾尔自治区","city","昌吉州","4",NA,"0","0","0",NA
"196","北京市","city","昌平区","19",NA,"0","0","0",NA
"197","海南省","city","昌江","6",NA,"0","0","0",NA
"198","云南省","city","昭通","14",NA,"0","0","1",NA
"199","山西省","city","晋中","34",NA,"0","0","8",NA
"200","山西省","city","晋城","8",NA,"0","0","2",NA
"201","云南省","city","普洱","4",NA,"0","0","0",NA
"202","上海市","city","普陀区","8",NA,"0","0","0",NA
"203","江西省","city","景德镇","5",NA,"0","0","1",NA
"204","云南省","city","曲靖","13",NA,"0","0","1",NA
"205","山西省","city","朔州","7",NA,"0","0","2",NA
"206","辽宁省","city","朝阳","6",NA,"0","0","2",NA
"207","北京市","city","朝阳区","56",NA,"0","0","0",NA
"208","辽宁省","city","本溪","3",NA,"0","0","0",NA
"209","广西壮族自治区","city","来宾","11",NA,"0","0","0",NA
