"province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"海南省","city","万宁","1",NA,"0","0","0",NA
"重庆市","city","万州区","2",NA,"0","0","0",NA
"海南省","city","三亚","2",NA,"0","0","0",NA
"河南省","city","三门峡","1",NA,"0","0","0",NA
"北京市","city","不明地区","8",NA,"0","0","0",NA
"广东省","city","中山","1",NA,"0","0","0",NA
"北京市","city","丰台","1",NA,"0","0","0",NA
"山东省","city","临沂","2",NA,"0","0","0",NA
"海南省","city","临高县","1",NA,"0","0","0",NA
"安徽省","city","亳州","1",NA,"0","0","0",NA
"广东省","city","佛山","1",NA,"0","0","0",NA
"安徽省","city","六安","1",NA,"0","0","0",NA
"甘肃省","city","兰州","1",NA,"0","0","0",NA
"广西壮族自治区","city","北海","3",NA,"0","0","0",NA
"江苏省","city","南京","2",NA,"0","0","0",NA
"江西省","city","南昌","1",NA,"0","0","0",NA
"福建省","city","厦门","1",NA,"0","0","0",NA
"浙江省","city","台州","6",NA,"0","0","0",NA
"安徽省","city","合肥","5",NA,"0","0","0",NA
"陕西省","city","咸阳","1",NA,"0","0","0",NA
"黑龙江省","city","哈尔滨","1",NA,"0","0","0",NA
"重庆市","city","垫江县","1",NA,"0","0","0",NA
"北京市","city","大兴","2",NA,"0","0","0",NA
"辽宁省","city","大连","1",NA,"0","0","0",NA
"山西省","city","太原","1",NA,"0","0","0",NA
"山东省","city","威海","1",NA,"0","0","0",NA
"福建省","city","宁德","1",NA,"0","0","0",NA
"浙江省","city","宁波","5",NA,"0","0","0",NA
"河南省","city","巩义","1",NA,"0","0","0",NA
"重庆市","city","巫山县","2",NA,"0","0","0",NA
"四川省","city","广安","1",NA,"0","0","0",NA
"广东省","city","广州","5",NA,"0","0","0",NA
"湖南省","city","怀化","3",NA,"0","0","0",NA
"广东省","city","惠州","1",NA,"0","0","0",NA
"四川省","city","成都","4",NA,"0","0","0",NA
"江苏省","city","扬州","1",NA,"0","0","0",NA
"江西省","city","抚州","1",NA,"0","0","0",NA
"云南省","city","昆明","2",NA,"0","0","0",NA
"北京市","city","昌平","2",NA,"0","0","0",NA
"北京市","city","朝阳","1",NA,"0","0","0",NA
"浙江省","city","杭州","6",NA,"0","0","0",NA
"广西壮族自治区","city","柳州","1",NA,"0","0","0",NA
"广西壮族自治区","city","梧州","1",NA,"0","0","0",NA
"北京市","city","武汉来京人员","2",NA,"0","0","0",NA
"重庆市","city","永川区","2",NA,"0","0","0",NA
"湖南省","city","永州","1",NA,"0","0","0",NA
"辽宁省","city","沈阳","2",NA,"0","0","0",NA
"福建省","city","泉州","1",NA,"0","0","0",NA
"河南省","city","洛阳","1",NA,"0","0","0",NA
"海南省","city","海口","1",NA,"0","0","0",NA
"北京市","city","海淀","2",NA,"0","0","0",NA
"重庆市","city","涪陵区","1",NA,"0","0","0",NA
"广东省","city","深圳","15",NA,"0","0","0",NA
"浙江省","city","温州","6",NA,"0","0","0",NA
"广东省","city","湛江","2",NA,"0","0","0",NA
"安徽省","city","滁州","1",NA,"0","0","0",NA
"黑龙江省","city","牡丹江","1",NA,"0","0","0",NA
"广东省","city","珠海","4",NA,"0","0","0",NA
"甘肃省","city","白银","1",NA,"0","0","0",NA
"河北省","city","石家庄","1",NA,"0","0","0",NA
"北京市","city","石景山","1",NA,"0","0","0",NA
"福建省","city","福州","2",NA,"0","0","0",NA
"浙江省","city","绍兴","1",NA,"0","0","0",NA
"四川省","city","绵阳","2",NA,"0","0","0",NA
"广东省","city","肇庆","1",NA,"0","0","0",NA
"浙江省","city","舟山","1",NA,"0","0","0",NA
"江苏省","city","苏州","1",NA,"0","0","0",NA
"江西省","city","萍乡","1",NA,"0","0","0",NA
"浙江省","city","衢州","1",NA,"0","0","0",NA
"北京市","city","西城","2",NA,"0","0","0",NA
"陕西省","city","西安","2",NA,"0","0","0",NA
"贵州省","city","贵阳","1",NA,"0","0","0",NA
"四川省","city","达州","1",NA,"0","0","0",NA
"江苏省","city","连云港","1",NA,"0","0","0",NA
"北京市","city","通州","1",NA,"0","0","0",NA
"河南省","city","郑州","2",NA,"0","0","0",NA
"湖南省","city","郴州","1",NA,"0","0","0",NA
"浙江省","city","金华","1",NA,"0","0","0",NA
"贵州省","city","铜仁","1",NA,"0","0","0",NA
"宁夏回族自治区","city","银川","1",NA,"0","0","0",NA
"重庆市","city","长寿区","1",NA,"0","0","0",NA
"吉林省","city","长春","1",NA,"0","0","0",NA
"湖南省","city","长沙","4",NA,"0","0","0",NA
"安徽省","city","阜阳","1",NA,"0","0","0",NA
"山东省","city","青岛","3",NA,"0","0","0",NA
"广东省","city","韶关","2",NA,"0","0","0",NA
"贵州省","city","黔南州","1",NA,"0","0","0",NA
"上海市","province","上海市","16",NA,"0","0","0",""
"云南省","province","云南省","2",NA,"0","0","0",""
"内蒙古自治区","province","内蒙古自治区","0",NA,"1","0","0",""
"北京市","province","北京市","22",NA,"0","0","0",""
"台湾","province","台湾","1",NA,"0","0","0",""
"吉林省","province","吉林省","1",NA,"0","0","0",""
"四川省","province","四川省","8",NA,"0","0","0",""
"天津市","province","天津市","4",NA,"0","0","0",""
"宁夏回族自治区","province","宁夏回族自治区","1",NA,"0","0","0",""
"安徽省","province","安徽省","9",NA,"0","0","0",""
"山东省","province","山东省","6",NA,"0","0","0",""
"山西省","province","山西省","1",NA,"0","0","0",""
"广东省","province","广东省","32",NA,"0","0","0",""
"广西壮族自治区","province","广西壮族自治区","5",NA,"0","0","0",""
"新疆维吾尔自治区","province","新疆维吾尔自治区","2",NA,"0","0","0",""
"江苏省","province","江苏省","5",NA,"0","0","0",""
"江西省","province","江西省","7",NA,"0","0","0",""
"河北省","province","河北省","1",NA,"0","1","0","死亡 1 例"
"河南省","province","河南省","5",NA,"0","0","0",""
"浙江省","province","浙江省","27",NA,"0","0","0",""
"海南省","province","海南省","5",NA,"0","0","0",""
"湖北省","province","湖北省","444",NA,"0","0","0","疑似病例数待确认，治愈 28 例，死亡 17 例"
"湖南省","province","湖南省","9",NA,"0","0","0",""
"澳门","province","澳门","2",NA,"0","0","0",""
"甘肃省","province","甘肃省","2",NA,"0","0","0",""
"福建省","province","福建省","5",NA,"0","0","0",""
"贵州省","province","贵州省","3",NA,"0","0","0",""
"辽宁省","province","辽宁省","3",NA,"0","0","0",""
"重庆市","province","重庆市","9",NA,"0","0","0",""
"陕西省","province","陕西省","3",NA,"0","0","0",""
"香港","province","香港","2",NA,"0","0","0",""
"黑龙江省","province","黑龙江省","2",NA,"0","0","0",""
