"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"1","海南省","city","万宁","1",NA,"0","0","0",NA
"2","重庆市","city","万州区","2",NA,"0","0","0",NA
"3","海南省","city","三亚","2",NA,"0","0","0",NA
"4","河南省","city","三门峡","1",NA,"0","0","0",NA
"5","北京市","city","不明地区","8",NA,"0","0","0",NA
"6","广东省","city","中山","1",NA,"0","0","0",NA
"7","北京市","city","丰台","1",NA,"0","0","0",NA
"8","山东省","city","临沂","2",NA,"0","0","0",NA
"9","海南省","city","临高县","1",NA,"0","0","0",NA
"10","安徽省","city","亳州","1",NA,"0","0","0",NA
"11","广东省","city","佛山","1",NA,"0","0","0",NA
"12","安徽省","city","六安","1",NA,"0","0","0",NA
"13","甘肃省","city","兰州","1",NA,"0","0","0",NA
"14","广西壮族自治区","city","北海","3",NA,"0","0","0",NA
"15","江苏省","city","南京","2",NA,"0","0","0",NA
"16","江西省","city","南昌","1",NA,"0","0","0",NA
"17","福建省","city","厦门","1",NA,"0","0","0",NA
"18","浙江省","city","台州","6",NA,"0","0","0",NA
"19","安徽省","city","合肥","5",NA,"0","0","0",NA
"20","陕西省","city","咸阳","1",NA,"0","0","0",NA
"21","黑龙江省","city","哈尔滨","1",NA,"0","0","0",NA
"22","重庆市","city","垫江县","1",NA,"0","0","0",NA
"23","北京市","city","大兴","2",NA,"0","0","0",NA
"24","辽宁省","city","大连","1",NA,"0","0","0",NA
"25","山西省","city","太原","1",NA,"0","0","0",NA
"26","山东省","city","威海","1",NA,"0","0","0",NA
"27","福建省","city","宁德","1",NA,"0","0","0",NA
"28","浙江省","city","宁波","5",NA,"0","0","0",NA
"29","河南省","city","巩义","1",NA,"0","0","0",NA
"30","重庆市","city","巫山县","2",NA,"0","0","0",NA
"31","四川省","city","广安","1",NA,"0","0","0",NA
"32","广东省","city","广州","5",NA,"0","0","0",NA
"33","湖南省","city","怀化","3",NA,"0","0","0",NA
"34","广东省","city","惠州","1",NA,"0","0","0",NA
"35","四川省","city","成都","4",NA,"0","0","0",NA
"36","江苏省","city","扬州","1",NA,"0","0","0",NA
"37","江西省","city","抚州","1",NA,"0","0","0",NA
"38","云南省","city","昆明","2",NA,"0","0","0",NA
"39","北京市","city","昌平","2",NA,"0","0","0",NA
"40","北京市","city","朝阳","1",NA,"0","0","0",NA
"41","浙江省","city","杭州","6",NA,"0","0","0",NA
"42","广西壮族自治区","city","柳州","1",NA,"0","0","0",NA
"43","广西壮族自治区","city","梧州","1",NA,"0","0","0",NA
"44","北京市","city","武汉来京人员","2",NA,"0","0","0",NA
"45","重庆市","city","永川区","2",NA,"0","0","0",NA
"46","湖南省","city","永州","1",NA,"0","0","0",NA
"47","辽宁省","city","沈阳","2",NA,"0","0","0",NA
"48","福建省","city","泉州","1",NA,"0","0","0",NA
"49","河南省","city","洛阳","1",NA,"0","0","0",NA
"50","海南省","city","海口","1",NA,"0","0","0",NA
"51","北京市","city","海淀","2",NA,"0","0","0",NA
"52","重庆市","city","涪陵区","1",NA,"0","0","0",NA
"53","广东省","city","深圳","15",NA,"0","0","0",NA
"54","浙江省","city","温州","6",NA,"0","0","0",NA
"55","广东省","city","湛江","2",NA,"0","0","0",NA
"56","安徽省","city","滁州","1",NA,"0","0","0",NA
"57","黑龙江省","city","牡丹江","1",NA,"0","0","0",NA
"58","广东省","city","珠海","4",NA,"0","0","0",NA
"59","甘肃省","city","白银","1",NA,"0","0","0",NA
"60","河北省","city","石家庄","1",NA,"0","0","0",NA
"61","北京市","city","石景山","1",NA,"0","0","0",NA
"62","福建省","city","福州","2",NA,"0","0","0",NA
"63","浙江省","city","绍兴","1",NA,"0","0","0",NA
"64","四川省","city","绵阳","2",NA,"0","0","0",NA
"65","广东省","city","肇庆","1",NA,"0","0","0",NA
"66","浙江省","city","舟山","1",NA,"0","0","0",NA
"67","江苏省","city","苏州","1",NA,"0","0","0",NA
"68","江西省","city","萍乡","1",NA,"0","0","0",NA
"69","浙江省","city","衢州","1",NA,"0","0","0",NA
"70","北京市","city","西城","2",NA,"0","0","0",NA
"71","陕西省","city","西安","2",NA,"0","0","0",NA
"72","贵州省","city","贵阳","1",NA,"0","0","0",NA
"73","四川省","city","达州","1",NA,"0","0","0",NA
"74","江苏省","city","连云港","1",NA,"0","0","0",NA
"75","北京市","city","通州","1",NA,"0","0","0",NA
"76","河南省","city","郑州","2",NA,"0","0","0",NA
"77","湖南省","city","郴州","1",NA,"0","0","0",NA
"78","浙江省","city","金华","1",NA,"0","0","0",NA
"79","贵州省","city","铜仁","1",NA,"0","0","0",NA
"80","宁夏回族自治区","city","银川","1",NA,"0","0","0",NA
"81","重庆市","city","长寿区","1",NA,"0","0","0",NA
"82","吉林省","city","长春","1",NA,"0","0","0",NA
"83","湖南省","city","长沙","4",NA,"0","0","0",NA
"84","安徽省","city","阜阳","1",NA,"0","0","0",NA
"85","山东省","city","青岛","3",NA,"0","0","0",NA
"86","广东省","city","韶关","2",NA,"0","0","0",NA
"87","贵州省","city","黔南州","1",NA,"0","0","0",NA
