"","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE","source_type","source_url","who_by","access_date","notes"
"1","China","Anhui Province","Anqing",31,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"2","China","Anhui Province","Bengbu",16,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"3","China","Anhui Province","Bozhou",25,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"4","China","Anhui Province","Chizhou",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"5","China","Anhui Province","Chuzhou",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"6","China","Anhui Province","Fuyang",47,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"7","China","Anhui Province","Hefei",59,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"8","China","Anhui Province","Huaibei",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"9","China","Anhui Province","Huainan",12,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"10","China","Anhui Province","Huangshan",9,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"11","China","Anhui Province","Lu'an",13,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"12","China","Anhui Province","Ma'anshan",22,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"13","China","Anhui Province","Suzhou",12,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"14","China","Anhui Province","Tongling",16,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"15","China","Anhui Province","Wuhu",15,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"16","China","Anhui Province","Xuancheng",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"17","China","Fujian Province","Fuzhou",39,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"18","China","Fujian Province","Longyan",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"19","China","Fujian Province","Nanping",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"20","China","Fujian Province","Ningde",9,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"21","China","Fujian Province","Putian",25,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"22","China","Fujian Province","Quanzhou",24,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"23","China","Fujian Province","Sanming",10,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"24","China","Fujian Province","Xiamen",17,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
