"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Beijing Municipality",22,0,0,0,0,"2020-01-23"
"China","Chongqing Municipality",9,0,0,0,0,"2020-01-23"
"China","Fujian Province",5,0,0,0,0,"2020-01-23"
"China","Gansu province",2,0,0,0,0,"2020-01-23"
"China","Guangdong Province",32,0,0,0,0,"2020-01-23"
"China","Guangxi Zhuang Autonomous Region",5,0,0,0,0,"2020-01-23"
"China","Guizhou Province",3,0,0,0,0,"2020-01-23"
"China","Hainan Province",5,0,0,0,0,"2020-01-23"
"China","Hebei Province",1,0,0,1,0,"2020-01-23"
"China","Heilongjiang Province",2,0,0,0,0,"2020-01-23"
"China","Henan Province",5,0,0,0,0,"2020-01-23"
"China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-01-23"
"China","Hubei Province",444,0,0,0,0,"2020-01-23"
"China","Hunan Province",9,0,0,0,0,"2020-01-23"
"China","Inner Mongolia Autonomous Region",0,0,1,0,0,"2020-01-23"
"China","Jiangsu Province",5,0,0,0,0,"2020-01-23"
"China","Jiangxi Province",7,0,0,0,0,"2020-01-23"
"China","Jilin Province",1,0,0,0,0,"2020-01-23"
"China","Liaoning Province",3,0,0,0,0,"2020-01-23"
"China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-23"
"China","Ningxia Hui Autonomous Region",1,0,0,0,0,"2020-01-23"
"China","Qinghai Province",0,0,0,0,0,"2020-01-23"
"China","Shaanxi Province",3,0,0,0,0,"2020-01-23"
"China","Shandong Province",6,0,0,0,0,"2020-01-23"
"China","Shanghai Municipality",16,0,0,0,0,"2020-01-23"
"China","Shanxi Province",1,0,0,0,0,"2020-01-23"
"China","Sichuan Province",8,0,0,0,0,"2020-01-23"
"China","Taiwan Province",1,0,0,0,0,"2020-01-23"
"China","Tianjin Municipality",4,0,0,0,0,"2020-01-23"
"China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-23"
"China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-01-23"
"China","Yunnan Province",2,0,0,0,0,"2020-01-23"
"China","Zhejiang Province",27,0,0,0,0,"2020-01-23"
"China","Anhui Province",15,0,0,0,0,"2020-01-24"
"China","Beijing Municipality",36,0,0,0,1,"2020-01-24"
"China","Chongqing Municipality",27,0,0,0,0,"2020-01-24"
"China","Fujian Province",10,0,2,0,0,"2020-01-24"
"China","Gansu province",2,0,0,0,0,"2020-01-24"
"China","Guangdong Province",53,0,0,0,2,"2020-01-24"
"China","Guangxi Zhuang Autonomous Region",23,0,0,0,0,"2020-01-24"
"China","Guizhou Province",3,0,0,0,0,"2020-01-24"
"China","Hainan Province",8,0,0,0,0,"2020-01-24"
"China","Hebei Province",2,0,0,1,0,"2020-01-24"
"China","Heilongjiang Province",4,0,0,1,0,"2020-01-24"
"China","Henan Province",9,0,0,0,0,"2020-01-24"
"China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-01-24"
"China","Hubei Province",549,0,0,24,31,"2020-01-24"
"China","Hunan Province",24,0,0,0,0,"2020-01-24"
"China","Inner Mongolia Autonomous Region",1,0,0,0,0,"2020-01-24"
"China","Jiangsu Province",9,0,0,0,0,"2020-01-24"
"China","Jiangxi Province",18,0,0,0,0,"2020-01-24"
"China","Jilin Province",3,0,0,0,0,"2020-01-24"
"China","Liaoning Province",4,0,0,0,0,"2020-01-24"
"China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-24"
"China","Ningxia Hui Autonomous Region",2,0,0,0,0,"2020-01-24"
"China","Qinghai Province",0,0,1,0,0,"2020-01-24"
"China","Shaanxi Province",5,0,0,0,0,"2020-01-24"
"China","Shandong Province",15,0,0,0,0,"2020-01-24"
"China","Shanghai Municipality",20,0,0,0,1,"2020-01-24"
"China","Shanxi Province",1,0,0,0,0,"2020-01-24"
"China","Sichuan Province",15,0,0,0,0,"2020-01-24"
"China","Taiwan Province",3,0,0,0,0,"2020-01-24"
"China","Tianjin Municipality",8,0,0,0,0,"2020-01-24"
"China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-24"
"China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-01-24"
"China","Yunnan Province",5,0,0,0,0,"2020-01-24"
"China","Zhejiang Province",43,0,0,0,1,"2020-01-24"
"China","Anhui Province",39,0,0,0,0,"2020-01-25"
"China","Beijing Municipality",41,0,0,0,2,"2020-01-25"
"China","Chongqing Municipality",57,0,0,0,0,"2020-01-25"
"China","Fujian Province",18,0,20,0,0,"2020-01-25"
"China","Gansu province",4,0,0,0,0,"2020-01-25"
"China","Guangdong Province",78,0,0,0,2,"2020-01-25"
"China","Guangxi Zhuang Autonomous Region",23,0,0,0,0,"2020-01-25"
"China","Guizhou Province",4,0,0,0,0,"2020-01-25"
"China","Hainan Province",19,0,0,0,0,"2020-01-25"
"China","Hebei Province",8,0,0,1,0,"2020-01-25"
"China","Heilongjiang Province",9,0,0,1,0,"2020-01-25"
"China","Henan Province",32,0,0,0,0,"2020-01-25"
"China","Hong Kong Special Administrative Region",5,0,0,0,0,"2020-01-25"
"China","Hubei Province",761,0,0,40,32,"2020-01-25"
"China","Hunan Province",43,0,0,0,0,"2020-01-25"
"China","Inner Mongolia Autonomous Region",7,0,0,0,0,"2020-01-25"
"China","Jiangsu Province",18,0,0,0,1,"2020-01-25"
"China","Jiangxi Province",18,0,0,0,0,"2020-01-25"
"China","Jilin Province",4,0,0,0,0,"2020-01-25"
"China","Liaoning Province",17,0,0,0,0,"2020-01-25"
"China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-25"
"China","Ningxia Hui Autonomous Region",3,0,0,0,0,"2020-01-25"
"China","Qinghai Province",1,0,0,0,0,"2020-01-25"
"China","Shaanxi Province",15,0,0,0,0,"2020-01-25"
"China","Shandong Province",27,0,0,0,0,"2020-01-25"
"China","Shanghai Municipality",33,0,0,0,1,"2020-01-25"
"China","Shanxi Province",6,0,0,0,0,"2020-01-25"
"China","Sichuan Province",28,0,0,0,0,"2020-01-25"
"China","Taiwan Province",3,0,0,0,0,"2020-01-25"
"China","Tianjin Municipality",10,0,0,0,0,"2020-01-25"
"China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-25"
"China","Xinjiang Uygur Autonomous Region",3,0,0,0,0,"2020-01-25"
"China","Yunnan Province",11,0,0,0,0,"2020-01-25"
"China","Zhejiang Province",62,0,0,0,1,"2020-01-25"
"China","Anhui Province",60,0,0,0,0,"2020-01-26"
"China","Beijing Municipality",68,0,0,0,2,"2020-01-26"
"China","Chongqing Municipality",75,0,0,0,0,"2020-01-26"
"China","Fujian Province",35,0,0,0,0,"2020-01-26"
"China","Gansu province",7,0,0,0,0,"2020-01-26"
"China","Guangdong Province",111,0,0,0,2,"2020-01-26"
"China","Guangxi Zhuang Autonomous Region",36,0,0,0,0,"2020-01-26"
"China","Guizhou Province",5,0,0,0,0,"2020-01-26"
"China","Hainan Province",22,0,0,0,0,"2020-01-26"
"China","Hebei Province",13,0,0,1,0,"2020-01-26"
"China","Heilongjiang Province",16,0,0,1,0,"2020-01-26"
"China","Henan Province",83,0,0,1,0,"2020-01-26"
"China","Hong Kong Special Administrative Region",8,0,0,0,0,"2020-01-26"
"China","Hubei Province",1058,0,0,52,42,"2020-01-26"
"China","Hunan Province",69,0,0,0,0,"2020-01-26"
"China","Inner Mongolia Autonomous Region",7,0,0,0,0,"2020-01-26"
"China","Jiangsu Province",33,0,0,0,1,"2020-01-26"
"China","Jiangxi Province",36,0,0,0,0,"2020-01-26"
"China","Jilin Province",4,0,0,0,0,"2020-01-26"
"China","Liaoning Province",22,0,0,0,0,"2020-01-26"
"China","Macao Special Administrative Region",5,0,0,0,0,"2020-01-26"
"China","Ningxia Hui Autonomous Region",4,0,0,0,0,"2020-01-26"
"China","Qinghai Province",1,0,0,0,0,"2020-01-26"
"China","Shaanxi Province",22,0,0,0,0,"2020-01-26"
"China","Shandong Province",46,0,0,0,0,"2020-01-26"
"China","Shanghai Municipality",40,0,0,1,1,"2020-01-26"
"China","Shanxi Province",9,0,0,0,0,"2020-01-26"
"China","Sichuan Province",44,0,0,0,0,"2020-01-26"
"China","Taiwan Province",4,0,0,0,0,"2020-01-26"
"China","Tianjin Municipality",14,0,0,0,0,"2020-01-26"
"China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-26"
"China","Xinjiang Uygur Autonomous Region",4,0,0,0,0,"2020-01-26"
"China","Yunnan Province",16,0,0,0,0,"2020-01-26"
"China","Zhejiang Province",104,0,0,0,1,"2020-01-26"
"China","Anhui Province",70,0,0,0,0,"2020-01-27"
"China","Beijing Municipality",80,0,0,1,2,"2020-01-27"
"China","Chongqing Municipality",110,0,0,0,0,"2020-01-27"
"China","Fujian Province",59,0,0,0,0,"2020-01-27"
"China","Gansu province",14,0,0,0,0,"2020-01-27"
"China","Guangdong Province",151,0,0,0,3,"2020-01-27"
"China","Guangxi Zhuang Autonomous Region",46,0,0,0,0,"2020-01-27"
"China","Guizhou Province",7,0,0,0,0,"2020-01-27"
"China","Hainan Province",33,0,0,1,0,"2020-01-27"
"China","Hebei Province",18,0,0,1,0,"2020-01-27"
"China","Heilongjiang Province",21,0,0,1,0,"2020-01-27"
"China","Henan Province",128,0,0,1,0,"2020-01-27"
"China","Hong Kong Special Administrative Region",8,0,0,0,0,"2020-01-27"
"China","Hubei Province",1423,0,0,76,45,"2020-01-27"
"China","Hunan Province",100,0,0,0,0,"2020-01-27"
"China","Inner Mongolia Autonomous Region",11,0,0,0,0,"2020-01-27"
"China","Jiangsu Province",47,0,0,0,1,"2020-01-27"
"China","Jiangxi Province",48,0,0,0,1,"2020-01-27"
"China","Jilin Province",6,0,0,0,0,"2020-01-27"
"China","Liaoning Province",27,0,0,0,0,"2020-01-27"
"China","Macao Special Administrative Region",6,0,0,0,0,"2020-01-27"
"China","Ningxia Hui Autonomous Region",7,0,0,0,0,"2020-01-27"
"China","Qinghai Province",6,0,0,0,0,"2020-01-27"
"China","Shaanxi Province",35,0,0,0,0,"2020-01-27"
"China","Shandong Province",75,0,0,0,0,"2020-01-27"
"China","Shanghai Municipality",53,0,0,1,3,"2020-01-27"
"China","Shanxi Province",13,0,0,0,0,"2020-01-27"
"China","Sichuan Province",69,0,0,0,0,"2020-01-27"
"China","Taiwan Province",5,0,0,0,0,"2020-01-27"
"China","Tianjin Municipality",23,0,0,0,0,"2020-01-27"
"China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-27"
"China","Xinjiang Uygur Autonomous Region",5,0,0,0,0,"2020-01-27"
"China","Yunnan Province",26,0,0,0,0,"2020-01-27"
"China","Zhejiang Province",128,0,0,0,1,"2020-01-27"
"China","Anhui Province",106,0,0,0,0,"2020-01-28"
"China","Beijing Municipality",91,0,0,1,4,"2020-01-28"
"China","Chongqing Municipality",132,0,0,0,0,"2020-01-28"
"China","Fujian Province",80,0,0,0,0,"2020-01-28"
"China","Gansu province",19,0,0,0,0,"2020-01-28"
"China","Guangdong Province",207,0,0,0,4,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region",51,0,0,0,2,"2020-01-28"
"China","Guizhou Province",9,0,0,0,0,"2020-01-28"
"China","Hainan Province",40,0,0,1,0,"2020-01-28"
"China","Hebei Province",33,0,0,1,0,"2020-01-28"
"China","Heilongjiang Province",33,0,0,1,0,"2020-01-28"
"China","Henan Province",168,0,0,1,0,"2020-01-28"
