"ADM0_EN","ADM1_EN","ADM2_EN"
"China","Anhui Province","Anqing"
"China","Anhui Province","Bengbu"
"China","Anhui Province","Bozhou"
"China","Anhui Province","Chizhou"
"China","Anhui Province","Chuzhou"
"China","Anhui Province","Fuyang"
"China","Anhui Province","Hefei"
"China","Anhui Province","Huaibei"
"China","Anhui Province","Huainan"
"China","Anhui Province","Huangshan"
"China","Anhui Province","Lu'an"
"China","Anhui Province","Ma'anshan"
"China","Anhui Province","Suzhou"
"China","Anhui Province","Tongling"
"China","Anhui Province","Wuhu"
"China","Anhui Province","Xuancheng"
"China","Beijing Municipality","Area to be Identified"
"China","Beijing Municipality","Beijing Municipality"
"China","Chongqing Municipality","Chongqing Municipality"
"China","Fujian Province","Fuzhou"
"China","Fujian Province","Longyan"
"China","Fujian Province","Nanping"
"China","Fujian Province","Ningde"
"China","Fujian Province","Putian"
"China","Fujian Province","Quanzhou"
"China","Fujian Province","Sanming"
"China","Fujian Province","Xiamen"
"China","Fujian Province","Zhangzhou"
"China","Gansu province","Area to be identified"
"China","Gansu province","Baiyin"
"China","Gansu province","Dingxi"
"China","Gansu province","Gannan Tibetan Autonomous Prefecture"
"China","Gansu province","Jiayuguan"
"China","Gansu province","Jinchang"
"China","Gansu province","Jiuquan"
"China","Gansu province","Lanzhou"
"China","Gansu province","Linxia Hui Autonomous Prefecture"
"China","Gansu province","Longnan"
"China","Gansu province","Pingliang"
"China","Gansu province","Qingyang"
"China","Gansu province","Tianshui"
"China","Gansu province","Wuwei"
"China","Gansu province","Zhangye"
"China","Guangdong Province","Area to be identified"
"China","Guangdong Province","Chaozhou"
"China","Guangdong Province","Dongguan"
"China","Guangdong Province","Foshan"
"China","Guangdong Province","Guangzhou"
"China","Guangdong Province","Heyuan"
"China","Guangdong Province","Huizhou"
"China","Guangdong Province","Jiangmen"
"China","Guangdong Province","Jieyang"
"China","Guangdong Province","Maoming"
"China","Guangdong Province","Meizhou"
"China","Guangdong Province","Qingyuan"
"China","Guangdong Province","Shantou"
"China","Guangdong Province","Shanwei"
"China","Guangdong Province","Shaoguan"
"China","Guangdong Province","Shenzhen"
"China","Guangdong Province","Yangjiang"
"China","Guangdong Province","Yunfu"
"China","Guangdong Province","Zhanjiang"
"China","Guangdong Province","Zhaoqing"
"China","Guangdong Province","Zhongshan"
"China","Guangdong Province","Zhuhai"
"China","Guangxi Zhuang Autonomous Region","Area to be identified"
"China","Guangxi Zhuang Autonomous Region","Baise"
"China","Guangxi Zhuang Autonomous Region","Beihai"
"China","Guangxi Zhuang Autonomous Region","Chongzuo"
"China","Guangxi Zhuang Autonomous Region","Fangchenggang"
"China","Guangxi Zhuang Autonomous Region","Guigang"
"China","Guangxi Zhuang Autonomous Region","Guilin"
