"ADM0_EN","ADM1_EN"
"China","Anhui Province"
"China","Beijing Municipality"
"China","Chongqing Municipality"
"China","Fujian Province"
"China","Gansu province"
"China","Guangdong Province"
"China","Guangxi Zhuang Autonomous Region"
"China","Guizhou Province"
"China","Hainan Province"
"China","Hebei Province"
"China","Heilongjiang Province"
"China","Henan Province"
"China","Hong Kong Special Administrative Region"
"China","Hubei Province"
"China","Hunan Province"
"China","Inner Mongolia Autonomous Region"
"China","Jiangsu Province"
"China","Jiangxi Province"
"China","Jilin Province"
"China","Liaoning Province"
"China","Macao Special Administrative Region"
"China","Ningxia Hui Autonomous Region"
"China","Qinghai Province"
"China","Shaanxi Province"
"China","Shandong Province"
"China","Shanghai Municipality"
"China","Shanxi Province"
"China","Sichuan Province"
"China","Taiwan Province"
"China","Tianjin Municipality"
"China","Tibet Autonomous Region"
"China","Xinjiang Uygur Autonomous Region"
"China","Yunnan Province"
"China","Zhejiang Province"
