OBJECTID,Admin_type,ADM3_EN,ADM3_ZH,ADM3_ZH_short,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_ZH_short,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_ZH_short,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE,source,notes
191,Prefecture-level city,,,,Daguan District,Anqing,安庆市,安庆,CN340100,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
226,Prefecture-level city,,,,Bengshan District,Bengbu,蚌埠市,蚌埠,CN340200,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
229,Prefecture-level city,,,,Qiaocheng District,Bozhou,亳州市,亳州,CN340300,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
189,Prefecture-level city,,,,Guichi District,Chizhou,池州市,池州,CN340400,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
307,Prefecture-level city,,,,Langya District,Chuzhou,滁州市,滁州,CN340500,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
224,Prefecture-level city,,,,Yingzhou District,Fuyang,阜阳市,阜阳,CN340600,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
305,Prefecture-level city,,,,Shushan District,Hefei,合肥市,合肥,CN340700,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
227,Prefecture-level city,,,,Xiangshan District,Huaibei,淮北市,淮北,CN340800,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
,County,Fengtai,凤台县,丰台,,Huainan,淮南市,淮南,CN340900,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
225,Prefecture-level city,,,,Tianjia'an District,Huainan,淮南市,淮南,CN340900,Anhui Province,安徽省,,CN340,China,中国,CN,shapefile,
188,Prefecture-level city,,,,Tunxi District,Huangshan,黄山市,黄山,CN341000,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
306,Prefecture-level city,,,,Jin'an District,Lu'an,六安市,六安,CN341100,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
341,Prefecture-level city,,,,Yushan District,Ma'anshan,马鞍山市,马鞍山,CN341200,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
228,Prefecture-level city,,,,Yongqiao District,Suzhou,宿州市,宿州,CN341300,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
190,Prefecture-level city,,,,Tongguanshan District,Tongling,铜陵市,铜陵,CN341400,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
342,Prefecture-level city,,,,Jiujiang District,Wuhu,芜湖市,芜湖,CN341500,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
296,Prefecture-level city,,,,Xuanzhou District,Xuancheng,宣城市,宣城,CN341600,Anhui Province,安徽省,,CN341,China,中国,CN,shapefile,
,Unknown Area,,,,,Area to be Identified,待明确地区,,,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,County,Yanqing,延庆县,延庆区,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Changping,昌平区,昌平,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Daxing,大兴区,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Dongcheng,东城区,东城,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Fangshan,房山区,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Fengtai,丰台区,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Haidian,海淀区,海淀,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Huairou,怀柔区,怀柔,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Mentougou,门头沟区,门头沟,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Miyun,密云区,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Shijingshan,石景山区,石景山,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Shunyi,顺义,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Shunyi,顺义区,顺义,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Tongzhou,通州,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Tōngzhōu,通州区,通州,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Xicheng,西城区,西城,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,District,Chaoyang,朝阳区,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,Imported,Foriegners,外地来津人员,外地来京人员,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,Imported,Imported from Wuhan,武汉来京人员,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
243,Municipality,,,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,shapefile,
,Unknown Area,Area to be Identified,待明确地区,,NA,Beijing Municipality,北京市,北京,CN110100,Beijing Municipality,北京市,,CN110,China,中国,CN,manual_addition,
,County,Ba,巴南区,,NA,Chongqing Municipality,重庆市,重慶,CN500100,Chongqing Municipality,重庆市,,CN501,China,中国,CN,manual_addition,
,County,Bishan,璧山区,,NA,Chongqing Municipality,重庆市,重慶,CN500100,Chongqing Municipality,重庆市,,CN501,China,中国,CN,manual_addition,
,County,Changshou,长寿区,,NA,Chongqing Municipality,重庆市,重慶,CN500100,Chongqing Municipality,重庆市,,CN500,China,中国,CN,manual_addition,
,County,Chengkou,城口县,,NA,Chongqing Municipality,重庆市,重慶,CN500100,Chongqing Municipality,重庆市,,CN501,China,中国,CN,manual_addition,
