country,date_of_evac,potential end of quarantine,evacuees,screened,tested,positive,quarantine,location,comments,source,announcement_date,contributor,date_of_entry,addl_source,addl_comments
USA,1/29/2020,2/12/2020,195,195,,,14,"March Air Reserve Base in Riverside, CA",will monitor evacuees for 14 days to check for coronavirus sym,https://www.cdc.gov/media/releases/2020/s0131-federal-quarantine-march-air-reserve-base.html,1/31/2020,Daniel Suh,2/4/2020,https://www.cbsnews.com/live-updates/coronavirus-death-toll-infections-outbreak-evacuations-cruise-ship-latest-updates-2020-02-12/#post-update-1508f024,quarantine ended 2/11/2020
USA,2/5/2020,2/19/2020,350,350,4,2,14,Travis Air Force Base and Marine Corps Air Station Miramar,2 flights,https://www.cbsnews.com/live-updates/coronavirus-usa-confirmed-cases-news-death-toll-evacuations-latest-2020-02-05/,2/5/2020,Daniel Suh,2/5/2020,https://www.reuters.com/article/us-china-health-usa-san-diego/cdc-confirms-14th-u-s-case-of-coronavirus-with-patient-in-san-diego-idUSKBN20700I,2 people confirmed infected
USA,2/6/2020,2/20/2020,300,300,,,14,Lackland Air Force Base and Marine Corps Air Station Miramar,2 flights,https://www.cbsnews.com/live-updates/coronavirus-usa-confirmed-cases-news-cruise-ship-death-toll-evacuations-latest-2020-02-06/,2/6/2020,Daniel Suh,2/7/2020,,
USA,2/17/2020,3/2/2020,300,300,,14,14,Travis Air Force Base and Lackland Air Force Base,2 flights - diamond princess evac,https://nypost.com/2020/02/17/14-americans-aboard-evacuation-plane-from-japan-stricken-with-coronavirus/,2/17/2020,Daniel Suh,2/18/2020,,
Japan,1/29/2020,2/12/2020,206,206,206,4,,,first evac flight from japan. 2 positive cases did not show symptoms. passengers asked to stay home for 14 days,https://www.thejakartapost.com/news/2020/01/30/three-japanese-evacuated-from-wuhan-have-new-coronavirus.html,1/29/2020,Daniel Suh,2/4/2020,https://www.nippon.com/en/news/yjj2020020100646/3-more-japanese-from-wuhan-test-positive-for-coronavirus.html?cx_recs_click=true,1 add'l found later
Japan,1/30/2020,2/13/2020,210,210,210,4,,,second evac flight,https://www.cnbc.com/2020/01/30/japanese-evacuees-from-wuhan-test-positive-for-virus.html,,Daniel Suh,2/4/2020,https://www.bloomberg.com/news/articles/2020-02-11/two-japan-evacuees-get-coronavirus-after-first-testing-negative,2 add'l positive cases
Japan,1/31/2020,2/14/2020,149,149,149,2,,,third evac flight,https://www.nippon.com/en/news/yjj2020013101473/japan-confirms-2-more-symptomless-returnees-with-new-coronavirus.html?cx_recs_click=true,1/31/2020,Daniel Suh,2/4/2020,https://www.nippon.com/en/news/yjj2020020100646/3-more-japanese-from-wuhan-test-positive-for-coronavirus.html?cx_recs_click=true,2 confirmed third evac flight
Japan,2/7/2020,2/21/2020,198,198,,,,,fourth flight,https://www.nippon.com/en/news/yjj2020020800017/4th-evacuation-flight-returns-to-japan-from-wuhan.html,2/7/2020,Daniel Suh,2/11/2020,,
Australia,2/3/2020,2/17/2020,243,243,,,14,Christmas Island,,https://www.bbc.com/news/world-australia-51352145,2/3/2020,Daniel Suh,2/4/2020,,
Australia,2/9/2020,2/23/2020,250,250,,,14,Darwin,second evac flight,https://www.abc.net.au/news/2020-02-11/coronavirus-evacuees-in-darwin-speak-nt-australia/11951078,2/10/2020,Daniel Suh,2/13/2020,,
Australia,2/20/2020,3/5/2020,150,150,,,,,diamond princess evac,https://www.nytimes.com/reuters/2020/02/24/world/europe/24reuters-china-health-evacuation-factbox.html,,Daniel Suh,,,
Germany,2/1/2020,2/15/2020,128,128,,2,14,Frankfurt,,https://www.dw.com/en/coronavirus-german-evacuation-flight-lands-in-frankfurt/a-52223609,2/1/2020,Daniel Suh,2/4/2020,https://www.dw.com/en/coronavirus-german-evacuation-flight-from-china-carried-two-infected-people/a-52229955,102 german citizens; 115 quarantined at Germersheim military barracks
France,1/31/2020,2/14/2020,180,180,2,0,14,Carry-le-Rouet,two showed symptoms but tests came back negative,https://www.france24.com/en/20200131-plane-carrying-french-citizens-out-of-virus-hit-wuhan-lands-in-south-of-france,1/31/2020,Daniel Suh,2/4/2020,https://www.gouvernement.fr/en/coronavirus-2019-ncov-repatriation-operations-involving-direct-flights-organized-by-france,
France,2/2/2020,2/16/2020,291,291,20,0,14,,no more french citizens asking to be repatriated. plane included many non-french citizens from over 30 countries. 16 sent to their respective countries,https://www.scmp.com/news/world/europe/article/3048638/coronavirus-french-authorities-say-20-people-evacuated-china,2/3/2020,Daniel Suh,2/4/2020,,
Italy,2/2/2020,2/16/2020,56,56,,1,,Cecchignola military base,,https://www.thelocal.it/20200203/coronavirus-italians-evacuated-from-china-quarantined-rome,2/3/2020,Daniel Suh,2/4/2020,https://www.reuters.com/article/us-china-health-italy/italy-confirms-third-coronavirus-case-person-had-been-evacuated-from-china-idUSKBN2002X8,one confirmed case days after evacuation
South Korea,1/31/2020,2/14/2020,368,368,18,1,14,Asan and Jincheon,,https://www.reuters.com/article/us-china-health-southkorea/south-korean-evacuation-flight-arrives-from-wuhan-amid-tension-over-quarantine-centers-idUSKBN1ZT39V,1/30/2020,Daniel Suh,2/4/2020,https://en.yna.co.kr/view/AEN20200207002156320?section=search,
South Korea,2/1/2020,2/15/2020,333,333,7,,14,Asan ,end of scheduled evacuations,https://en.yna.co.kr/view/AEN20200201000356325?section=search,2/1/2020,Daniel Suh,2/7/2020,,
South Korea,2/11/2020,2/25/2020,147,147,,,14,,,https://www.nytimes.com/reuters/2020/02/11/world/asia/11reuters-china-health-southkorea.html,2/11/2020,Daniel Suh,2/13/2020,,
UK,1/31/2020,2/14/2020,83,83,,0,14,Arrowe Park Hospital,,https://www.bbc.com/news/uk-51318691,1/31/2020,Daniel Suh,2/4/2020,,
UK,2/2/2020,2/16/2020,11,11,1,0,10,Arrowe Park Hospital,"Anthony May-Smith suspected, tested -ve",Dominic Raab in Commons Foreign and Commonwealth Affairs Select Committee Meeting,2/4/2020,Lewis Bartllett,2/5/2020,,
UK,2/9/2020,2/23/2020,200,200,,,14,Kents Hill Park Hotel,,https://www.independent.co.uk/news/uk/home-news/coronavirus-uk-china-evacuation-flight-wuhan-death-toll-outbreak-ebola-latest-a9325476.html,2/8/2020,Daniel Suh,2/9/2020,,
UK,2/22/2020,3/7/2020,30,30,,,,,diamond princess evac,https://www.nytimes.com/reuters/2020/02/24/world/europe/24reuters-china-health-evacuation-factbox.html,,Daniel Suh,,,
Belgium,2/2/2020,2/16/2020,9,9,9,1,1,NA,Person is asymptomatic & was on flight,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-virus-belgium-tests-positive-china-12394176  /   https://www.politico.eu/article/belgian-repatriated-from-wuhan-tests-positive-for-coronavirus/,2/4/2020,Lewis Bartlett,2/5/2020,,
India,2/1/2020,2/15/2020,324,324,,0,14,,,https://qz.com/india/1795841/how-india-is-dealing-with-the-coronavirus-outbreak/,2/3/2020,Daniel Suh,2/4/2020,,
India,2/2/2020,2/16/2020,330,330,,,14,,includes 7 Maldives citizens,https://indianexpress.com/article/explained/coronavirus-outbreak-inside-the-wuhan-evacuation-indians-in-china-6251124/,2/5/2020,Daniel Suh,2/5/2020,,
Canada,2/6/2020,2/20/2020,176,176,,,14,Canadian Forces Base Trenton,,https://globalnews.ca/news/6515047/canada-coronavirus-evacuation-wuhan/,2/6/2020,Daniel Suh,2/7/2020,,
Canada,2/10/2020,2/24/2020,185,185,,,14,Canadian Forces Base Trenton,,https://globalnews.ca/news/6530909/coronavirus-quarantine-flight-crew-released/,2/10/2020,Daniel Suh,2/13/2020,,
Canada,2/21/2020,3/6/2020,129,129,,,14,,diamond princess evac,https://www.nytimes.com/reuters/2020/02/24/world/europe/24reuters-china-health-evacuation-factbox.html,,Daniel Suh,,,
