"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",340,0,0,0,7,"2020-02FEB"
"18","China","Beijing Municipality",191,0,0,1,9,"2020-02FEB"
"38","China","Chongqing Municipality",275,0,0,1,7,"2020-02FEB"
"78","China","Fujian Province",159,0,0,0,0,"2020-02FEB"
"87","China","Gansu province",40,0,0,0,3,"2020-02FEB"
"102","China","Guangdong Province",632,0,0,0,15,"2020-02FEB"
"126","China","Guangxi Zhuang Autonomous Region",111,0,0,0,2,"2020-02FEB"
"141","China","Guizhou Province",38,0,0,0,2,"2020-02FEB"
"150","China","Hainan Province",64,0,0,1,4,"2020-02FEB"
"169","China","Hebei Province",104,0,1,1,3,"2020-02FEB"
"180","China","Heilongjiang Province",95,0,0,2,2,"2020-02FEB"
"193","China","Henan Province",493,0,0,2,10,"2020-02FEB"
"213","China","Hong Kong Special Administrative Region",14,0,0,0,0,"2020-02FEB"
"214","China","Hubei Province",9074,0,0,294,267,"2020-02FEB"
"232","China","Hunan Province",463,0,0,0,16,"2020-02FEB"
"246","China","Inner Mongolia Autonomous Region",27,0,0,0,1,"2020-02FEB"
"259","China","Jiangsu Province",236,0,0,0,7,"2020-02FEB"
"272","China","Jiangxi Province",333,0,0,0,12,"2020-02FEB"
"284","China","Jilin Province",23,0,0,0,1,"2020-02FEB"
"295","China","Liaoning Province",70,0,0,0,1,"2020-02FEB"
"309","China","Macao Special Administrative Region",8,0,0,0,0,"2020-02FEB"
"310","China","Ningxia Hui Autonomous Region",28,0,0,0,0,"2020-02FEB"
"317","China","Qinghai Province",11,0,0,0,0,"2020-02FEB"
"325","China","Shaanxi Province",116,0,0,0,0,"2020-02FEB"
"337","China","Shandong Province",230,0,0,0,6,"2020-02FEB"
"354","China","Shanghai Municipality",182,0,0,1,10,"2020-02FEB"
"373","China","Shanxi Province",56,0,0,0,2,"2020-02FEB"
"384","China","Sichuan Province",231,0,0,1,11,"2020-02FEB"
"405","China","Taiwan Province",10,0,0,0,0,"2020-02FEB"
"406","China","Tianjin Municipality",48,0,0,0,1,"2020-02FEB"
"423","China","Tibet Autonomous Region",1,0,0,0,0,"2020-02FEB"
"430","China","Xinjiang Uygur Autonomous Region",21,0,0,0,0,"2020-02FEB"
"453","China","Yunnan Province",105,0,0,0,3,"2020-02FEB"
"469","China","Zhejiang Province",661,0,0,0,32,"2020-02FEB"
"482",NA,NA,0,0,19543,0,0,"2020-02FEB"
