"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",990,0,0,6,984,"2020-11MAR"
"18","China","Beijing Municipality",435,101,0,8,326,"2020-11MAR"
"38","China","Chongqing Municipality",576,16,0,6,554,"2020-11MAR"
"78","China","Fujian Province",296,0,0,1,295,"2020-11MAR"
"87","China","Gansu province",127,37,0,2,88,"2020-11MAR"
"102","China","Guangdong Province",1356,66,0,8,1282,"2020-11MAR"
"126","China","Guangxi Zhuang Autonomous Region",252,12,0,2,238,"2020-11MAR"
"141","China","Guizhou Province",146,11,0,2,133,"2020-11MAR"
"150","China","Hainan Province",168,3,0,6,159,"2020-11MAR"
"169","China","Hebei Province",318,5,0,6,307,"2020-11MAR"
"180","China","Heilongjiang Province",482,33,0,13,436,"2020-11MAR"
"193","China","Henan Province",1273,2,0,22,1249,"2020-11MAR"
"213","China","Hong Kong Special Administrative Region",126,58,0,3,65,"2020-11MAR"
"214","China","Hubei Province",67773,15593,0,3046,49134,"2020-11MAR"
"232","China","Hunan Province",1018,19,0,4,995,"2020-11MAR"
"246","China","Inner Mongolia Autonomous Region",75,3,0,1,71,"2020-11MAR"
"259","China","Jiangsu Province",631,4,0,0,627,"2020-11MAR"
"272","China","Jiangxi Province",935,2,0,1,932,"2020-11MAR"
"284","China","Jilin Province",93,1,0,1,91,"2020-11MAR"
"295","China","Liaoning Province",125,13,0,1,111,"2020-11MAR"
"309","China","Macao Special Administrative Region",10,0,0,0,10,"2020-11MAR"
"310","China","Ningxia Hui Autonomous Region",75,3,0,0,72,"2020-11MAR"
"317","China","Qinghai Province",18,0,0,0,18,"2020-11MAR"
"325","China","Shaanxi Province",245,12,0,1,232,"2020-11MAR"
"337","China","Shandong Province",760,28,0,6,726,"2020-11MAR"
"354","China","Shanghai Municipality",344,21,0,3,320,"2020-11MAR"
"373","China","Shanxi Province",133,2,0,0,131,"2020-11MAR"
"384","China","Sichuan Province",539,48,0,3,488,"2020-11MAR"
"405","China","Taiwan Province",48,30,0,1,17,"2020-11MAR"
"406","China","Tianjin Municipality",136,2,0,3,131,"2020-11MAR"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-11MAR"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-11MAR"
"453","China","Yunnan Province",174,2,0,2,170,"2020-11MAR"
"469","China","Zhejiang Province",1215,19,0,1,1195,"2020-11MAR"
