"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",9,0,0,0,0,"2020-23JAN"
"18","China","Beijing Municipality",22,0,0,0,0,"2020-23JAN"
"38","China","Chongqing Municipality",9,0,0,0,0,"2020-23JAN"
"78","China","Fujian Province",5,0,0,0,0,"2020-23JAN"
"87","China","Gansu province",2,0,0,0,0,"2020-23JAN"
"102","China","Guangdong Province",32,0,0,0,0,"2020-23JAN"
"126","China","Guangxi Zhuang Autonomous Region",5,0,0,0,0,"2020-23JAN"
"141","China","Guizhou Province",3,0,0,0,0,"2020-23JAN"
"150","China","Hainan Province",5,0,0,0,0,"2020-23JAN"
"169","China","Hebei Province",1,0,0,1,0,"2020-23JAN"
"180","China","Heilongjiang Province",2,0,0,0,0,"2020-23JAN"
"193","China","Henan Province",5,0,0,0,0,"2020-23JAN"
"213","China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-23JAN"
"214","China","Hubei Province",444,0,0,0,0,"2020-23JAN"
"232","China","Hunan Province",9,0,0,0,0,"2020-23JAN"
"246","China","Inner Mongolia Autonomous Region",0,0,1,0,0,"2020-23JAN"
"259","China","Jiangsu Province",5,0,0,0,0,"2020-23JAN"
"272","China","Jiangxi Province",7,0,0,0,0,"2020-23JAN"
"284","China","Jilin Province",1,0,0,0,0,"2020-23JAN"
"295","China","Liaoning Province",3,0,0,0,0,"2020-23JAN"
"309","China","Macao Special Administrative Region",2,0,0,0,0,"2020-23JAN"
"310","China","Ningxia Hui Autonomous Region",1,0,0,0,0,"2020-23JAN"
"317","China","Qinghai Province",0,0,0,0,0,"2020-23JAN"
"318","China","Shaanxi Province",3,0,0,0,0,"2020-23JAN"
"330","China","Shandong Province",6,0,0,0,0,"2020-23JAN"
"347","China","Shanghai Municipality",16,0,0,0,0,"2020-23JAN"
"366","China","Shanxi Province",1,0,0,0,0,"2020-23JAN"
"377","China","Sichuan Province",8,0,0,0,0,"2020-23JAN"
"398","China","Taiwan Province",1,0,0,0,0,"2020-23JAN"
"399","China","Tianjin Municipality",4,0,0,0,0,"2020-23JAN"
"416","China","Tibet Autonomous Region",0,0,0,0,0,"2020-23JAN"
"417","China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-23JAN"
"440","China","Yunnan Province",2,0,0,0,0,"2020-23JAN"
"456","China","Zhejiang Province",27,0,0,0,0,"2020-23JAN"
