"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"1","海南省","city","万宁","5",NA,"0","0","0",NA
"2","重庆市","city","万州区","10",NA,"0","0","0",NA
"3","海南省","city","三亚","6",NA,"0","0","0",NA
"4","福建省","city","三明","1",NA,"0","0","0",NA
"5","河南省","city","三门峡","1",NA,"0","0","0",NA
"6","江西省","city","上饶","2",NA,"0","0","0",NA
"7","广东省","city","东莞","1",NA,"0","0","0",NA
"8","重庆市","city","两江新区","3",NA,"0","0","0",NA
"9","云南省","city","丽江市","2",NA,"0","0","0",NA
"10","宁夏回族自治区","city","中卫","1",NA,"0","0","0",NA
"11","广东省","city","中山","2",NA,"0","0","0",NA
"12","北京市","city","丰台","2",NA,"0","0","0",NA
"13","重庆市","city","丰都县","1",NA,"0","0","0",NA
"14","甘肃省","city","临夏","1",NA,"0","0","0",NA
"15","山东省","city","临沂","3",NA,"0","0","0",NA
"16","海南省","city","临高县","1",NA,"0","0","0",NA
"17","新疆维吾尔自治区","city","乌鲁木齐","3",NA,"0","0","0",NA
"18","江西省","city","九江","2",NA,"0","0","0",NA
"19","重庆市","city","九龙坡区","3",NA,"0","0","0",NA
"20","重庆市","city","云阳县","2",NA,"0","0","0",NA
"21","安徽省","city","亳州","4",NA,"0","0","0",NA
"22","湖北省","city","仙桃","10",NA,"0","0","0",NA
"23","广东省","city","佛山","9",NA,"0","0","0",NA
"24","河北省","city","保定","1",NA,"0","0","0",NA
"25","河南省","city","信阳","5",NA,"0","0","0",NA
"26","海南省","city","儋州","3",NA,"0","0","0",NA
"27","安徽省","city","六安","2",NA,"0","0","0",NA
"28","甘肃省","city","兰州","2",NA,"0","0","0",NA
"29","四川省","city","内江","1",NA,"0","0","0",NA
"30","广西壮族自治区","city","北海","6",NA,"0","0","0",NA
"31","湖北省","city","十堰","5",NA,"0","0","0",NA
"32","江苏省","city","南京","4",NA,"0","0","0",NA
"33","江西省","city","南昌","3",NA,"0","0","0",NA
"34","江苏省","city","南通","1",NA,"0","0","0",NA
"35","河南省","city","南阳","8",NA,"0","0","0",NA
"36","福建省","city","厦门","3",NA,"0","0","0",NA
"37","浙江省","city","台州","20",NA,"0","0","0",NA
"38","重庆市","city","合川区","2",NA,"0","0","0",NA
"39","安徽省","city","合肥","10",NA,"0","0","0",NA
"40","江西省","city","吉安","1",NA,"0","0","0",NA
"41","吉林省","city","吉林","2",NA,"0","0","0",NA
"42","河南省","city","周口","4",NA,"0","0","0",NA
"43","内蒙古自治区","city","呼伦贝尔","1",NA,"0","0","0",NA
"44","陕西省","city","咸阳","3",NA,"0","0","0",NA
"45","黑龙江省","city","哈尔滨","6",NA,"0","0","0",NA
"46","陕西省","city","商洛","1",NA,"0","0","0",NA
"47","浙江省","city","嘉兴","4",NA,"0","0","0",NA
"48","宁夏回族自治区","city","固原","1",NA,"0","0","0",NA
"49","河南省","city","固始县","1",NA,"0","0","0",NA
"50","重庆市","city","垫江县","2",NA,"0","0","0",NA
"51","重庆市","city","城口县","1",NA,"0","0","0",NA
"52","北京市","city","外地来京人员","11",NA,"0","0","0",NA
"53","北京市","city","大兴","2",NA,"0","0","2",NA
"54","山西省","city","大同","1",NA,"0","0","0",NA
"55","黑龙江省","city","大庆","1",NA,"0","0","0",NA
"56","重庆市","city","大渡口区","2",NA,"0","0","0",NA
"57","云南省","city","大理","1",NA,"0","0","0",NA
"58","辽宁省","city","大连","4",NA,"0","0","0",NA
"59","湖北省","city","天门","3",NA,"0","0","0",NA
"60","山西省","city","太原","2",NA,"0","0","0",NA
"61","重庆市","city","奉节县","1",NA,"0","0","0",NA
"62","山东省","city","威海","3",NA,"0","0","0",NA
"63","湖北省","city","孝感","26",NA,"0","0","0",NA
"64","福建省","city","宁德","2",NA,"0","0","0",NA
"65","浙江省","city","宁波","6",NA,"0","0","0",NA
"66","安徽省","city","安庆","4",NA,"0","0","0",NA
"67","陕西省","city","安康","3",NA,"0","0","0",NA
"68","湖北省","city","宜昌","1",NA,"0","1","0",NA
"69","江西省","city","宜春","1",NA,"0","0","0",NA
"70","江苏省","city","宿迁","1",NA,"0","0","0",NA
"71","湖南省","city","岳阳","5",NA,"0","0","0",NA
"72","河南省","city","巩义","2",NA,"0","0","0",NA
"73","重庆市","city","巫山县","3",NA,"0","0","0",NA
"74","重庆市","city","巫溪县","2",NA,"0","0","0",NA
"75","江苏省","city","常州","5",NA,"0","0","0",NA
"76","湖南省","city","常德","3",NA,"0","0","0",NA
"77","河南省","city","平顶山","1",NA,"0","0","0",NA
"78","四川省","city","广安","2",NA,"0","0","0",NA
"79","广东省","city","广州","14",NA,"0","0","0",NA
"80","陕西省","city","延安","1",NA,"0","0","0",NA
"81","重庆市","city","开州区","4",NA,"0","0","0",NA
"82","山东省","city","德州","1",NA,"0","0","0",NA
"83","四川省","city","德阳","1",NA,"0","0","0",NA
"84","重庆市","city","忠县","3",NA,"0","0","0",NA
"85","湖南省","city","怀化","5",NA,"0","0","0",NA
"86","湖北省","city","恩施州","11",NA,"0","0","0",NA
"87","广东省","city","惠州","7",NA,"0","0","0",NA
"88","四川省","city","成都","16",NA,"0","0","0",NA
"89","江苏省","city","扬州","1",NA,"0","0","0",NA
"90","河北省","city","承德","1",NA,"0","0","0",NA
"91","江西省","city","抚州","4",NA,"0","0","0",NA
"92","江西省","city","新余","1",NA,"0","0","0",NA
"93","河南省","city","新乡","1",NA,"0","0","0",NA
"94","江苏省","city","无锡","1",NA,"0","0","0",NA
"95","山东省","city","日照","3",NA,"0","0","0",NA
"96","云南省","city","昆明","4",NA,"0","0","0",NA
"97","北京市","city","昌平","3",NA,"0","0","0",NA
"98","江西省","city","景德镇","1",NA,"0","0","0",NA
"99","云南省","city","曲靖","1",NA,"0","0","0",NA
"100","北京市","city","朝阳","6",NA,"0","0","0",NA
"101","辽宁省","city","朝阳","2",NA,"0","0","0",NA
"102","辽宁省","city","本溪","1",NA,"0","0","0",NA
"103","浙江省","city","杭州","12",NA,"0","0","0",NA
"104","吉林省","city","松原","1",NA,"0","0","0",NA
"105","广西壮族自治区","city","柳州","3",NA,"0","0","0",NA
"106","湖南省","city","株洲","1",NA,"0","0","0",NA
