"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",9,0,0,0,0,"2020-01-23"
"2","China","Beijing Municipality",22,0,0,0,0,"2020-01-23"
"3","China","Chongqing Municipality",9,0,0,0,0,"2020-01-23"
"4","China","Fujian Province",5,0,0,0,0,"2020-01-23"
"5","China","Gansu province",2,0,0,0,0,"2020-01-23"
"6","China","Guangdong Province",32,0,0,0,0,"2020-01-23"
"7","China","Guangxi Zhuang Autonomous Region",5,0,0,0,0,"2020-01-23"
"8","China","Guizhou Province",3,0,0,0,0,"2020-01-23"
"9","China","Hainan Province",5,0,0,0,0,"2020-01-23"
"10","China","Hebei Province",1,0,0,1,0,"2020-01-23"
"11","China","Heilongjiang Province",2,0,0,0,0,"2020-01-23"
"12","China","Henan Province",5,0,0,0,0,"2020-01-23"
"13","China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-01-23"
"14","China","Hubei Province",444,0,0,0,0,"2020-01-23"
"15","China","Hunan Province",9,0,0,0,0,"2020-01-23"
"16","China","Inner Mongolia Autonomous Region",0,0,1,0,0,"2020-01-23"
"17","China","Jiangsu Province",5,0,0,0,0,"2020-01-23"
"18","China","Jiangxi Province",7,0,0,0,0,"2020-01-23"
"19","China","Jilin Province",1,0,0,0,0,"2020-01-23"
"20","China","Liaoning Province",3,0,0,0,0,"2020-01-23"
"21","China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-23"
"22","China","Ningxia Hui Autonomous Region",1,0,0,0,0,"2020-01-23"
"23","China","Qinghai Province",0,0,0,0,0,"2020-01-23"
"24","China","Shaanxi Province",3,0,0,0,0,"2020-01-23"
"25","China","Shandong Province",6,0,0,0,0,"2020-01-23"
"26","China","Shanghai Municipality",16,0,0,0,0,"2020-01-23"
"27","China","Shanxi Province",1,0,0,0,0,"2020-01-23"
"28","China","Sichuan Province",8,0,0,0,0,"2020-01-23"
"29","China","Taiwan Province",1,0,0,0,0,"2020-01-23"
"30","China","Tianjin Municipality",4,0,0,0,0,"2020-01-23"
"31","China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-23"
"32","China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-01-23"
"33","China","Yunnan Province",2,0,0,0,0,"2020-01-23"
"34","China","Zhejiang Province",27,0,0,0,0,"2020-01-23"
"35","China","Anhui Province",15,0,0,0,0,"2020-01-24"
"36","China","Beijing Municipality",36,0,0,0,1,"2020-01-24"
"37","China","Chongqing Municipality",27,0,0,0,0,"2020-01-24"
"38","China","Fujian Province",10,0,2,0,0,"2020-01-24"
"39","China","Gansu province",2,0,0,0,0,"2020-01-24"
"40","China","Guangdong Province",53,0,0,0,2,"2020-01-24"
"41","China","Guangxi Zhuang Autonomous Region",23,0,0,0,0,"2020-01-24"
"42","China","Guizhou Province",3,0,0,0,0,"2020-01-24"
"43","China","Hainan Province",8,0,0,0,0,"2020-01-24"
"44","China","Hebei Province",2,0,0,1,0,"2020-01-24"
"45","China","Heilongjiang Province",4,0,0,1,0,"2020-01-24"
"46","China","Henan Province",9,0,0,0,0,"2020-01-24"
"47","China","Hong Kong Special Administrative Region",2,0,0,0,0,"2020-01-24"
"48","China","Hubei Province",549,0,0,24,31,"2020-01-24"
"49","China","Hunan Province",24,0,0,0,0,"2020-01-24"
"50","China","Inner Mongolia Autonomous Region",1,0,0,0,0,"2020-01-24"
"51","China","Jiangsu Province",9,0,0,0,0,"2020-01-24"
"52","China","Jiangxi Province",18,0,0,0,0,"2020-01-24"
"53","China","Jilin Province",3,0,0,0,0,"2020-01-24"
"54","China","Liaoning Province",4,0,0,0,0,"2020-01-24"
"55","China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-24"
"56","China","Ningxia Hui Autonomous Region",2,0,0,0,0,"2020-01-24"
"57","China","Qinghai Province",0,0,1,0,0,"2020-01-24"
"58","China","Shaanxi Province",5,0,0,0,0,"2020-01-24"
"59","China","Shandong Province",15,0,0,0,0,"2020-01-24"
"60","China","Shanghai Municipality",20,0,0,0,1,"2020-01-24"
"61","China","Shanxi Province",1,0,0,0,0,"2020-01-24"
"62","China","Sichuan Province",15,0,0,0,0,"2020-01-24"
"63","China","Taiwan Province",3,0,0,0,0,"2020-01-24"
"64","China","Tianjin Municipality",8,0,0,0,0,"2020-01-24"
"65","China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-24"
"66","China","Xinjiang Uygur Autonomous Region",2,0,0,0,0,"2020-01-24"
"67","China","Yunnan Province",5,0,0,0,0,"2020-01-24"
"68","China","Zhejiang Province",43,0,0,0,1,"2020-01-24"
"69","China","Anhui Province",39,0,0,0,0,"2020-01-25"
"70","China","Beijing Municipality",41,0,0,0,2,"2020-01-25"
"71","China","Chongqing Municipality",57,0,0,0,0,"2020-01-25"
"72","China","Fujian Province",18,0,20,0,0,"2020-01-25"
"73","China","Gansu province",4,0,0,0,0,"2020-01-25"
"74","China","Guangdong Province",78,0,0,0,2,"2020-01-25"
"75","China","Guangxi Zhuang Autonomous Region",23,0,0,0,0,"2020-01-25"
"76","China","Guizhou Province",4,0,0,0,0,"2020-01-25"
"77","China","Hainan Province",19,0,0,0,0,"2020-01-25"
"78","China","Hebei Province",8,0,0,1,0,"2020-01-25"
"79","China","Heilongjiang Province",9,0,0,1,0,"2020-01-25"
"80","China","Henan Province",32,0,0,0,0,"2020-01-25"
"81","China","Hong Kong Special Administrative Region",5,0,0,0,0,"2020-01-25"
"82","China","Hubei Province",761,0,0,40,32,"2020-01-25"
"83","China","Hunan Province",43,0,0,0,0,"2020-01-25"
"84","China","Inner Mongolia Autonomous Region",7,0,0,0,0,"2020-01-25"
"85","China","Jiangsu Province",18,0,0,0,1,"2020-01-25"
"86","China","Jiangxi Province",18,0,0,0,0,"2020-01-25"
"87","China","Jilin Province",4,0,0,0,0,"2020-01-25"
"88","China","Liaoning Province",17,0,0,0,0,"2020-01-25"
"89","China","Macao Special Administrative Region",2,0,0,0,0,"2020-01-25"
"90","China","Ningxia Hui Autonomous Region",3,0,0,0,0,"2020-01-25"
"91","China","Qinghai Province",1,0,0,0,0,"2020-01-25"
"92","China","Shaanxi Province",15,0,0,0,0,"2020-01-25"
"93","China","Shandong Province",27,0,0,0,0,"2020-01-25"
"94","China","Shanghai Municipality",33,0,0,0,1,"2020-01-25"
"95","China","Shanxi Province",6,0,0,0,0,"2020-01-25"
"96","China","Sichuan Province",28,0,0,0,0,"2020-01-25"
"97","China","Taiwan Province",3,0,0,0,0,"2020-01-25"
"98","China","Tianjin Municipality",10,0,0,0,0,"2020-01-25"
"99","China","Tibet Autonomous Region",0,0,0,0,0,"2020-01-25"
"100","China","Xinjiang Uygur Autonomous Region",3,0,0,0,0,"2020-01-25"
"101","China","Yunnan Province",11,0,0,0,0,"2020-01-25"
"102","China","Zhejiang Province",62,0,0,0,1,"2020-01-25"
"103","China","Anhui Province",60,0,0,0,0,"2020-01-26"
"104","China","Beijing Municipality",68,0,0,0,2,"2020-01-26"
"105","China","Chongqing Municipality",75,0,0,0,0,"2020-01-26"
"106","China","Fujian Province",35,0,0,0,0,"2020-01-26"
"107","China","Gansu province",7,0,0,0,0,"2020-01-26"
"108","China","Guangdong Province",111,0,0,0,2,"2020-01-26"
"109","China","Guangxi Zhuang Autonomous Region",36,0,0,0,0,"2020-01-26"
