"","ADM_scale","NAME","city_name","institution","institution_type","announcement_date","start_date","end_date","intervention_type","public_health_mobilization","Source_URL","gathering_size","notes","access_date","who_by","last_checked"
"1","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-02-28,NA,NA,"first",NA,"https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",NA,NA,2020-03-21,"ARW",2020-03-22
"2","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-03-14,2020-03-14,NA,"state_of_emergency",NA,"https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",NA,NA,2020-03-21,"ARW",2020-03-22
"3","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-03-14,NA,NA,NA,"deploying_health_workers","https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",NA,NA,2020-03-21,"ARW",2020-03-22
"4","ADM1","Georgia",NA,"Department of Public Health",NA,2020-02-26,NA,NA,"first",NA,"https://www.facebook.com/715595515123557/photos/pcb.3445828118766936/3445826795433735/?type=3&theater",NA,NA,2020-03-22,"ARW",2020-03-22
"5","ADM1","Georgia",NA,"Board of Regents of the University System of Georgia","Academic",2020-03-12,2020-03-16,NA,"no_contact_school",NA,"https://www.uga.edu/coronavirus/messages/archnews-2020-03-12-2.php",NA,NA,2020-03-22,"ARW",2020-03-22
"6","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-03-13,2020-03-14,NA,"state of emergency",NA,NA,NA,NA,NA,NA,NA
"7","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-03-16,2020-03-18,2020-03-31,"no_contact_school",NA,NA,NA,NA,2020-03-21,"ARW",2020-03-22
"8","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-03-23,2020-03-24,2020-04-06,"prohibit_business",NA,"https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",NA,"bars closed",2020-03-23,"ARW",2020-03-23
"9","ADM1","Georgia",NA,"Executive Order of the Govenor","Government",2020-03-23,2020-03-24,2020-04-06,"gathering_size_limited",NA,"https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",10,"in restaurants and businesses",2020-03-23,"ARW",2020-03-23
"10","ADM2","Appling",NA,"Appling County Board of Education","Government",2020-03-16,2020-03-16,2020-03-27,"no_contact_school",NA,"https://www.appling.k12.ga.us/AES",NA,NA,2020-03-21,"ARW",2020-03-22
"11","ADM2","Appling",NA,"Appling County Board of Education","Government",2020-03-16,2020-03-16,2020-03-27,"gathering_size_limited",NA,"https://www.facebook.com/168834513257191/photos/a.924826597657975/1614014912072470/?type=3&theater",50,NA,2020-03-21,"ARW",2020-03-22
"12","ADM2","Appling",NA,"Appling County Board of Education","Government",2020-03-16,NA,NA,"personal_hygiene",NA,"https://www.facebook.com/168834513257191/photos/a.924826597657975/1614014912072470/?type=3&theater",NA,NA,2020-03-21,"ARW",2020-03-22
"13","ADM2","Appling",NA,"Appling County Board of Education","Government",2020-03-16,NA,NA,"environmental_hygiene",NA,"https://www.facebook.com/168834513257191/photos/a.924826597657975/1614014912072470/?type=3&theater",NA,NA,2020-03-21,"ARW",2020-03-22
"14","ADM2","Appling",NA,"Appling County Board of Education","Government",2020-03-16,NA,NA,"social_distancing",NA,"https://www.facebook.com/168834513257191/photos/a.924826597657975/1614014912072470/?type=3&theater",NA,NA,2020-03-21,"ARW",2020-03-22
"15","ADM2","Appling",NA,"Appling County Emergency Management Agency","Government",2020-03-18,NA,NA,"prohibit_business",NA,"https://www.facebook.com/pg/applingcountyema/posts/?ref=page_internal",NA,"only some business affected",2020-03-21,"ARW",2020-03-22
"16","ADM2","Appling",NA,"Appling County Emergency Management Agency","Government",NA,NA,NA,"prohibit_business",NA,"https://www.facebook.com/pg/applingcountyema/posts/?ref=page_internal",NA,NA,NA,"ARW",2020-03-21
