,date,time_reported,cases_cumulative,fatalities_cumulative,hospitalizations_cumulative,tests_cumulative,new_cases,new_fatalities,new_tests,new_hospitalizations,source_cases,source_fatalities,source_tests
1,3/2/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3/3/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3/4/20,NA,2,NA,NA,2,NA,NA,2,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
4,3/5/20,NA,2,NA,NA,2,0,NA,0,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
5,3/6/20,NA,2,NA,NA,2,0,NA,0,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
6,3/7/20,NA,6,NA,NA,6,4,NA,4,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
7,3/8/20,NA,7,NA,NA,7,1,NA,1,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
8,3/9/20,NA,12,NA,NA,12,5,NA,5,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
9,3/10/20,NA,17,NA,NA,17,5,NA,5,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
10,3/11/20,NA,22,NA,NA,22,5,NA,5,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
11,3/12/20,NA,31,NA,NA,31,9,NA,9,NA,https://covidtracking.com/data/state/georgia/,NA,https://covidtracking.com/data/state/georgia/
12,3/13/20,NA,42,1,NA,42,11,NA,11,NA,https://covidtracking.com/data/state/georgia/,https://covidtracking.com/data/state/georgia/,https://covidtracking.com/data/state/georgia/
13,3/14/20,12:00 PM,66,1,NA,66,24,0,24,NA,https://web.archive.org/web/20200314224758/https://dph.georgia.gov/covid-19-daily-status-report,https://web.archive.org/web/20200314224758/https://dph.georgia.gov/covid-19-daily-status-report,https://covidtracking.com/data/state/georgia/
14,3/15/20,12:00 PM,99,1,NA,99,33,0,33,NA,https://web.archive.org/web/20200316003553/https:/dph.georgia.gov/covid-19-daily-status-report,https://web.archive.org/web/20200316003553/https:/dph.georgia.gov/covid-19-daily-status-report,https://covidtracking.com/data/state/georgia/
15,3/16/20,12:00 PM,121,1,NA,121,22,0,22,NA,https://web.archive.org/web/20200316162454/https://dph.georgia.gov/covid-19-daily-status-report,https://web.archive.org/web/20200316162454/https://dph.georgia.gov/covid-19-daily-status-report,https://covidtracking.com/data/state/georgia/
