Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,242,7
Hispanic/Latino,American Indian/Alaska Native,16,0
Hispanic/Latino,Asian,25,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,16,0
Hispanic/Latino,Other,4791,61
Hispanic/Latino,Unknown,2210,3
Hispanic/Latino,White,6779,71
Non-Hispanic/Latino,African-American/Black,21166,1331
Non-Hispanic/Latino,American Indian/Alaska Native,47,3
Non-Hispanic/Latino,Asian,967,47
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,43,5
Non-Hispanic/Latino,Other,901,7
Non-Hispanic/Latino,Unknown,654,0
Non-Hispanic/Latino,White,18986,1283
Unknown,African-American/Black,3387,12
Unknown,American Indian/Alaska Native,8,0
Unknown,Asian,299,0
Unknown,Native Hawaiian/Pacific Islander,31,0
Unknown,Other,1301,2
Unknown,Unknown,22876,11
Unknown,White,2964,6
