county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,721,19,67,3884.49
Atkinson,330,3,39,3961.58
Bacon,448,8,34,3928.45
Baker,67,3,13,2150.19
Baldwin,1095,42,109,2464.66
Banks,280,5,45,1401.26
Barrow,1355,34,181,1568.6
Bartow,1953,64,224,1763.1
Ben Hill,478,5,43,2871.73
Berrien,318,1,15,1649.72
Bibb,3795,73,623,2494.25
Bleckley,261,10,19,2033.03
Brantley,257,6,18,1338.4
Brooks,419,17,47,2664.21
Bryan,695,8,58,1775.81
Bulloch,1334,16,89,1678.68
Burke,504,7,63,2255.84
Butts,495,38,45,1966.31
Calhoun,210,6,42,3324.36
Camden,804,5,25,1490.99
Candler,271,6,9,2500.69
Carroll,1910,52,132,1590.09
Catoosa,677,10,54,984.43
Charlton,439,3,17,3312.96
Chatham,5990,87,545,2050.13
Chattahoochee,766,2,10,7126.24
Chattooga,302,4,15,1219.41
Cherokee,3707,65,350,1390.38
Clarke,2150,19,140,1656.66
Clay,93,2,7,3257.44
Clayton,5245,114,540,1720.59
Clinch,204,4,16,3064.9
Cobb,14279,326,1427,1806.12
Coffee,1529,30,205,3552.34
Colquitt,1581,24,119,3482.92
Columbia,2443,27,130,1540.05
Cook,454,6,45,2603.66
Coweta,1568,22,101,1031.57
Crawford,107,0,15,875.04
Crisp,398,15,57,1785.63
Dade,136,2,9,841.48
Dawson,431,5,56,1595.06
DeKalb,14485,247,1657,1826.25
Decatur,834,16,67,3168.45
Dodge,243,3,17,1192.05
Dooly,261,14,47,1947.76
Dougherty,2774,172,573,3085.48
Douglas,2773,54,326,1825.47
Early,372,32,32,3666.47
Echols,225,2,8,5668.93
Effingham,770,5,49,1202.64
Elbert,369,1,19,1947.74
Emanuel,537,11,41,2369.4
Evans,282,3,17,2638.72
Fannin,354,4,32,1344.98
Fayette,1187,31,67,1009.83
Floyd,1648,18,111,1649.39
Forsyth,2416,26,229,956.81
Franklin,423,6,33,1813.19
Fulton,21140,455,1954,1923.25
Gilmer,651,4,59,2072.13
Glascock,24,1,4,793.39
Glynn,2625,53,196,3050.66
Gordon,1264,23,87,2177.47
Grady,522,7,69,2127.14
Greene,331,12,42,1768.45
Gwinnett,20685,275,2190,2129.96
Habersham,1173,50,170,2561.14
Hall,6298,104,761,3052.11
Hancock,328,35,47,4003.42
Haralson,231,7,20,751.9
Harris,668,17,72,1924.41
Hart,325,7,47,1244.88
Heard,148,5,9,1196.44
Henry,3513,54,156,1464.57
Houston,2048,62,278,1304.13
Irwin,172,1,26,1823.39
Jackson,1118,17,105,1496.65
Jasper,170,2,13,1197.27
Jeff Davis,485,8,26,3201.74
Jefferson,532,9,54,3474.17
Jenkins,251,24,47,2926.77
Johnson,252,12,44,2608.43
Jones,326,4,30,1140.22
Lamar,280,12,29,1447.25
Lanier,225,4,15,2173.7
Laurens,1064,17,91,2249.66
Lee,565,23,87,1885.16
Liberty,780,6,69,1260.02
Lincoln,153,4,22,1883.08
Long,132,1,8,662.82
Lowndes,3273,48,153,2776.6
Lumpkin,371,7,57,1097.57
Macon,181,10,39,1393.59
Madison,424,7,45,1405.04
Marion,156,5,15,1881.1
McDuffie,386,10,55,1787.29
McIntosh,194,3,13,1331.78
Meriwether,409,6,51,1945.77
Miller,149,0,8,2585.01
Mitchell,658,41,126,2983.32
Monroe,473,28,62,1705.92
Montgomery,157,2,16,1702.08
Morgan,295,0,18,1541.44
Murray,623,2,36,1547.4
Muscogee,4879,104,494,2546.11
Newton,1895,45,197,1686.63
Non-GA Resident/Unknown State,16470,96,447,0
Oconee,455,15,45,1090.16
Oglethorpe,236,7,31,1548.56
Paulding,1789,23,127,1036.85
Peach,402,15,70,1468.49
Pickens,420,5,41,1252.61
Pierce,420,9,46,2148.89
Pike,228,5,21,1208.91
Polk,877,11,41,2016.93
Pulaski,133,3,16,1220.97
Putnam,449,18,47,2051.63
Quitman,31,1,6,1351.35
Rabun,230,3,35,1354.06
Randolph,274,26,43,4056.86
Richmond,4672,95,415,2310.13
Rockdale,1395,23,178,1469.04
Schley,74,1,8,1402.84
Screven,216,9,30,1553.96
Seminole,220,4,20,2702.7
Spalding,983,41,130,1422.37
Stephens,663,13,78,2518.23
Stewart,256,7,51,4176.86
Sumter,784,56,176,2666.76
Talbot,142,3,20,2305.94
Taliaferro,13,0,1,796.57
Tattnall,546,2,39,2148.68
Taylor,94,2,14,1181.2
Telfair,302,12,28,1930.45
Terrell,306,30,67,3614.03
Thomas,1147,44,140,2581.53
Tift,1373,41,181,3362.72
Toombs,789,9,56,2924.06
Towns,154,1,19,1279.71
Treutlen,132,3,17,1932.93
Troup,2335,71,267,3316.1
Turner,257,18,40,3182.27
Twiggs,124,4,30,1533.51
Union,298,7,46,1176.24
Unknown,2730,8,80,0
Upson,574,46,61,2184.42
Walker,742,17,39,1065.94
Walton,1188,39,130,1239.9
Ware,1178,29,113,3285.64
Warren,87,1,21,1669.87
Washington,497,2,34,2448.03
Wayne,825,11,63,2752.39
Webster,40,2,8,1568.63
Wheeler,97,1,5,1226.45
White,370,6,60,1165.06
Whitfield,3621,32,182,3459.38
Wilcox,188,19,41,2138.79
Wilkes,195,3,22,1947.27
Wilkinson,221,11,41,2477.86
Worth,457,23,77,2268.89
