county_resident,positive,deaths,hospitalization,case_rate
Appling,1015,26,89,5468.46
Atkinson,438,3,56,5258.1
Bacon,596,13,45,5226.24
Baker,79,4,18,2535.3
Baldwin,2078,56,156,4677.23
Banks,473,7,66,2367.13
Barrow,2124,46,237,2458.82
Bartow,2835,84,286,2559.33
Ben Hill,751,21,79,4511.87
Berrien,442,12,21,2293.01
Bibb,5995,159,832,3940.19
Bleckley,426,19,26,3318.27
Brantley,343,10,33,1786.27
Brooks,515,27,55,3274.62
Bryan,1126,11,76,2877.07
Bulloch,2836,27,131,3568.78
Burke,781,10,85,3495.66
Butts,631,42,52,2506.55
Calhoun,236,8,46,3735.95
Camden,1250,8,50,2318.08
Candler,444,18,29,4097.07
Carroll,2682,64,151,2232.79
Catoosa,1139,18,75,1656.22
Charlton,622,6,25,4693.99
Chatham,8277,149,749,2832.88
Chattahoochee,1628,1,13,15145.59
Chattooga,739,17,51,2983.93
Cherokee,5868,91,476,2200.91
Clarke,4939,42,213,3805.7
Clay,120,2,9,4203.15
Clayton,7086,159,649,2324.51
Clinch,370,6,28,5558.89
Cobb,19283,422,1731,2439.07
Coffee,2009,43,293,4667.53
Colquitt,1877,33,153,4135
Columbia,3661,59,178,2307.87
Cook,544,13,61,3119.8
Coweta,2546,43,124,1674.99
Crawford,166,5,25,1357.54
Crisp,539,17,71,2418.23
Dade,278,5,20,1720.08
Dawson,797,7,74,2949.56
DeKalb,18302,353,2057,2307.5
Decatur,1122,29,86,4262.59
Dodge,415,12,38,2035.81
Dooly,334,14,52,2492.54
Dougherty,3128,185,640,3479.23
Douglas,3485,71,401,2294.18
Early,477,32,36,4701.36
Echols,239,2,9,6021.67
Effingham,1403,23,92,2191.3
Elbert,624,3,38,3293.75
Emanuel,1015,30,75,4478.47
Evans,419,6,35,3920.65
Fannin,618,20,45,2348.02
Fayette,1763,49,101,1499.86
Floyd,3069,44,229,3071.58
Forsyth,3832,45,307,1517.58
Franklin,735,11,56,3150.59
Fulton,27247,568,2366,2478.85
Gilmer,801,11,77,2549.58
Glascock,38,2,4,1256.2
Glynn,3428,94,277,3983.87
Gordon,1812,36,112,3121.5
Grady,754,22,91,3072.53
Greene,498,23,55,2660.68
Gwinnett,26931,398,2639,2773.12
Habersham,1585,67,214,3460.7
Hall,8949,148,938,4336.83
Hancock,387,42,63,4723.54
Haralson,454,8,26,1477.77
Harris,782,21,87,2252.82
Hart,492,13,64,1884.55
Heard,189,5,14,1527.89
Henry,5073,100,204,2114.93
Houston,3083,80,370,1963.21
Irwin,288,4,35,3053.11
Jackson,1914,31,155,2562.25
Jasper,211,4,20,1486.02
Jeff Davis,708,19,46,4673.88
Jefferson,777,25,75,5074.12
Jenkins,403,29,63,4699.16
Johnson,414,22,56,4285.27
Jones,538,8,46,1881.71
Lamar,354,18,38,1829.74
Lanier,296,5,15,2859.63
Laurens,1609,64,136,3401.98
Lee,690,25,102,2302.23
Liberty,1091,22,109,1762.41
Lincoln,213,7,24,2621.54
Long,235,3,19,1180.02
Lowndes,3848,78,196,3264.39
Lumpkin,894,14,88,2644.81
Macon,228,10,46,1755.47
Madison,678,8,56,2246.74
Marion,189,8,20,2279.03
McDuffie,582,14,67,2694.82
McIntosh,286,7,29,1963.34
Meriwether,537,13,68,2554.71
Miller,246,1,10,4267.87
Mitchell,780,45,145,3536.45
Monroe,666,50,81,2401.99
Montgomery,293,5,21,3176.5
Morgan,476,2,35,2487.2
Murray,804,5,51,1996.97
Muscogee,5920,167,657,3089.35
Newton,2552,85,263,2271.39
Non-GA Resident/Unknown State,16881,153,624,0
Oconee,725,26,62,1737.07
Oglethorpe,324,11,44,2125.98
Paulding,2739,50,140,1587.44
Peach,662,23,102,2418.26
Pickens,611,10,56,1822.25
Pierce,595,17,77,3044.26
Pike,316,9,27,1675.5
Polk,1429,17,98,3286.42
Pulaski,311,22,37,2855.04
Putnam,678,23,69,3098.01
Quitman,32,1,6,1394.94
Rabun,327,9,43,1925.11
Randolph,331,28,55,4900.8
Richmond,6956,159,555,3439.48
Rockdale,1828,36,217,1925.02
Schley,104,2,15,1971.56
Screven,400,10,41,2877.7
Seminole,347,9,23,4262.9
Spalding,1305,59,187,1888.29
Stephens,1030,36,106,3912.18
Stewart,478,14,80,7798.99
Sumter,927,62,197,3153.17
Talbot,162,5,22,2630.72
Taliaferro,21,0,2,1286.76
Tattnall,804,10,59,3163.98
Taylor,207,10,31,2601.16
Telfair,383,18,40,2448.22
Terrell,327,31,74,3862.05
Thomas,1468,62,164,3304
Tift,1735,56,222,4249.33
Toombs,1284,44,99,4758.55
Towns,319,9,37,2650.82
Treutlen,250,8,26,3660.86
Troup,2776,95,306,3942.4
Turner,294,22,48,3640.42
Twiggs,186,7,44,2300.27
Union,701,18,76,2766.92
Unknown,2263,6,61,0
Upson,764,61,78,2907.49
Walker,1496,31,77,2149.12
Walton,1758,53,177,1834.8
Ware,1475,56,172,4114.02
Warren,140,5,23,2687.14
Washington,657,8,47,3236.13
Wayne,1100,28,103,3669.85
Webster,43,2,10,1686.27
Wheeler,326,11,19,4121.89
White,761,19,98,2396.25
Whitfield,4491,61,236,4290.55
Wilcox,247,20,52,2810.01
Wilkes,261,5,29,2606.35
Wilkinson,333,18,60,3733.6
Worth,523,30,89,2596.56
