"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1163","US-13001","13","1","18561","103","37","6265.83","199.34","242.44","45"
"Atkinson","483","US-13003","13","3","8330","62","6","5798.32","72.03","156.06","13"
"Bacon","637","US-13005","13","5","11404","48","16","5585.76","140.3","105.23","12"
"Baker","91","US-13007","13","7","3116","20","6","2920.41","192.55","160.46","5"
"Baldwin","2315","US-13009","13","9","44428","175","64","5210.68","144.05","193.57","86"
"Banks","555","US-13011","13","11","19982","73","8","2777.5","40.04","115.1","23"
"Barrow","2616","US-13013","13","13","86383","270","51","3028.37","59.04","217.64","188"
"Bartow","3637","US-13015","13","15","110771","331","94","3283.35","84.86","344.86","382"
"Ben Hill","871","US-13017","13","17","16645","91","33","5232.8","198.26","210.27","35"
"Berrien","493","US-13019","13","19","19276","25","13","2557.58","67.44","108.94","21"
"Bibb","6618","US-13021","13","21","152150","911","197","4349.65","129.48","165.63","252"
"Bleckley","514","US-13023","13","23","12838","35","27","4003.74","210.31","358.31","46"
"Brantley","462","US-13025","13","25","19202","39","13","2406","67.7","416.62","80"
"Brooks","554","US-13027","13","27","15727","55","27","3522.6","171.68","101.74","16"
"Bryan","1318","US-13029","13","29","39137","93","16","3367.66","40.88","245.29","96"
"Bulloch","3093","US-13031","13","31","79467","144","33","3892.18","41.53","142.2","113"
"Burke","893","US-13033","13","33","22342","91","12","3996.96","53.71","138.75","31"
"Butts","743","US-13035","13","35","25174","56","44","2951.46","174.78","119.17","30"
"Calhoun","270","US-13037","13","37","6317","48","9","4274.18","142.47","174.13","11"
"Camden","1423","US-13039","13","39","53924","71","18","2638.9","33.38","116.83","63"
"Candler","546","US-13043","13","43","10837","39","25","5038.29","230.69","341.42","37"
"Carroll","3341","US-13045","13","45","120119","184","76","2781.41","63.27","209.79","252"
"Catoosa","1444","US-13047","13","47","68771","84","22","2099.72","31.99","194.85","134"
"Charlton","647","US-13049","13","49","13251","28","10","4882.65","75.47","37.73","5"
