"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","189838","3831","16153"
"Male","Georgia","163839","4142","15345"
"Unknown","Georgia","7113","6","201"
"Female","Appling","639","12","51"
"Male","Appling","526","26","52"
"Unknown","Appling","14","0","0"
"Female","Atkinson","258","4","31"
"Male","Atkinson","227","2","32"
"Unknown","Atkinson","1","0","0"
"Female","Bacon","326","6","19"
"Male","Bacon","302","10","28"
"Unknown","Bacon","10","0","1"
"Female","Baker","45","2","8"
"Male","Baker","47","4","12"
"Female","Baldwin","1277","15","72"
"Male","Baldwin","1032","50","102"
"Unknown","Baldwin","22","0","0"
"Female","Banks","323","3","40"
"Male","Banks","244","5","34"
"Unknown","Banks","6","0","0"
"Female","Barrow","1456","30","149"
"Male","Barrow","1185","21","122"
"Unknown","Barrow","21","0","1"
"Female","Bartow","1950","45","150"
"Male","Bartow","1712","51","185"
"Unknown","Bartow","52","0","3"
"Female","Ben Hill","529","13","50"
"Male","Ben Hill","354","21","42"
"Unknown","Ben Hill","1","0","0"
"Female","Berrien","278","8","15"
"Male","Berrien","216","6","11"
"Unknown","Berrien","8","0","0"
"Female","Bibb","3790","109","489"
"Male","Bibb","2836","91","419"
"Unknown","Bibb","66","0","1"
"Female","Bleckley","310","15","17"
"Male","Bleckley","201","11","18"
"Unknown","Bleckley","9","1","0"
"Female","Brantley","261","7","24"
"Male","Brantley","210","6","17"
"Unknown","Brantley","2","0","0"
"Female","Brooks","301","6","27"
"Male","Brooks","239","20","27"
"Unknown","Brooks","13","0","0"
"Female","Bryan","699","7","43"
"Male","Bryan","594","9","52"
"Unknown","Bryan","20","0","0"
"Female","Bulloch","1766","21","83"
"Male","Bulloch","1299","12","62"
"Unknown","Bulloch","41","0","0"
"Female","Burke","489","7","48"
"Male","Burke","405","5","42"
"Unknown","Burke","5","0","1"
"Female","Butts","347","20","24"
"Male","Butts","360","24","31"
"Unknown","Butts","40","0","3"
"Female","Calhoun","140","8","22"
"Male","Calhoun","136","2","27"
"Unknown","Calhoun","1","0","0"
"Female","Camden","758","8","38"
"Male","Camden","685","10","32"
"Unknown","Camden","12","0","0"
"Female","Candler","300","9","18"
"Male","Candler","245","16","22"
"Unknown","Candler","2","0","0"
"Female","Carroll","1781","37","89"
"Male","Carroll","1600","40","94"
"Unknown","Carroll","36","0","2"
"Female","Catoosa","786","14","56"
"Male","Catoosa","663","9","29"
"Unknown","Catoosa","39","0","0"
"Female","Charlton","223","4","13"
"Male","Charlton","420","6","15"
"Unknown","Charlton","5","0","0"
"Female","Chatham","5248","87","446"
"Male","Chatham","4124","104","393"
"Unknown","Chatham","158","0","3"
"Female","Chattahoochee","113","1","5"
"Male","Chattahoochee","1685","0","9"
"Unknown","Chattahoochee","6","0","0"
"Female","Chattooga","525","12","23"
"Male","Chattooga","433","17","40"
"Unknown","Chattooga","16","0","2"
"Female","Cherokee","3821","50","262"
"Male","Cherokee","3401","52","273"
"Unknown","Cherokee","96","0","3"
"Female","Clarke","3211","20","123"
"Male","Clarke","2590","30","125"
"Unknown","Clarke","47","0","2"
"Female","Clay","75","1","3"
"Male","Clay","46","2","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","4667","94","375"
"Male","Clayton","3633","85","326"
"Unknown","Clayton","117","0","4"
"Female","Clinch","233","2","14"
"Male","Clinch","221","11","18"
"Unknown","Clinch","4","0","0"
"Female","Cobb","11796","223","1005"
"Male","Cobb","10339","236","984"
"Unknown","Cobb","207","0","6"
"Female","Coffee","1176","30","186"
"Male","Coffee","1108","34","153"
"Unknown","Coffee","19","0","0"
"Female","Colquitt","1081","17","88"
"Male","Colquitt","1053","23","82"
"Unknown","Colquitt","8","0","0"
"Female","Columbia","2331","32","93"
"Male","Columbia","2123","34","109"
"Unknown","Columbia","23","0","2"
"Female","Cook","343","6","34"
"Male","Cook","261","10","27"
"Unknown","Cook","5","0","0"
"Female","Coweta","1612","29","76"
"Male","Coweta","1387","34","76"
"Unknown","Coweta","14","0","0"
"Female","Crawford","109","4","19"
"Male","Crawford","78","2","7"
"Unknown","Crawford","9","0","3"
"Female","Crisp","358","7","49"
"Male","Crisp","295","16","38"
"Unknown","Crisp","7","0","0"
"Female","Dade","192","5","11"
"Male","Dade","174","1","12"
"Unknown","Dade","8","0","0"
"Female","Dawson","458","2","35"
"Male","Dawson","457","9","51"
"Unknown","Dawson","11","0","0"
"Female","DeKalb","11492","180","1239"
"Male","DeKalb","9706","223","1123"
"Unknown","DeKalb","389","0","11"
"Female","Decatur","696","19","54"
"Male","Decatur","597","16","46"
"Unknown","Decatur","17","0","0"
"Female","Dodge","354","11","31"
"Male","Dodge","266","8","26"
"Unknown","Dodge","20","0","0"
"Female","Dooly","193","8","29"
"Male","Dooly","184","10","29"
"Unknown","Dooly","2","0","0"
"Female","Dougherty","2002","107","409"
"Male","Dougherty","1279","84","265"
"Unknown","Dougherty","31","0","0"
"Female","Douglas","2318","32","249"
"Male","Douglas","1834","41","218"
"Unknown","Douglas","45","0","2"
"Female","Early","346","20","27"
"Male","Early","206","15","17"
"Unknown","Early","6","0","0"
"Female","Echols","79","0","2"
"Male","Echols","165","2","7"
"Unknown","Echols","2","0","0"
"Female","Effingham","966","14","60"
"Male","Effingham","875","15","59"
"Unknown","Effingham","19","0","0"
"Female","Elbert","449","5","39"
"Male","Elbert","313","5","20"
"Unknown","Elbert","5","0","0"
"Female","Emanuel","711","26","56"
"Male","Emanuel","494","13","32"
"Unknown","Emanuel","6","0","0"
"Female","Evans","265","3","33"
"Male","Evans","200","4","12"
"Unknown","Evans","22","0","1"
"Female","Fannin","462","15","35"
"Male","Fannin","374","12","39"
"Unknown","Fannin","4","0","0"
"Female","Fayette","1157","25","62"
"Male","Fayette","994","32","73"
"Unknown","Fayette","21","0","0"
"Female","Floyd","2160","27","142"
"Male","Floyd","1891","34","171"
"Unknown","Floyd","52","0","9"
"Female","Forsyth","2479","20","158"
"Male","Forsyth","2341","34","217"
"Unknown","Forsyth","68","0","0"
"Female","Franklin","560","6","43"
"Male","Franklin","389","12","25"
"Unknown","Franklin","10","0","0"
"Female","Fulton","16098","296","1306"
"Male","Fulton","14744","332","1321"
"Unknown","Fulton","813","0","8"
"Female","Gilmer","582","9","54"
"Male","Gilmer","440","13","38"
"Unknown","Gilmer","40","0","2"
"Female","Glascock","27","1","2"
"Male","Glascock","23","1","2"
"Unknown","Glascock","1","0","0"
"Female","Glynn","2028","50","170"
"Male","Glynn","1742","54","151"
"Unknown","Glynn","16","0","2"
"Female","Gordon","1287","23","69"
"Male","Gordon","1138","24","67"
"Unknown","Gordon","26","0","1"
"Female","Grady","471","9","49"
"Male","Grady","375","16","51"
"Unknown","Grady","25","0","0"
"Female","Greene","321","13","33"
"Male","Greene","258","12","28"
"Unknown","Greene","3","0","0"
"Female","Gwinnett","16111","222","1519"
"Male","Gwinnett","14235","228","1379"
"Unknown","Gwinnett","756","0","14"
"Female","Habersham","1010","47","111"
"Male","Habersham","863","31","131"
"Unknown","Habersham","33","0","0"
"Female","Hall","5586","87","528"
"Male","Hall","5051","92","578"
"Unknown","Hall","200","0","4"
"Female","Hancock","253","19","34"
"Male","Hancock","163","25","32"
"Unknown","Hancock","1","0","0"
"Female","Haralson","344","4","20"
"Male","Haralson","310","7","14"
"Unknown","Haralson","18","0","0"
"Female","Harris","465","14","46"
"Male","Harris","383","11","47"
"Unknown","Harris","7","0","0"
"Female","Hart","343","8","39"
"Male","Hart","248","9","33"
"Unknown","Hart","9","0","0"
"Female","Heard","135","6","6"
"Male","Heard","105","0","10"
"Female","Henry","3582","54","163"
"Male","Henry","2727","60","131"
"Unknown","Henry","50","0","0"
"Female","Houston","2034","36","211"
"Male","Houston","1664","59","180"
"Unknown","Houston","25","0","2"
"Female","Irwin","183","6","18"
"Male","Irwin","174","2","23"
"Unknown","Irwin","3","0","0"
"Female","Jackson","1328","23","91"
"Male","Jackson","1105","19","117"
"Unknown","Jackson","24","0","0"
"Female","Jasper","142","2","8"
"Male","Jasper","105","2","12"
"Unknown","Jasper","2","0","0"
"Female","Jeff Davis","431","10","26"
"Male","Jeff Davis","376","13","37"
"Unknown","Jeff Davis","2","0","0"
"Female","Jefferson","495","17","49"
"Male","Jefferson","355","16","35"
"Unknown","Jefferson","8","0","1"
"Female","Jenkins","288","13","29"
"Male","Jenkins","183","19","36"
"Unknown","Jenkins","1","0","0"
"Female","Johnson","237","11","32"
"Male","Johnson","204","12","28"
"Female","Jones","396","7","30"
"Male","Jones","255","10","24"
"Unknown","Jones","3","0","0"
"Female","Lamar","241","11","21"
"Male","Lamar","187","9","24"
"Unknown","Lamar","2","0","0"
"Female","Lanier","125","2","3"
"Male","Lanier","188","5","13"
"Unknown","Lanier","7","0","0"
"Female","Laurens","1174","38","86"
"Male","Laurens","831","51","89"
"Unknown","Laurens","26","0","1"
"Female","Lee","406","15","52"
"Male","Lee","345","15","58"
"Unknown","Lee","4","0","0"
"Female","Liberty","696","8","58"
"Male","Liberty","574","17","62"
"Unknown","Liberty","20","0","0"
"Female","Lincoln","139","4","18"
"Male","Lincoln","97","3","10"
"Unknown","Lincoln","1","0","0"
"Female","Long","139","1","9"
"Male","Long","139","3","9"
"Female","Lowndes","2435","46","121"
"Male","Lowndes","2037","41","99"
"Unknown","Lowndes","50","0","0"
"Female","Lumpkin","559","9","53"
"Male","Lumpkin","495","6","48"
"Unknown","Lumpkin","9","0","0"
"Female","Macon","137","2","20"
"Male","Macon","117","8","29"
"Unknown","Macon","1","0","1"
"Female","Madison","421","6","32"
"Male","Madison","382","5","34"
"Unknown","Madison","9","0","0"
"Female","Marion","120","6","13"
"Male","Marion","83","3","10"
"Unknown","Marion","2","0","0"
"Female","McDuffie","398","8","38"
"Male","McDuffie","294","8","39"
"Unknown","McDuffie","6","0","0"
"Female","McIntosh","172","8","17"
"Male","McIntosh","142","0","15"
"Unknown","McIntosh","2","0","0"
"Female","Meriwether","367","11","48"
"Male","Meriwether","228","5","32"
"Unknown","Meriwether","4","0","0"
"Female","Miller","179","1","7"
"Male","Miller","135","1","7"
"Unknown","Miller","2","0","0"
"Female","Mitchell","413","22","77"
"Male","Mitchell","433","24","77"
"Unknown","Mitchell","3","0","0"
"Female","Monroe","402","31","40"
"Male","Monroe","350","24","45"
"Unknown","Monroe","19","0","0"
"Female","Montgomery","193","6","15"
"Male","Montgomery","183","4","12"
"Unknown","Montgomery","1","0","0"
"Female","Morgan","294","2","23"
"Male","Morgan","241","4","19"
"Unknown","Morgan","4","0","0"
"Female","Murray","583","1","35"
"Male","Murray","502","8","30"
"Unknown","Murray","8","0","1"
"Female","Muscogee","3636","93","373"
"Male","Muscogee","2751","82","324"
"Unknown","Muscogee","27","0","1"
"Female","Newton","1631","51","167"
"Male","Newton","1231","45","135"
"Unknown","Newton","56","0","1"
"Female","Non-GA Resident/Unknown State","6085","83","278"
"Male","Non-GA Resident/Unknown State","7050","104","352"
"Unknown","Non-GA Resident/Unknown State","1858","2","42"
"Female","Oconee","457","17","41"
"Male","Oconee","411","14","32"
"Unknown","Oconee","3","0","0"
"Female","Oglethorpe","250","2","24"
"Male","Oglethorpe","177","11","24"
"Unknown","Oglethorpe","3","0","0"
"Female","Paulding","1676","22","74"
"Male","Paulding","1446","39","72"
"Unknown","Paulding","123","0","10"
"Female","Peach","480","16","71"
"Male","Peach","320","10","37"
"Unknown","Peach","2","0","0"
"Female","Pickens","434","4","35"
"Male","Pickens","369","6","34"
"Unknown","Pickens","13","0","0"
"Female","Pierce","380","13","44"
"Male","Pierce","304","11","40"
"Unknown","Pierce","4","0","0"
"Female","Pike","214","4","22"
"Male","Pike","177","7","10"
"Unknown","Pike","4","0","1"
"Female","Polk","906","13","72"
"Male","Polk","810","16","65"
"Unknown","Polk","32","0","2"
"Female","Pulaski","226","14","24"
"Male","Pulaski","116","9","18"
"Unknown","Pulaski","1","0","0"
"Female","Putnam","420","12","34"
"Male","Putnam","393","15","36"
"Unknown","Putnam","4","0","0"
"Female","Quitman","29","0","4"
"Male","Quitman","11","1","2"
"Unknown","Quitman","2","0","1"
"Female","Rabun","215","7","35"
"Male","Rabun","213","4","20"
"Unknown","Rabun","7","0","0"
"Female","Randolph","200","19","31"
"Male","Randolph","139","10","25"
"Unknown","Randolph","1","0","0"
"Female","Richmond","4387","68","299"
"Male","Richmond","3637","117","318"
"Unknown","Richmond","91","0","17"
"Female","Rockdale","1178","20","151"
"Male","Rockdale","943","21","129"
"Unknown","Rockdale","48","0","2"
"Female","Schley","55","0","9"
"Male","Schley","54","2","7"
"Female","Screven","261","8","26"
"Male","Screven","187","3","21"
"Unknown","Screven","4","0","0"
"Female","Seminole","222","7","19"
"Male","Seminole","171","4","12"
"Unknown","Seminole","3","0","0"
"Female","Spalding","956","37","126"
"Male","Spalding","665","26","79"
"Unknown","Spalding","8","0","4"
"Female","Stephens","741","27","70"
"Male","Stephens","543","15","61"
"Unknown","Stephens","9","0","0"
"Female","Stewart","123","7","17"
"Male","Stewart","446","9","64"
"Unknown","Stewart","2","0","0"
"Female","Sumter","565","25","108"
"Male","Sumter","399","43","97"
"Unknown","Sumter","3","0","1"
"Female","Talbot","109","4","14"
"Male","Talbot","67","4","12"
"Female","Taliaferro","19","0","1"
"Male","Taliaferro","12","0","1"
"Female","Tattnall","458","9","34"
"Male","Tattnall","483","7","36"
"Unknown","Tattnall","13","0","0"
"Female","Taylor","140","7","20"
"Male","Taylor","95","5","12"
"Unknown","Taylor","2","0","1"
"Female","Telfair","234","12","17"
"Male","Telfair","248","12","27"
"Unknown","Telfair","22","0","0"
"Female","Terrell","205","15","37"
"Male","Terrell","131","17","37"
"Unknown","Terrell","5","0","0"
"Female","Thomas","927","40","88"
"Male","Thomas","684","31","88"
"Unknown","Thomas","8","0","0"
"Female","Tift","1063","31","151"
"Male","Tift","875","34","91"
"Unknown","Tift","43","0","2"
"Female","Toombs","828","34","57"
"Male","Toombs","679","23","60"
"Unknown","Toombs","11","0","0"
"Female","Towns","260","9","34"
"Male","Towns","190","4","24"
"Unknown","Towns","5","0","0"
"Female","Treutlen","188","6","16"
"Male","Treutlen","124","6","17"
"Unknown","Treutlen","5","0","0"
"Female","Troup","1706","64","186"
"Male","Troup","1257","44","152"
"Unknown","Troup","105","1","2"
"Female","Turner","206","9","25"
"Male","Turner","121","15","26"
"Unknown","Turner","11","0","0"
"Female","Twiggs","122","2","23"
"Male","Twiggs","99","8","28"
"Unknown","Twiggs","1","0","0"
"Female","Union","546","15","43"
"Male","Union","357","11","53"
"Unknown","Union","8","0","1"
"Female","Unknown","796","2","14"
"Male","Unknown","842","2","17"
"Unknown","Unknown","233","2","7"
"Female","Upson","481","42","56"
"Male","Upson","358","29","42"
"Unknown","Upson","5","0","0"
"Female","Walker","1030","24","43"
"Male","Walker","882","22","55"
"Unknown","Walker","29","0","0"
"Female","Walton","1362","32","105"
"Male","Walton","998","38","125"
"Unknown","Walton","28","0","1"
"Female","Ware","925","30","88"
"Male","Ware","814","35","104"
"Unknown","Ware","25","0","3"
"Female","Warren","94","2","21"
"Male","Warren","73","4","7"
"Unknown","Warren","2","0","0"
"Female","Washington","444","4","27"
"Male","Washington","344","9","22"
"Unknown","Washington","4","0","0"
"Female","Wayne","619","16","59"
"Male","Wayne","632","17","58"
"Unknown","Wayne","11","0","1"
"Female","Webster","27","1","6"
"Male","Webster","17","1","4"
"Female","Wheeler","107","0","2"
"Male","Wheeler","242","17","21"
"Unknown","Wheeler","21","0","0"
"Female","White","546","12","50"
"Male","White","454","12","56"
"Unknown","White","21","0","1"
"Female","Whitfield","2975","26","136"
"Male","Whitfield","2639","38","145"
