"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2069","13"
"Hispanic/Latino","American Indian/Alaska Native","103","0"
"Hispanic/Latino","Asian","204","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","153","0"
"Hispanic/Latino","Other","25052","226"
"Hispanic/Latino","Unknown","11768","6"
"Hispanic/Latino","White","33630","403"
"Non-Hispanic/Latino","African-American/Black","153293","3970"
"Non-Hispanic/Latino","American Indian/Alaska Native","293","9"
"Non-Hispanic/Latino","Asian","10989","196"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","473","6"
"Non-Hispanic/Latino","Other","7767","30"
"Non-Hispanic/Latino","Unknown","6899","38"
"Non-Hispanic/Latino","White","223803","6084"
"Unknown","African-American/Black","22383","31"
"Unknown","American Indian/Alaska Native","125","0"
"Unknown","Asian","2803","1"
"Unknown","Native Hawaiian/Pacific Islander","148","0"
"Unknown","Other","19607","16"
"Unknown","Unknown","128666","35"
"Unknown","White","34535","31"
