"county","report_date","ALL PCR tests performed","Running total of all PCR tests","All PCR positive tests","Running total of all PCR tests","7 day percent positive","14 day percent positive"
"Georgia","2020-02-01","0","0","0","0",".","."
"Georgia","2020-02-02","0","0","0","0",".","."
"Georgia","2020-02-03","0","0","0","0",".","."
"Georgia","2020-02-04","0","0","0","0",".","."
"Georgia","2020-02-05","0","0","0","0",".","."
"Georgia","2020-02-06","0","0","0","0",".","."
"Georgia","2020-02-07","0","0","0","0","0","."
"Georgia","2020-02-08","0","0","0","0","0","."
"Georgia","2020-02-09","0","0","0","0","0","."
"Georgia","2020-02-10","0","0","0","0","0","."
"Georgia","2020-02-11","0","0","0","0","0","."
"Georgia","2020-02-12","0","0","0","0","0","."
"Georgia","2020-02-13","0","0","0","0","0","."
"Georgia","2020-02-14","0","0","0","0","0","0"
"Georgia","2020-02-15","0","0","0","0","0","0"
"Georgia","2020-02-16","0","0","0","0","0","0"
"Georgia","2020-02-17","0","0","0","0","0","0"
"Georgia","2020-02-18","0","0","0","0","0","0"
"Georgia","2020-02-19","0","0","0","0","0","0"
"Georgia","2020-02-20","0","0","0","0","0","0"
"Georgia","2020-02-21","0","0","0","0","0","0"
"Georgia","2020-02-22","0","0","0","0","0","0"
"Georgia","2020-02-23","0","0","0","0","0","0"
"Georgia","2020-02-24","0","0","0","0","0","0"
"Georgia","2020-02-25","0","0","0","0","0","0"
"Georgia","2020-02-26","0","0","0","0","0","0"
"Georgia","2020-02-27","0","0","0","0","0","0"
"Georgia","2020-02-28","0","0","0","0","0","0"
"Georgia","2020-02-29","0","0","0","0","0","0"
"Georgia","2020-03-01","0","0","0","0","0","0"
"Georgia","2020-03-02","0","0","0","0","0","0"
"Georgia","2020-03-03","0","0","0","0","0","0"
"Georgia","2020-03-04","0","0","0","0","0","0"
"Georgia","2020-03-05","0","0","0","0","0","0"
"Georgia","2020-03-06","0","0","0","0","0","0"
"Georgia","2020-03-07","0","0","0","0","0","0"
"Georgia","2020-03-08","0","0","0","0","0","0"
"Georgia","2020-03-09","6","6","1","1","2.4","1.2"
"Georgia","2020-03-10","23","29","1","2","3","1.5"
"Georgia","2020-03-11","15","44","2","4","4.9","2.5"
"Georgia","2020-03-12","37","81","3","7","6.1","3"
"Georgia","2020-03-13","255","336","25","32","7.5","3.7"
"Georgia","2020-03-14","130","466","9","41","8.5","4.2"
"Georgia","2020-03-15","241","707","27","68","10.1","5"
"Georgia","2020-03-16","252","959","32","100","9.5","5.9"
"Georgia","2020-03-17","541","1500","85","185","11.1","7.1"
