"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","120323","4582"
"Any Chronic Condition","Male","95723","5281"
"Any Chronic Condition","Total","216505","9865"
"Any Chronic Condition","Unknown","459","2"
"Any Disability","Female","8758","1267"
"Any Disability","Male","6691","1148"
"Any Disability","Total","15478","2416"
"Any Disability","Unknown","29","1"
"Cardiovascular Disease","Female","25728","2550"
"Cardiovascular Disease","Male","23435","3045"
"Cardiovascular Disease","Total","49232","5596"
"Cardiovascular Disease","Unknown","69","1"
"Chronic Liver Disease","Female","1357","129"
"Chronic Liver Disease","Male","1174","182"
"Chronic Liver Disease","Total","2537","311"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","31602","1288"
"Chronic Lung Disease","Male","20067","1333"
"Chronic Lung Disease","Total","51774","2621"
"Chronic Lung Disease","Unknown","105","0"
"Chronic Renal Disease","Female","5417","1042"
"Chronic Renal Disease","Male","5330","1302"
"Chronic Renal Disease","Total","10765","2344"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5149","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5155","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","28953","1874"
"Diabetes Mellitus","Male","25066","2356"
"Diabetes Mellitus","Total","54107","4231"
"Diabetes Mellitus","Unknown","88","1"
"Hypertension/High blood pressure","Female","18120","744"
"Hypertension/High blood pressure","Male","14256","831"
"Hypertension/High blood pressure","Total","32463","1575"
"Hypertension/High blood pressure","Unknown","87","0"
"ICU","Female","4625","1876"
"ICU","Male","5904","2526"
"ICU","Total","10543","4403"
"ICU","Unknown","14","1"
"Immunocompromised Condition","Female","10775","591"
"Immunocompromised Condition","Male","6308","685"
"Immunocompromised Condition","Total","17112","1276"
"Immunocompromised Condition","Unknown","29","0"
"Missing/Unknown status on all conditions","Female","201909","848"
"Missing/Unknown status on all conditions","Male","185834","1028"
"Missing/Unknown status on all conditions","Total","395642","1878"
"Missing/Unknown status on all conditions","Unknown","7899","2"
"None of the above conditions","Female","264765","6914"
"None of the above conditions","Male","214787","7807"
"None of the above conditions","Total","480989","14723"
"None of the above conditions","Unknown","1437","2"
"Obesity (BMI>40)","Female","6339","165"
"Obesity (BMI>40)","Male","3439","153"
"Obesity (BMI>40)","Total","9793","318"
"Obesity (BMI>40)","Unknown","15","0"
"Other Chronic Diseases","Female","34309","2097"
"Other Chronic Diseases","Male","22611","2142"
"Other Chronic Diseases","Total","57037","4239"
"Other Chronic Diseases","Unknown","117","0"
"Smoker","Female","27408","679"
"Smoker","Male","33846","1310"
"Smoker","Total","61358","1989"
"Smoker","Unknown","104","0"
"Total with completed information","Female","274991","7605"
"Total with completed information","Male","223779","8582"
"Total with completed information","Total","500252","16190"
"Total with completed information","Unknown","1482","3"
