"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","2752","US-13001","13","1","18561","224","81","14826.79","436.4","657.29","122","580","6"
"Atkinson","1129","US-13003","13","3","8330","164","23","13553.42","276.11","384.15","32","377","3"
"Bacon","1839","US-13005","13","5","11404","136","41","16125.92","359.52","596.28","68","534","10"
"Baker","236","US-13007","13","7","3116","41","13","7573.81","417.2","160.46","5","123","0"
"Baldwin","5141","US-13009","13","9","44428","371","147","11571.53","330.87","297.11","132","1348","19"
"Banks","2299","US-13011","13","11","19982","259","51","11505.35","255.23","635.57","127","303","3"
"Barrow","12365","US-13013","13","13","86383","806","171","14314.16","197.96","761.72","658","1617","5"
"Bartow","14840","US-13015","13","15","110771","966","281","13397.01","253.68","599.43","664","4745","28"
"Ben Hill","1827","US-13017","13","17","16645","175","66","10976.27","396.52","114.15","19","1298","27"
"Berrien","1492","US-13019","13","19","19276","85","43","7740.2","223.08","207.51","40","1896","14"
"Bibb","19606","US-13021","13","21","152150","2147","507","12885.97","333.22","416.69","634","4940","53"
"Bleckley","1075","US-13023","13","23","12838","57","35","8373.58","272.63","272.63","35","1162","28"
"Brantley","1893","US-13025","13","25","19202","145","60","9858.35","312.47","427.04","82","1138","11"
"Brooks","1358","US-13027","13","27","15727","111","46","8634.83","292.49","216.19","34","1006","15"
"Bryan","4472","US-13029","13","29","39137","283","52","11426.53","132.87","406.27","159","1597","5"
"Bulloch","7808","US-13031","13","31","79467","264","87","9825.46","109.48","168.62","134","3039","84"
"Burke","2249","US-13033","13","33","22342","190","44","10066.24","196.94","277.5","62","1388","28"
"Butts","3212","US-13035","13","35","25174","173","88","12759.2","349.57","472.71","119","1241","8"
"Calhoun","607","US-13037","13","37","6317","89","21","9608.99","332.44","284.95","18","215","0"
"Camden","5704","US-13039","13","39","53924","206","71","10577.85","131.67","484.01","261","1818","14"
"Candler","1098","US-13043","13","43","10837","82","46","10131.96","424.47","369.11","40","436","32"
"Carroll","9728","US-13045","13","45","120119","375","143","8098.64","119.05","335.5","403","6196","135"
"Catoosa","7933","US-13047","13","47","68771","286","81","11535.39","117.78","517.66","356","1041","9"
