"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","688152","12027","46044"
"Male","Georgia","592824","13783","43857"
"Unknown","Georgia","9802","14","194"
"Female","Appling","1536","45","126"
"Male","Appling","1255","52","118"
"Unknown","Appling","18","0","0"
"Female","Atkinson","646","12","91"
"Male","Atkinson","541","20","91"
"Unknown","Atkinson","7","0","0"
"Female","Bacon","874","21","72"
"Male","Bacon","1086","31","86"
"Unknown","Bacon","4","0","1"
"Female","Baker","133","5","21"
"Male","Baker","111","8","23"
"Female","Baldwin","2948","58","170"
"Male","Baldwin","2345","113","227"
"Unknown","Baldwin","17","0","0"
"Female","Banks","1336","32","157"
"Male","Banks","1130","28","128"
"Unknown","Banks","14","1","1"
"Female","Barrow","7135","92","468"
"Male","Barrow","6182","102","411"
"Unknown","Barrow","54","0","1"
"Female","Bartow","8263","143","504"
"Male","Bartow","7367","176","544"
"Unknown","Bartow","120","0","2"
"Female","Ben Hill","1075","30","97"
"Male","Ben Hill","794","41","84"
"Unknown","Ben Hill","3","0","0"
"Female","Berrien","846","27","54"
"Male","Berrien","703","23","42"
"Unknown","Berrien","4","0","0"
"Female","Bibb","11563","307","1303"
"Male","Bibb","8744","283","1085"
"Unknown","Bibb","141","0","3"
"Female","Bleckley","625","22","34"
"Male","Bleckley","475","18","29"
"Unknown","Bleckley","6","0","1"
"Female","Brantley","1017","35","86"
"Male","Brantley","878","42","77"
"Unknown","Brantley","7","0","0"
"Female","Brooks","791","21","72"
"Male","Brooks","605","33","62"
"Unknown","Brooks","5","0","0"
"Female","Bryan","2434","25","148"
"Male","Bryan","2230","40","182"
"Unknown","Bryan","2","0","0"
"Female","Bulloch","4488","57","177"
"Male","Bulloch","3492","43","142"
"Unknown","Bulloch","16","0","0"
"Female","Burke","1281","25","105"
"Male","Burke","1025","24","89"
"Unknown","Burke","16","0","1"
"Female","Butts","1653","54","89"
"Male","Butts","1737","59","110"
"Unknown","Butts","33","0","1"
"Female","Calhoun","317","14","42"
"Male","Calhoun","297","7","48"
"Unknown","Calhoun","1","0","0"
"Female","Camden","3205","40","122"
"Male","Camden","2881","40","103"
"Unknown","Camden","4","0","0"
"Female","Candler","606","17","51"
"Male","Candler","506","32","34"
"Female","Carroll","5371","73","186"
"Male","Carroll","4814","88","205"
"Unknown","Carroll","43","0","2"
"Female","Catoosa","4553","52","161"
"Male","Catoosa","3990","46","156"
"Unknown","Catoosa","83","0","3"
"Female","Charlton","669","17","57"
"Male","Charlton","1075","26","51"
"Unknown","Charlton","4","0","0"
