"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","31941","3","451"
"05-09 years","Georgia","56686","5","371"
"10-17 years","Georgia","151480","16","1402"
"18-29 years","Georgia","356830","234","7162"
"30-39 years","Georgia","273812","611","8965"
"40-49 years","Georgia","248375","1369","12089"
"50-59 years","Georgia","221539","3173","17399"
"60-69 years","Georgia","144634","5664","19444"
"70-79 years","Georgia","79790","7222","17554"
"80 & Older years","Georgia","42482","8411","12919"
"<1 years","Georgia","10889","1","556"
"Unknown years","Georgia","4387","0","188"
"01-04 years","Appling","58","0","0"
"05-09 years","Appling","97","0","0"
"10-17 years","Appling","359","0","3"
"18-29 years","Appling","539","1","8"
"30-39 years","Appling","413","3","10"
"40-49 years","Appling","412","9","28"
"50-59 years","Appling","424","11","44"
"60-69 years","Appling","349","22","67"
"70-79 years","Appling","231","25","46"
"80 & Older years","Appling","119","28","41"
"<1 years","Appling","12","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","26","0","1"
"05-09 years","Atkinson","48","0","1"
"10-17 years","Atkinson","127","0","1"
"18-29 years","Atkinson","273","0","15"
"30-39 years","Atkinson","199","0","15"
"40-49 years","Atkinson","195","4","34"
"50-59 years","Atkinson","193","5","37"
"60-69 years","Atkinson","129","7","41"
"70-79 years","Atkinson","63","8","25"
"80 & Older years","Atkinson","24","8","14"
"<1 years","Atkinson","7","0","0"
"Unknown years","Atkinson","1","0","0"
"01-04 years","Bacon","44","0","1"
"05-09 years","Bacon","60","0","0"
"10-17 years","Bacon","182","0","1"
"18-29 years","Bacon","555","0","9"
"30-39 years","Bacon","316","1","11"
"40-49 years","Bacon","308","5","22"
"50-59 years","Bacon","230","3","22"
"60-69 years","Bacon","214","17","47"
"70-79 years","Bacon","134","14","36"
"80 & Older years","Bacon","61","13","20"
"<1 years","Bacon","14","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","15","0","0"
"10-17 years","Baker","17","0","0"
"18-29 years","Baker","46","0","0"
"30-39 years","Baker","29","0","4"
"40-49 years","Baker","29","3","3"
"50-59 years","Baker","37","0","4"
"60-69 years","Baker","40","3","16"
"70-79 years","Baker","22","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","92","0","1"
"05-09 years","Baldwin","184","0","0"
"10-17 years","Baldwin","475","1","5"
"18-29 years","Baldwin","1846","0","21"
"30-39 years","Baldwin","881","2","20"
"40-49 years","Baldwin","832","6","44"
"50-59 years","Baldwin","794","22","79"
"60-69 years","Baldwin","603","40","90"
"70-79 years","Baldwin","367","44","69"
"80 & Older years","Baldwin","212","62","75"
"<1 years","Baldwin","36","0","3"
"Unknown years","Baldwin","4","0","0"
