"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8234","37"
"Hispanic/Latino","American Indian/Alaska Native","551","2"
"Hispanic/Latino","Asian","891","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","581","4"
"Hispanic/Latino","Other","58318","459"
"Hispanic/Latino","Unknown","34903","15"
"Hispanic/Latino","White","81077","844"
"Non-Hispanic/Latino","African-American/Black","474736","9042"
"Non-Hispanic/Latino","American Indian/Alaska Native","1036","22"
"Non-Hispanic/Latino","Asian","38023","462"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1277","17"
"Non-Hispanic/Latino","Other","32664","127"
"Non-Hispanic/Latino","Unknown","16633","15"
"Non-Hispanic/Latino","White","646795","15991"
"Unknown","African-American/Black","41139","16"
"Unknown","American Indian/Alaska Native","763","0"
"Unknown","Asian","6705","3"
"Unknown","Native Hawaiian/Pacific Islander","362","0"
"Unknown","Other","35299","14"
"Unknown","Unknown","247714","91"
"Unknown","White","49758","27"
