"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3620","US-13001","13","1","18561","281","114","19503.26","614.19","150.85","28","1320","18","25"
"Atkinson","1619","US-13003","13","3","8330","233","42","19435.77","504.2","108.04","9","667","10","23"
"Bacon","2706","US-13005","13","5","11404","231","66","23728.52","578.74","280.6","32","1168","12","17"
"Baker","330","US-13007","13","7","3116","48","14","10590.5","449.29","160.46","5","255","1","3"
"Baldwin","7762","US-13009","13","9","44428","453","204","17470.96","459.17","353.38","157","2411","41","21"
"Banks","3607","US-13011","13","11","19982","356","89","18051.25","445.4","225.2","45","539","9","6"
"Barrow","20894","US-13013","13","13","86383","1051","249","24187.63","288.25","487.36","421","2473","13","6"
"Bartow","22956","US-13015","13","15","110771","1299","396","20723.84","357.49","438.74","486","8333","59","118"
"Ben Hill","2210","US-13017","13","17","16645","192","75","13277.26","450.59","84.11","14","2309","48","76"
"Berrien","2112","US-13019","13","19","19276","114","59","10956.63","306.08","160.82","31","3112","26","43"
"Bibb","30956","US-13021","13","21","152150","2851","709","20345.71","465.99","404.21","615","10030","93","83"
"Bleckley","1521","US-13023","13","23","12838","78","46","11847.64","358.31","116.84","15","1988","55","75"
"Brantley","2578","US-13025","13","25","19202","186","91","13425.68","473.91","192.69","37","1775","20","38"
"Brooks","2008","US-13027","13","27","15727","164","67","12767.85","426.02","228.91","36","1643","20","25"
"Bryan","7427","US-13029","13","29","39137","431","78","18976.93","199.3","286.17","112","2475","16","19"
"Bulloch","10969","US-13031","13","31","79467","391","113","13803.21","142.2","179.95","143","5369","155","235"
"Burke","3085","US-13033","13","33","22342","248","68","13808.07","304.36","192.46","43","2548","46","35"
"Butts","5087","US-13035","13","35","25174","298","148","20207.36","587.91","321.76","81","1874","16","16"
"Calhoun","1028","US-13037","13","37","6317","106","23","16273.55","364.1","237.45","15","399","1","3"
"Camden","9624","US-13039","13","39","53924","264","108","17847.34","200.28","419.11","226","2851","18","36"
"Candler","1447","US-13043","13","43","10837","107","58","13352.4","535.2","239.92","26","901","45","42"
"Carroll","15364","US-13045","13","45","120119","472","186","12790.65","154.85","248.09","298","10057","282","354"
"Catoosa","13325","US-13047","13","47","68771","420","139","19375.9","202.12","280.64","193","2250","42","43"
"Charlton","2321","US-13049","13","49","13251","123","47","17515.66","354.69","324.5","43","862","16","21"
"Chatham","59005","US-13051","13","51","292176","3600","836","20195.02","286.13","408.66","1194","11859","81","74"
"Chattahoochee","6671","US-13053","13","53","10749","60","17","62061.59","158.15","297.7","32","909","5","3"
"Chattooga","5555","US-13055","13","55","24766","341","119","22429.94","480.5","569.33","141","1504","17","20"
"Cherokee","49421","US-13057","13","57","266617","2493","605","18536.33","226.92","361.94","965","19264","47","63"
"Clarke","28266","US-13059","13","59","129779","1412","228","21780.1","175.68","332.1","431","3722","14","8"
"Clay","373","US-13061","13","61","2855","14","6","13064.8","210.16","70.05","2","181","0","4"
"Clayton","63634","US-13063","13","63","304838","3544","932","20874.69","305.74","403.82","1231","6455","80","27"
"Clinch","1451","US-13065","13","65","6656","98","40","21799.88","600.96","375.6","25","785","2","10"
"Cobb","154605","US-13067","13","67","790588","5043","1730","19555.7","218.82","381.99","3020","40163","169","258"
"Coffee","8391","US-13069","13","69","43042","1096","229","19494.91","532.04","213.74","92","2681","54","119"
"Colquitt","8461","US-13071","13","71","45393","420","175","18639.44","385.52","447.21","203","3391","75","40"
"Columbia","22426","US-13073","13","73","158631","911","323","14137.21","203.62","230.72","366","16384","72","97"
"Cook","2158","US-13075","13","75","17437","147","57","12375.98","326.89","229.4","40","3070","18","33"
"Coweta","23903","US-13077","13","77","152001","1721","436","15725.55","286.84","457.89","696","12598","64","73"
"Crawford","1259","US-13079","13","79","12228","124","46","10296.04","376.19","228.98","28","659","9","8"
"Crisp","2586","US-13081","13","81","22289","204","71","11602.14","318.54","58.32","13","2464","66","106"
"Dade","2821","US-13083","13","83","16162","103","27","17454.52","167.06","154.68","25","774","6","10"
"Dawson","6677","US-13085","13","85","27021","413","97","24710.41","358.98","470","127","779","4","3"
"DeKalb","150324","US-13089","13","89","793154","8853","1606","18952.69","202.48","432.83","3433","20405","192","73"
"Decatur","5637","US-13087","13","87","26322","268","95","21415.55","360.91","349.52","92","2105","38","73"
"Dodge","2164","US-13091","13","91","20385","138","71","10615.65","348.3","103.02","21","3283","86","94"
"Dooly","1575","US-13093","13","93","13400","110","40","11753.73","298.51","111.94","15","967","29","38"
"Dougherty","15262","US-13095","13","95","89905","1644","464","16975.7","516.1","388.19","349","6389","48","26"
"Douglas","31146","US-13097","13","97","151906","1343","335","20503.47","220.53","427.24","649","7311","82","126"
"Early","2188","US-13099","13","99","10146","119","56","21565.15","551.94","275.97","28","737","9","16"
"Echols","476","US-13101","13","101","3969","17","6","11992.95","151.17","50.39","2","502","6","9"
"Effingham","11122","US-13103","13","103","64026","643","172","17371.07","268.64","232.72","149","3303","28","24"
"Elbert","2715","US-13105","13","105","18945","284","83","14330.96","438.11","105.57","20","1997","30","33"
"Emanuel","3523","US-13107","13","107","22664","215","81","15544.48","357.39","114.72","26","2691","81","198"
"Evans","1584","US-13109","13","109","10687","128","41","14821.75","383.64","149.71","16","970","23","46"
"Fannin","4390","US-13111","13","111","26320","351","135","16679.33","512.92","376.14","99","1025","31","20"
"Fayette","19917","US-13113","13","113","117544","1182","289","16944.29","245.87","433.88","510","5837","46","26"
"Floyd","24323","US-13115","13","115","99916","1626","427","24343.45","427.36","472.4","472","4680","105","129"
"Forsyth","48888","US-13117","13","117","252507","1623","393","19361.05","155.64","380.58","961","11263","21","16"
"Franklin","4559","US-13119","13","119","23329","284","80","19542.2","342.92","304.34","71","1030","24","12"
"Fulton","212819","US-13121","13","121","1099181","10865","2180","19361.6","198.33","401.94","4418","34480","245","157"
"Gilmer","4865","US-13123","13","123","31417","487","153","15485.25","487","222.81","70","2519","29","28"
"Glascock","278","US-13125","13","125","3025","29","8","9190.08","264.46","66.12","2","357","17","8"
"Glynn","19284","US-13127","13","127","86047","790","367","22411.01","426.51","410.24","353","5739","45","47"
"Gordon","12574","US-13129","13","129","58049","510","234","21661.01","403.11","351.43","204","5260","40","44"
"Grady","3937","US-13131","13","131","24540","278","83","16043.19","338.22","313.77","77","2335","31","32"
"Greene","3465","US-13133","13","133","18717","305","75","18512.58","400.71","464.82","87","791","10","5"
"Gwinnett","193657","US-13135","13","135","971145","7922","1807","19941.1","186.07","390.88","3796","36128","127","95"
"Habersham","8870","US-13137","13","137","45800","743","243","19366.81","530.57","369","169","1672","24","22"
"Hall","50385","US-13139","13","139","206349","3675","810","24417.37","392.54","437.12","902","6686","51","39"
"Hancock","1466","US-13141","13","141","8193","139","82","17893.32","1000.85","390.58","32","242","8","4"
"Haralson","3628","US-13143","13","143","30722","119","67","11809.13","218.08","179.02","55","2102","111","73"
"Harris","5489","US-13145","13","145","34712","363","104","15812.98","299.61","288.08","100","994","14","22"
"Hart","3333","US-13147","13","147","26107","221","65","12766.69","248.98","149.39","39","1721","40","24"
"Heard","1581","US-13149","13","149","12370","106","36","12780.92","291.03","347.62","43","733","21","26"
"Henry","50831","US-13151","13","151","239866","2510","642","21191.42","267.65","480.27","1152","12964","59","56"
"Houston","25407","US-13153","13","153","157039","1231","338","16178.78","215.23","364.24","572","18447","169","381"
"Irwin","1071","US-13155","13","155","9433","110","25","11353.76","265.03","42.4","4","947","26","24"
"Jackson","19599","US-13157","13","157","74700","1106","275","26236.95","368.14","433.73","324","2775","19","13"
"Jasper","1831","US-13159","13","159","14199","180","40","12895.27","281.71","281.71","40","1538","35","15"
"Jeff Davis","2360","US-13161","13","161","15148","139","49","15579.61","323.48","66.02","10","1673","25","97"
