county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,161,13,28,867.41
Atkinson,51,2,9,612.24
Bacon,131,3,11,1148.72
Baker,34,2,11,1091.14
Baldwin,350,26,69,787.79
Banks,93,1,11,465.42
Barrow,328,18,78,379.7
Bartow,485,38,136,437.84
Ben Hill,77,1,9,462.6
Berrien,49,0,3,254.2
Bibb,472,29,136,310.22
Bleckley,48,0,2,373.89
Brantley,58,2,4,302.05
Brooks,70,8,10,445.09
Bryan,75,5,18,191.63
Bulloch,67,2,10,84.31
Burke,122,6,30,546.06
Butts,234,24,28,929.53
Calhoun,134,6,17,2121.26
Camden,64,1,7,118.69
Candler,14,0,4,129.19
Carroll,524,24,101,436.23
Catoosa,142,0,10,206.48
Charlton,33,1,6,249.04
Chatham,518,26,112,177.29
Chattahoochee,154,0,6,1432.69
Chattooga,25,2,3,100.94
Cherokee,911,33,142,341.69
Clarke,295,14,45,227.31
Clay,39,2,5,1366.02
Clayton,1238,51,191,406.12
Clinch,59,2,7,886.42
Cobb,3056,183,678,386.55
Coffee,277,15,65,643.56
Colquitt,484,15,48,1066.24
Columbia,251,8,36,158.23
Cook,47,2,10,269.54
Coweta,422,9,52,277.63
Crawford,28,0,4,228.98
Crisp,237,7,39,1063.3
Dade,37,1,3,228.93
Dawson,109,1,18,403.39
DeKalb,3803,121,678,479.48
Decatur,204,5,21,775.02
Dodge,52,2,8,255.09
Dooly,183,12,38,1365.67
Dougherty,1784,149,435,1984.32
Douglas,549,25,126,361.41
Early,244,31,20,2404.89
Echols,121,0,4,3048.63
Effingham,75,1,12,117.14
Elbert,75,0,6,395.88
Emanuel,27,2,5,119.13
Evans,5,0,0,46.79
Fannin,47,1,5,178.57
Fayette,237,13,38,201.63
Floyd,274,15,43,274.23
Forsyth,532,12,70,210.69
Franklin,104,1,9,445.8
Fulton,4638,242,876,421.95
Gilmer,156,1,21,496.55
Glascock,1,0,0,33.06
Glynn,133,2,16,154.57
Gordon,166,16,33,285.97
Grady,114,4,27,464.55
Greene,68,7,19,363.31
Gwinnett,3891,133,670,400.66
Habersham,530,23,74,1157.21
Hall,2508,50,340,1215.42
Hancock,197,25,37,2404.49
Haralson,47,3,12,152.98
Harris,102,6,17,293.85
Hart,33,0,1,126.4
Heard,35,2,8,282.94
Henry,695,23,91,289.75
Houston,376,17,94,239.43
Irwin,30,1,8,318.03
Jackson,198,6,34,265.06
Jasper,39,1,7,274.67
Jeff Davis,37,1,5,244.26
Jefferson,44,1,7,287.34
Jenkins,21,1,7,244.87
Johnson,83,2,13,859.12
Jones,40,0,4,139.9
Lamar,71,2,11,366.98
Lanier,25,2,5,241.52
Laurens,108,1,18,228.35
Lee,361,22,65,1204.5
Liberty,82,1,14,132.46
Lincoln,16,0,6,196.92
Long,16,1,2,80.34
Lowndes,319,4,53,270.62
Lumpkin,99,1,19,292.88
Macon,102,6,35,785.34
Madison,56,1,11,185.57
Marion,59,2,11,711.44
McDuffie,67,5,19,310.23
McIntosh,16,1,2,109.84
Meriwether,87,2,14,413.89
Miller,42,0,3,728.66
Mitchell,413,32,92,1872.51
Monroe,121,11,24,436.4
Montgomery,11,0,1,119.25
Morgan,38,0,5,198.56
Murray,96,1,11,238.44
Muscogee,637,18,103,332.42
Newton,370,11,68,329.32
Non-Georgia Resident,2144,32,125,0
Oconee,116,8,20,277.93
Oglethorpe,62,7,13,406.82
Paulding,330,11,70,191.26
Peach,74,4,23,270.32
Pickens,48,3,13,143.16
Pierce,100,3,22,511.64
Pike,54,3,10,286.32
Polk,126,1,13,289.78
Pulaski,42,2,6,385.57
Putnam,93,9,16,424.95
Quitman,12,1,4,523.1
Rabun,23,1,8,135.41
Randolph,179,19,33,2650.28
Richmond,598,25,170,295.69
Rockdale,289,8,72,304.34
Schley,16,1,7,303.32
Screven,55,3,16,395.68
Seminole,45,2,8,552.83
Spalding,277,22,52,400.81
Stephens,147,2,26,558.34
Stewart,52,1,14,848.43
Sumter,489,44,139,1663.32
Talbot,39,2,13,633.32
Taliaferro,1,0,0,61.27
Tattnall,27,0,3,106.25
Taylor,22,2,9,276.45
Telfair,37,1,7,236.51
Terrell,213,26,52,2515.65
Thomas,332,32,67,747.23
Tift,270,18,68,661.28
Toombs,56,4,10,207.54
Towns,24,1,8,199.43
Treutlen,12,0,1,175.72
Troup,320,11,76,454.46
Turner,128,13,28,1584.94
Twiggs,17,1,6,210.24
Union,46,1,12,181.57
Unknown,1561,0,37,0
Upson,284,34,43,1080.79
Walker,162,0,3,232.73
Walton,269,12,46,280.75
Ware,228,14,53,635.93
Warren,18,0,9,345.49
Washington,74,1,8,364.5
Wayne,20,0,3,66.72
Webster,13,1,4,509.8
Wheeler,13,0,0,164.37
White,103,3,21,324.33
Whitfield,391,7,28,373.55
Wilcox,117,13,20,1331.06
Wilkes,33,1,6,329.54
Wilkinson,70,7,23,784.84
Worth,223,21,47,1107.14
