"province","date_recovered","recovered","cumulative_recovered"
"Alberta",2020-02-12,0,0
"Alberta",2020-02-13,0,0
"Alberta",2020-02-14,0,0
"Alberta",2020-02-15,0,0
"Alberta",2020-02-16,0,0
"Alberta",2020-02-17,0,0
"Alberta",2020-02-18,0,0
"Alberta",2020-02-19,0,0
"Alberta",2020-02-20,0,0
"Alberta",2020-02-21,0,0
"Alberta",2020-02-22,0,0
"Alberta",2020-02-23,0,0
"Alberta",2020-02-24,0,0
"Alberta",2020-02-25,0,0
"Alberta",2020-02-26,0,0
"Alberta",2020-02-27,0,0
"Alberta",2020-02-28,0,0
"Alberta",2020-02-29,0,0
"Alberta",2020-03-01,0,0
"Alberta",2020-03-02,0,0
"Alberta",2020-03-03,0,0
"Alberta",2020-03-04,0,0
"Alberta",2020-03-05,0,0
"Alberta",2020-03-06,0,0
"Alberta",2020-03-07,0,0
"Alberta",2020-03-08,0,0
"Alberta",2020-03-09,0,0
"Alberta",2020-03-10,0,0
"Alberta",2020-03-11,0,0
"Alberta",2020-03-12,0,0
"Alberta",2020-03-13,0,0
"Alberta",2020-03-14,0,0
"Alberta",2020-03-15,0,0
"Alberta",2020-03-16,0,0
"Alberta",2020-03-17,0,0
"Alberta",2020-03-18,0,0
"Alberta",2020-03-19,2,2
"Alberta",2020-03-20,1,3
"Alberta",2020-03-21,0,3
"Alberta",2020-03-22,0,3
"Alberta",2020-03-23,0,3
"Alberta",2020-03-24,0,3
"Alberta",2020-03-25,0,3
"Alberta",2020-03-26,24,27
"Alberta",2020-03-27,6,33
"Alberta",2020-03-28,20,53
"Alberta",2020-03-29,20,73
"Alberta",2020-03-30,21,94
"Alberta",2020-03-31,26,120
"Alberta",2020-04-01,22,142
"Alberta",2020-04-02,32,174
"Alberta",2020-04-03,22,196
"Alberta",2020-04-04,0,196
"Alberta",2020-04-05,83,279
"Alberta",2020-04-06,82,361
"Alberta",2020-04-07,86,447
"Alberta",2020-04-08,72,519
"Alberta",2020-04-09,73,592
"Alberta",2020-04-10,121,713
"Alberta",2020-04-11,61,774
"Alberta",2020-04-12,49,823
"Alberta",2020-04-13,54,877
"Alberta",2020-04-14,37,914
"Alberta",2020-04-15,0,914
"Alberta",2020-04-16,0,914
"Alberta",2020-04-17,210,1124
"Alberta",2020-04-18,38,1162
"Alberta",2020-04-19,36,1198
"Alberta",2020-04-20,32,1230
"Alberta",2020-04-21,43,1273
"Alberta",2020-04-22,37,1310
