"","Date","Country","Cases"
"1","2020-01-10","China_confirmed",0
"2","2020-01-10","China_clinical",0
"3","2020-01-10","China_inclusive",0
"4","2020-01-10","Hong Kong",0
"5","2020-01-10","Macau",0
"6","2020-01-10","Taipei and environs",0
"7","2020-01-10","Japan",0
"8","2020-01-10","South Korea",0
"9","2020-01-10","Vietnam",0
"10","2020-01-10","Cambodia",0
"11","2020-01-10","Thailand",0
"12","2020-01-10","Malaysia",0
"13","2020-01-10","Singapore",0
"14","2020-01-10","Philippines",0
"15","2020-01-10","Australia",0
"16","2020-01-10","New Zealand",0
"17","2020-01-10","Nepal",0
"18","2020-01-10","India",0
"19","2020-01-10","Pakistan",0
"20","2020-01-10","Sri Lanka",0
"21","2020-01-10","Afghanistan",0
"22","2020-01-10","Kuwait",0
"23","2020-01-10","Qatar",0
"24","2020-01-10","Oman",0
"25","2020-01-10","Bahrain",0
"26","2020-01-10","United Arab Emirates",0
"27","2020-01-10","Iran",0
"28","2020-01-10","Iraq",0
"29","2020-01-10","Armenia",0
"30","2020-01-10","Azerbaijan",0
"31","2020-01-10","Georgia",0
"32","2020-01-10","Lebanon",0
"33","2020-01-10","Israel",0
"34","2020-01-10","Egypt",0
"35","2020-01-10","Algeria",0
"36","2020-01-10","Nigeria",0
"37","2020-01-10","Greece",0
"38","2020-01-10","North Macedonia",0
"39","2020-01-10","Croatia",0
"40","2020-01-10","San Marino",0
"41","2020-01-10","Italy",0
"42","2020-01-10","Spain",0
"43","2020-01-10","France",0
"44","2020-01-10","Monaco",0
"45","2020-01-10","Switzerland",0
"46","2020-01-10","Austria",0
"47","2020-01-10","Germany",0
"48","2020-01-10","Luxembourg",0
"49","2020-01-10","Belgium",0
"50","2020-01-10","Netherlands",0
"51","2020-01-10","United Kingdom",0
"52","2020-01-10","Ireland",0
"53","2020-01-10","Iceland",0
"54","2020-01-10","Norway",0
"55","2020-01-10","Denmark",0
"56","2020-01-10","Sweden",0
"57","2020-01-10","Finland",0
"58","2020-01-10","Estonia",0
"59","2020-01-10","Lithuania",0
"60","2020-01-10","Romania",0
"61","2020-01-10","Belarus",0
"62","2020-01-10","Russia",0
"63","2020-01-10","Czech Republic",0
"64","2020-01-10","Canada",0
"65","2020-01-10","United States",0
"66","2020-01-10","Mexico",0
"67","2020-01-10","Ecuador",0
"68","2020-01-10","Brazil",0
"69","2020-01-10","Dominican Republic",0
"70","2020-01-10","Indonesia",0
"71","2020-01-10","Portugal",0
"72","2020-01-10","Andorra",0
"73","2020-01-10","Jordan",0
"74","2020-01-10","Latvia",0
"75","2020-01-10","Morocco",0
"76","2020-01-10","Saudi Arabia",0
"77","2020-01-10","Senegal",0
"78","2020-01-10","Tunisia",0
"79","2020-01-10","Diamond Princess",0
"80","2020-01-10","Ukraine",0
"81","2020-01-10","Liechtenstein",0
"82","2020-01-10","Chile",0
"83","2020-01-10","Argentina",0
"84","2020-01-10","Poland",0
"85","2020-01-10","Hungary",0
"86","2020-01-10","Slovenia",0
"87","2020-01-10","Palestine",0
"88","2020-01-10","Peru",0
"89","2020-01-10","Costa Rica",0
"90","2020-01-10","Slovakia",0
"91","2020-01-10","Bulgaria",0
"92","2020-01-10","Maldives",0
"93","2020-01-10","Bangladesh",0
"94","2020-01-10","Bosnia and Herzegovina",0
"95","2020-01-10","Malta",0
"96","2020-01-10","South Africa",0
"97","2020-01-10","Albania",0
"98","2020-01-10","Cameroon",0
"99","2020-01-10","Bhutan",0
