"","Date","Country","Fatalities"
"1","2020-01-09","China",0
"2","2020-01-09","Philippines",0
"3","2020-01-09","Hong Kong",0
"4","2020-01-09","Japan",0
"5","2020-01-09","France",0
"6","2020-01-09","Taipei and environs",0
"7","2020-01-09","Iran",0
"8","2020-01-09","Diamond Princess",0
"9","2020-01-09","South Korea",0
"10","2020-01-09","Italy",0
"11","2020-01-09","US",0
"12","2020-01-09","Thailand",0
"13","2020-01-09","Australia",0
"14","2020-01-09","San Marino",0
"15","2020-01-09","Spain",0
"16","2020-01-09","Iraq",0
"17","2020-01-09","Switzerland",0
"18","2020-01-09","United Kingdom",0
"19","2020-01-09","Netherlands",0
"20","2020-01-09","Egypt",0
"21","2020-01-09","Argentina",0
"22","2020-01-09","Germany",0
"23","2020-01-09","Belgium",0
"24","2020-01-09","Lebanon",0
"25","2020-01-09","Algeria",0
"26","2020-01-09","Norway",0
"27","2020-01-09","Sweden",0
"28","2020-01-09","Austria",0
"29","2020-01-09","Canada",0
"30","2020-01-09","Greece",0
"31","2020-01-09","India",0
"32","2020-01-09","Ireland",0
"33","2020-01-09","Poland",0
"34","2020-01-09","Indonesia",0
"35","2020-01-09","Albania",0
"36","2020-01-09","Bulgaria",0
"37","2020-01-09","Panama",0
"38","2020-01-09","Morocco",0
"39","2020-01-09","Guyana",0
"40","2020-01-09","Ecuador",0
"41","2020-01-09","Denmark",0
"42","2020-01-09","Slovenia",0
"43","2020-01-09","Luxembourg",0
"44","2020-01-09","Hungary",0
"45","2020-01-09","Azerbaijan",0
"46","2020-01-09","Ukraine",0
"47","2020-01-09","Sudan",0
"48","2020-01-09","Guatemala",0
"49","2020-01-10","China",1
"50","2020-01-10","Philippines",0
"51","2020-01-10","Hong Kong",0
"52","2020-01-10","Japan",0
"53","2020-01-10","France",0
"54","2020-01-10","Taipei and environs",0
"55","2020-01-10","Iran",0
"56","2020-01-10","Diamond Princess",0
"57","2020-01-10","South Korea",0
"58","2020-01-10","Italy",0
"59","2020-01-10","US",0
"60","2020-01-10","Thailand",0
"61","2020-01-10","Australia",0
"62","2020-01-10","San Marino",0
"63","2020-01-10","Spain",0
"64","2020-01-10","Iraq",0
"65","2020-01-10","Switzerland",0
"66","2020-01-10","United Kingdom",0
"67","2020-01-10","Netherlands",0
"68","2020-01-10","Egypt",0
"69","2020-01-10","Argentina",0
"70","2020-01-10","Germany",0
"71","2020-01-10","Belgium",0
"72","2020-01-10","Lebanon",0
"73","2020-01-10","Algeria",0
"74","2020-01-10","Norway",0
"75","2020-01-10","Sweden",0
"76","2020-01-10","Austria",0
"77","2020-01-10","Canada",0
"78","2020-01-10","Greece",0
"79","2020-01-10","India",0
"80","2020-01-10","Ireland",0
"81","2020-01-10","Poland",0
"82","2020-01-10","Indonesia",0
"83","2020-01-10","Albania",0
"84","2020-01-10","Bulgaria",0
"85","2020-01-10","Panama",0
"86","2020-01-10","Morocco",0
"87","2020-01-10","Guyana",0
"88","2020-01-10","Ecuador",0
"89","2020-01-10","Denmark",0
"90","2020-01-10","Slovenia",0
"91","2020-01-10","Luxembourg",0
"92","2020-01-10","Hungary",0
"93","2020-01-10","Azerbaijan",0
"94","2020-01-10","Ukraine",0
"95","2020-01-10","Sudan",0
"96","2020-01-10","Guatemala",0
"97","2020-01-11","China",1
"98","2020-01-11","Philippines",0
"99","2020-01-11","Hong Kong",0
"100","2020-01-11","Japan",0
"101","2020-01-11","France",0
"102","2020-01-11","Taipei and environs",0
"103","2020-01-11","Iran",0
"104","2020-01-11","Diamond Princess",0
"105","2020-01-11","South Korea",0
"106","2020-01-11","Italy",0
"107","2020-01-11","US",0
"108","2020-01-11","Thailand",0
"109","2020-01-11","Australia",0
"110","2020-01-11","San Marino",0
"111","2020-01-11","Spain",0
"112","2020-01-11","Iraq",0
"113","2020-01-11","Switzerland",0
"114","2020-01-11","United Kingdom",0
"115","2020-01-11","Netherlands",0
"116","2020-01-11","Egypt",0
"117","2020-01-11","Argentina",0
"118","2020-01-11","Germany",0
"119","2020-01-11","Belgium",0
"120","2020-01-11","Lebanon",0
"121","2020-01-11","Algeria",0
"122","2020-01-11","Norway",0
"123","2020-01-11","Sweden",0
"124","2020-01-11","Austria",0
"125","2020-01-11","Canada",0
"126","2020-01-11","Greece",0
"127","2020-01-11","India",0
"128","2020-01-11","Ireland",0
"129","2020-01-11","Poland",0
"130","2020-01-11","Indonesia",0
"131","2020-01-11","Albania",0
"132","2020-01-11","Bulgaria",0
"133","2020-01-11","Panama",0
"134","2020-01-11","Morocco",0
"135","2020-01-11","Guyana",0
"136","2020-01-11","Ecuador",0
"137","2020-01-11","Denmark",0
"138","2020-01-11","Slovenia",0
"139","2020-01-11","Luxembourg",0
"140","2020-01-11","Hungary",0
"141","2020-01-11","Azerbaijan",0
"142","2020-01-11","Ukraine",0
"143","2020-01-11","Sudan",0
"144","2020-01-11","Guatemala",0
"145","2020-01-12","China",1
"146","2020-01-12","Philippines",0
"147","2020-01-12","Hong Kong",0
"148","2020-01-12","Japan",0
"149","2020-01-12","France",0
"150","2020-01-12","Taipei and environs",0
"151","2020-01-12","Iran",0
"152","2020-01-12","Diamond Princess",0
"153","2020-01-12","South Korea",0
"154","2020-01-12","Italy",0
"155","2020-01-12","US",0
"156","2020-01-12","Thailand",0
"157","2020-01-12","Australia",0
"158","2020-01-12","San Marino",0
"159","2020-01-12","Spain",0
"160","2020-01-12","Iraq",0
"161","2020-01-12","Switzerland",0
"162","2020-01-12","United Kingdom",0
"163","2020-01-12","Netherlands",0
"164","2020-01-12","Egypt",0
"165","2020-01-12","Argentina",0
"166","2020-01-12","Germany",0
"167","2020-01-12","Belgium",0
"168","2020-01-12","Lebanon",0
"169","2020-01-12","Algeria",0
"170","2020-01-12","Norway",0
"171","2020-01-12","Sweden",0
"172","2020-01-12","Austria",0
"173","2020-01-12","Canada",0
"174","2020-01-12","Greece",0
"175","2020-01-12","India",0
"176","2020-01-12","Ireland",0
"177","2020-01-12","Poland",0
"178","2020-01-12","Indonesia",0
"179","2020-01-12","Albania",0
"180","2020-01-12","Bulgaria",0
"181","2020-01-12","Panama",0
"182","2020-01-12","Morocco",0
"183","2020-01-12","Guyana",0
"184","2020-01-12","Ecuador",0
"185","2020-01-12","Denmark",0
"186","2020-01-12","Slovenia",0
"187","2020-01-12","Luxembourg",0
"188","2020-01-12","Hungary",0
"189","2020-01-12","Azerbaijan",0
"190","2020-01-12","Ukraine",0
"191","2020-01-12","Sudan",0
"192","2020-01-12","Guatemala",0
"193","2020-01-13","China",1
"194","2020-01-13","Philippines",0
"195","2020-01-13","Hong Kong",0
"196","2020-01-13","Japan",0
"197","2020-01-13","France",0
"198","2020-01-13","Taipei and environs",0
"199","2020-01-13","Iran",0
"200","2020-01-13","Diamond Princess",0
"201","2020-01-13","South Korea",0
"202","2020-01-13","Italy",0
"203","2020-01-13","US",0
"204","2020-01-13","Thailand",0
"205","2020-01-13","Australia",0
"206","2020-01-13","San Marino",0
"207","2020-01-13","Spain",0
"208","2020-01-13","Iraq",0
"209","2020-01-13","Switzerland",0
"210","2020-01-13","United Kingdom",0
"211","2020-01-13","Netherlands",0
"212","2020-01-13","Egypt",0
"213","2020-01-13","Argentina",0
"214","2020-01-13","Germany",0
"215","2020-01-13","Belgium",0
"216","2020-01-13","Lebanon",0
"217","2020-01-13","Algeria",0
"218","2020-01-13","Norway",0
"219","2020-01-13","Sweden",0
"220","2020-01-13","Austria",0
"221","2020-01-13","Canada",0
"222","2020-01-13","Greece",0
"223","2020-01-13","India",0
"224","2020-01-13","Ireland",0
"225","2020-01-13","Poland",0
"226","2020-01-13","Indonesia",0
"227","2020-01-13","Albania",0
"228","2020-01-13","Bulgaria",0
"229","2020-01-13","Panama",0
"230","2020-01-13","Morocco",0
"231","2020-01-13","Guyana",0
"232","2020-01-13","Ecuador",0
"233","2020-01-13","Denmark",0
"234","2020-01-13","Slovenia",0
"235","2020-01-13","Luxembourg",0
"236","2020-01-13","Hungary",0
"237","2020-01-13","Azerbaijan",0
"238","2020-01-13","Ukraine",0
"239","2020-01-13","Sudan",0
"240","2020-01-13","Guatemala",0
"241","2020-01-14","China",1
"242","2020-01-14","Philippines",0
"243","2020-01-14","Hong Kong",0
"244","2020-01-14","Japan",0
"245","2020-01-14","France",0
"246","2020-01-14","Taipei and environs",0
"247","2020-01-14","Iran",0
"248","2020-01-14","Diamond Princess",0
"249","2020-01-14","South Korea",0
"250","2020-01-14","Italy",0
"251","2020-01-14","US",0
"252","2020-01-14","Thailand",0
"253","2020-01-14","Australia",0
"254","2020-01-14","San Marino",0
"255","2020-01-14","Spain",0
"256","2020-01-14","Iraq",0
"257","2020-01-14","Switzerland",0
"258","2020-01-14","United Kingdom",0
"259","2020-01-14","Netherlands",0
"260","2020-01-14","Egypt",0
"261","2020-01-14","Argentina",0
"262","2020-01-14","Germany",0
"263","2020-01-14","Belgium",0
"264","2020-01-14","Lebanon",0
"265","2020-01-14","Algeria",0
"266","2020-01-14","Norway",0
"267","2020-01-14","Sweden",0
"268","2020-01-14","Austria",0
"269","2020-01-14","Canada",0
"270","2020-01-14","Greece",0
"271","2020-01-14","India",0
"272","2020-01-14","Ireland",0
"273","2020-01-14","Poland",0
"274","2020-01-14","Indonesia",0
"275","2020-01-14","Albania",0
"276","2020-01-14","Bulgaria",0
"277","2020-01-14","Panama",0
"278","2020-01-14","Morocco",0
"279","2020-01-14","Guyana",0
"280","2020-01-14","Ecuador",0
"281","2020-01-14","Denmark",0
"282","2020-01-14","Slovenia",0
"283","2020-01-14","Luxembourg",0
"284","2020-01-14","Hungary",0
"285","2020-01-14","Azerbaijan",0
"286","2020-01-14","Ukraine",0
"287","2020-01-14","Sudan",0
"288","2020-01-14","Guatemala",0
"289","2020-01-15","China",2
"290","2020-01-15","Philippines",0
"291","2020-01-15","Hong Kong",0
"292","2020-01-15","Japan",0
"293","2020-01-15","France",0
"294","2020-01-15","Taipei and environs",0
"295","2020-01-15","Iran",0
"296","2020-01-15","Diamond Princess",0
"297","2020-01-15","South Korea",0
