"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"LI","Liechtenstein","","","","",NA,2020-02-15,17,4,NA,NA,NA,NA
"LI","Liechtenstein","","","","",NA,2020-02-16,5,0,NA,NA,NA,NA
"LI","Liechtenstein","","","","",NA,2020-02-17,0,-2,NA,15,-4,NA
"LI","Liechtenstein","","","","",NA,2020-02-18,11,-5,NA,9,2,NA
"LI","Liechtenstein","","","","",NA,2020-02-19,7,3,NA,-4,3,NA
"LI","Liechtenstein","","","","",NA,2020-02-20,8,-2,NA,32,-5,NA
"LI","Liechtenstein","","","","",NA,2020-02-21,12,-3,NA,1,-6,NA
"LI","Liechtenstein","","","","",NA,2020-02-22,36,-2,NA,37,NA,NA
"LI","Liechtenstein","","","","",NA,2020-02-23,60,8,NA,NA,NA,NA
"LI","Liechtenstein","","","","",NA,2020-02-24,15,-8,NA,25,-26,NA
"LI","Liechtenstein","","","","",NA,2020-02-25,-14,-14,NA,-14,-38,NA
"LI","Liechtenstein","","","","",NA,2020-02-26,-12,2,NA,-6,-13,NA
"LI","Liechtenstein","","","","",NA,2020-02-27,-12,-3,NA,-13,-11,NA
"LI","Liechtenstein","","","","",NA,2020-02-28,-10,-2,NA,1,-13,NA
"LI","Liechtenstein","","","","",NA,2020-02-29,-8,-2,NA,-12,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-01,1,0,NA,NA,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-02,0,2,NA,2,-3,NA
"LI","Liechtenstein","","","","",NA,2020-03-03,5,2,NA,-2,1,NA
"LI","Liechtenstein","","","","",NA,2020-03-04,5,5,NA,-6,0,NA
"LI","Liechtenstein","","","","",NA,2020-03-05,-12,2,NA,-12,-4,NA
"LI","Liechtenstein","","","","",NA,2020-03-06,-5,6,NA,-3,-2,NA
"LI","Liechtenstein","","","","",NA,2020-03-07,-12,6,NA,-13,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-08,-5,6,NA,NA,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-09,-6,5,NA,2,-4,NA
"LI","Liechtenstein","","","","",NA,2020-03-10,0,2,NA,-12,-2,NA
"LI","Liechtenstein","","","","",NA,2020-03-11,-1,5,NA,-11,1,NA
"LI","Liechtenstein","","","","",NA,2020-03-12,-8,6,NA,-6,-2,NA
"LI","Liechtenstein","","","","",NA,2020-03-13,-17,28,NA,-10,0,NA
"LI","Liechtenstein","","","","",NA,2020-03-14,-32,NA,NA,-19,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-15,-22,4,NA,NA,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-16,-26,22,NA,-20,-19,NA
"LI","Liechtenstein","","","","",NA,2020-03-17,-55,3,NA,-29,-25,NA
"LI","Liechtenstein","","","","",NA,2020-03-18,-45,11,NA,-27,-28,NA
"LI","Liechtenstein","","","","",NA,2020-03-19,-80,-40,NA,-57,-70,NA
"LI","Liechtenstein","","","","",NA,2020-03-20,-66,11,NA,-37,-45,NA
"LI","Liechtenstein","","","","",NA,2020-03-21,-83,8,NA,-52,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-22,-89,-42,NA,-58,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-23,-66,-6,NA,-32,-35,NA
"LI","Liechtenstein","","","","",NA,2020-03-24,-67,-11,NA,-41,-35,NA
"LI","Liechtenstein","","","","",NA,2020-03-25,-70,-6,NA,-44,-35,NA
"LI","Liechtenstein","","","","",NA,2020-03-26,-72,-10,NA,-43,-37,NA
"LI","Liechtenstein","","","","",NA,2020-03-27,-64,2,NA,-40,-37,NA
"LI","Liechtenstein","","","","",NA,2020-03-28,-77,12,NA,-37,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-29,-90,-22,NA,-58,NA,NA
"LI","Liechtenstein","","","","",NA,2020-03-30,-69,-17,NA,-45,-37,NA
"LI","Liechtenstein","","","","",NA,2020-03-31,-69,-5,NA,-38,-35,NA
"LI","Liechtenstein","","","","",NA,2020-04-01,-56,-6,NA,-39,-36,NA
"LI","Liechtenstein","","","","",NA,2020-04-02,-68,-6,NA,-41,-36,NA
"LI","Liechtenstein","","","","",NA,2020-04-03,-66,3,NA,-37,-37,NA
"LI","Liechtenstein","","","","",NA,2020-04-04,-77,NA,NA,-38,NA,NA
"LI","Liechtenstein","","","","",NA,2020-04-05,-74,-18,NA,-33,NA,NA
"LI","Liechtenstein","","","","",NA,2020-04-06,NA,NA,NA,-23,-37,NA
"LI","Liechtenstein","","","","",NA,2020-04-07,NA,NA,NA,-30,-37,NA
