"","NAME","DATE","prohibit_restaurants","school_closure","state_of_emergency","prohibit_gatherings","gathering_size","Intervention_Score"
"1","Alabama","2020-02-01",0,0,0,0,NA,0
"2","Alabama","2020-02-02",0,0,0,0,NA,0
"3","Alabama","2020-02-03",0,0,0,0,NA,0
"4","Alabama","2020-02-04",0,0,0,0,NA,0
"5","Alabama","2020-02-05",0,0,0,0,NA,0
"6","Alabama","2020-02-06",0,0,0,0,NA,0
"7","Alabama","2020-02-07",0,0,0,0,NA,0
"8","Alabama","2020-02-08",0,0,0,0,NA,0
"9","Alabama","2020-02-09",0,0,0,0,NA,0
"10","Alabama","2020-02-10",0,0,0,0,NA,0
"11","Alabama","2020-02-11",0,0,0,0,NA,0
"12","Alabama","2020-02-12",0,0,0,0,NA,0
"13","Alabama","2020-02-13",0,0,0,0,NA,0
"14","Alabama","2020-02-14",0,0,0,0,NA,0
"15","Alabama","2020-02-15",0,0,0,0,NA,0
"16","Alabama","2020-02-16",0,0,0,0,NA,0
"17","Alabama","2020-02-17",0,0,0,0,NA,0
"18","Alabama","2020-02-18",0,0,0,0,NA,0
"19","Alabama","2020-02-19",0,0,0,0,NA,0
"20","Alabama","2020-02-20",0,0,0,0,NA,0
"21","Alabama","2020-02-21",0,0,0,0,NA,0
"22","Alabama","2020-02-22",0,0,0,0,NA,0
"23","Alabama","2020-02-23",0,0,0,0,NA,0
"24","Alabama","2020-02-24",0,0,0,0,NA,0
"25","Alabama","2020-02-25",0,0,0,0,NA,0
"26","Alabama","2020-02-26",0,0,0,0,NA,0
"27","Alabama","2020-02-27",0,0,0,0,NA,0
"28","Alabama","2020-02-28",0,0,0,0,NA,0
"29","Alabama","2020-02-29",0,0,0,0,NA,0
"30","Alabama","2020-03-01",0,0,0,0,NA,0
"31","Alabama","2020-03-02",0,0,0,0,NA,0
"32","Alabama","2020-03-03",0,0,0,0,NA,0
"33","Alabama","2020-03-04",0,0,0,0,NA,0
"34","Alabama","2020-03-05",0,0,0,0,NA,0
"35","Alabama","2020-03-06",0,0,0,0,NA,0
"36","Alabama","2020-03-07",0,0,0,0,NA,0
"37","Alabama","2020-03-08",0,0,0,0,NA,0
"38","Alabama","2020-03-09",0,0,0,0,NA,0
"39","Alabama","2020-03-10",0,0,0,0,NA,0
"40","Alabama","2020-03-11",0,0,0,0,NA,0
"41","Alabama","2020-03-12",0,0,0,0,NA,0
"42","Alabama","2020-03-13",0,0,1,0,NA,1
"43","Alabama","2020-03-14",0,0,1,0,NA,1
"44","Alabama","2020-03-15",0,0,1,0,NA,1
"45","Alabama","2020-03-16",0,0,1,0,NA,1
"46","Alabama","2020-03-17",0,0,1,0,NA,1
"47","Alabama","2020-03-18",0,0,1,0,NA,1
"48","Alaska","2020-02-01",0,0,0,0,NA,0
"49","Alaska","2020-02-02",0,0,0,0,NA,0
"50","Alaska","2020-02-03",0,0,0,0,NA,0
"51","Alaska","2020-02-04",0,0,0,0,NA,0
"52","Alaska","2020-02-05",0,0,0,0,NA,0
"53","Alaska","2020-02-06",0,0,0,0,NA,0
"54","Alaska","2020-02-07",0,0,0,0,NA,0
"55","Alaska","2020-02-08",0,0,0,0,NA,0
"56","Alaska","2020-02-09",0,0,0,0,NA,0
"57","Alaska","2020-02-10",0,0,0,0,NA,0
"58","Alaska","2020-02-11",0,0,0,0,NA,0
"59","Alaska","2020-02-12",0,0,0,0,NA,0
"60","Alaska","2020-02-13",0,0,0,0,NA,0
"61","Alaska","2020-02-14",0,0,0,0,NA,0
"62","Alaska","2020-02-15",0,0,0,0,NA,0
"63","Alaska","2020-02-16",0,0,0,0,NA,0
"64","Alaska","2020-02-17",0,0,0,0,NA,0
"65","Alaska","2020-02-18",0,0,0,0,NA,0
"66","Alaska","2020-02-19",0,0,0,0,NA,0
"67","Alaska","2020-02-20",0,0,0,0,NA,0
"68","Alaska","2020-02-21",0,0,0,0,NA,0
"69","Alaska","2020-02-22",0,0,0,0,NA,0
"70","Alaska","2020-02-23",0,0,0,0,NA,0
"71","Alaska","2020-02-24",0,0,0,0,NA,0
"72","Alaska","2020-02-25",0,0,0,0,NA,0
"73","Alaska","2020-02-26",0,0,0,0,NA,0
"74","Alaska","2020-02-27",0,0,0,0,NA,0
"75","Alaska","2020-02-28",0,0,0,0,NA,0
"76","Alaska","2020-02-29",0,0,0,0,NA,0
"77","Alaska","2020-03-01",0,0,0,0,NA,0
"78","Alaska","2020-03-02",0,0,0,0,NA,0
"79","Alaska","2020-03-03",0,0,0,0,NA,0
"80","Alaska","2020-03-04",0,0,0,0,NA,0
"81","Alaska","2020-03-05",0,0,0,0,NA,0
"82","Alaska","2020-03-06",0,0,0,0,NA,0
"83","Alaska","2020-03-07",0,0,0,0,NA,0
"84","Alaska","2020-03-08",0,0,0,0,NA,0
"85","Alaska","2020-03-09",0,0,0,0,NA,0
"86","Alaska","2020-03-10",0,0,0,0,NA,0
"87","Alaska","2020-03-11",0,0,0,0,NA,0
"88","Alaska","2020-03-12",0,0,0,0,NA,0
"89","Alaska","2020-03-13",0,0,0,0,NA,0
"90","Alaska","2020-03-14",0,0,0,0,NA,0
"91","Alaska","2020-03-15",0,0,0,0,NA,0
"92","Alaska","2020-03-16",0,1,0,0,NA,1
"93","Alaska","2020-03-17",0,1,0,0,NA,1
"94","Alaska","2020-03-18",0,1,0,0,NA,1
"95","Arizona","2020-02-01",0,0,0,0,NA,0
"96","Arizona","2020-02-02",0,0,0,0,NA,0
"97","Arizona","2020-02-03",0,0,0,0,NA,0
"98","Arizona","2020-02-04",0,0,0,0,NA,0
"99","Arizona","2020-02-05",0,0,0,0,NA,0
"100","Arizona","2020-02-06",0,0,0,0,NA,0
"101","Arizona","2020-02-07",0,0,0,0,NA,0
"102","Arizona","2020-02-08",0,0,0,0,NA,0
"103","Arizona","2020-02-09",0,0,0,0,NA,0
"104","Arizona","2020-02-10",0,0,0,0,NA,0
"105","Arizona","2020-02-11",0,0,0,0,NA,0
"106","Arizona","2020-02-12",0,0,0,0,NA,0
"107","Arizona","2020-02-13",0,0,0,0,NA,0
